,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_neurons_layer_0,state
0,0,0.7419431845309143,2026-01-07 11:26:45.589900,2026-01-07 11:26:45.640291,0 days 00:00:00.050391,1,3,5,COMPLETE
1,1,0.0,2026-01-07 11:26:45.640658,2026-01-07 11:26:45.683541,0 days 00:00:00.042883,1,2,5,COMPLETE
2,2,0.8,2026-01-07 11:26:45.683895,2026-01-07 11:26:45.745035,0 days 00:00:00.061140,1,10,5,COMPLETE
3,3,0.608974358974359,2026-01-07 11:26:45.745351,2026-01-07 11:26:45.797289,0 days 00:00:00.051938,1,6,5,COMPLETE
4,4,0.8317124735729386,2026-01-07 11:26:45.797642,2026-01-07 11:26:45.837437,0 days 00:00:00.039795,1,2,5,COMPLETE
5,5,0.8328267477203647,2026-01-07 11:26:45.837787,2026-01-07 11:26:45.892674,0 days 00:00:00.054887,1,7,5,COMPLETE
6,6,0.873015873015873,2026-01-07 11:26:45.893032,2026-01-07 11:26:45.932838,0 days 00:00:00.039806,1,2,5,COMPLETE
7,7,0.4937873907040957,2026-01-07 11:26:45.933183,2026-01-07 11:26:45.981998,0 days 00:00:00.048815,1,4,5,COMPLETE
8,8,0.41998231653404067,2026-01-07 11:26:45.982347,2026-01-07 11:26:46.035679,0 days 00:00:00.053332,1,6,5,COMPLETE
9,9,0.5019132653061225,2026-01-07 11:26:46.036046,2026-01-07 11:26:46.094737,0 days 00:00:00.058691,1,6,5,COMPLETE
