,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_orders1_layer_0,params_orders1_layer_1,params_orders2_layer_0,params_orders2_layer_1,state
0,0,0.343980343980344,2026-01-07 11:26:07.047481,2026-01-07 11:26:08.123934,0 days 00:00:01.076453,1,5,,5,,6,,COMPLETE
1,1,0.5927743086529884,2026-01-07 11:26:08.124416,2026-01-07 11:26:08.465651,0 days 00:00:00.341235,1,5,,6,,6,,COMPLETE
2,2,0.0,2026-01-07 11:26:08.466087,2026-01-07 11:26:08.771399,0 days 00:00:00.305312,2,10,10.0,3,5.0,3,5.0,COMPLETE
3,3,0.0,2026-01-07 11:26:08.771852,2026-01-07 11:26:09.559682,0 days 00:00:00.787830,2,10,10.0,6,6.0,6,6.0,COMPLETE
4,4,0.4845088991430455,2026-01-07 11:26:09.560225,2026-01-07 11:26:09.771330,0 days 00:00:00.211105,1,5,,4,,5,,COMPLETE
5,5,0.7691007437457742,2026-01-07 11:26:09.771733,2026-01-07 11:26:09.879562,0 days 00:00:00.107829,1,10,,2,,4,,COMPLETE
6,6,0.6016260162601625,2026-01-07 11:26:09.879935,2026-01-07 11:26:10.011625,0 days 00:00:00.131690,1,10,,3,,4,,COMPLETE
7,7,0.7261956998683634,2026-01-07 11:26:10.012045,2026-01-07 11:26:10.220621,0 days 00:00:00.208576,2,5,10.0,3,5.0,2,3.0,COMPLETE
8,8,0.3416666666666667,2026-01-07 11:26:10.221074,2026-01-07 11:26:10.833271,0 days 00:00:00.612197,2,10,5.0,6,6.0,5,3.0,COMPLETE
9,9,0.4336336336336336,2026-01-07 11:26:10.833769,2026-01-07 11:26:10.991807,0 days 00:00:00.158038,1,10,,2,,5,,COMPLETE
