A13,A58,A51,A12,A30,A45,A5,A3,A35,A6,A9,A18,A46,A39,A52,A32,A43,A22,A23,A25,A44,A31,A28,A38,A37,A60,A59,A16,A54,A21,A26,A50,A1,A27,A57,A10,A19,A2,A7,A47,A61,A29,A17,A8,A33,target_label
1.0,0.0,0.0,0.0,0.0,0.0,67.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1169.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,5951.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,bad
1.0,1.0,0.0,0.0,0.0,0.0,49.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,2096.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,good
0.0,1.0,1.0,0.0,0.0,1.0,45.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,7882.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,good
0.0,1.0,1.0,0.0,0.0,0.0,53.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,4870.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,bad
0.0,0.0,1.0,0.0,0.0,0.0,35.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,1.0,9055.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,1.0,53.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2835.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,6948.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,good
0.0,1.0,0.0,0.0,1.0,0.0,61.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,3059.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,good
1.0,1.0,0.0,0.0,0.0,0.0,28.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5234.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,bad
