,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2024-12-31 18:26:34.596170,2024-12-31 18:27:31.303111,0 days 00:00:56.706941,8,100,45.0,,,,,,,,,,,180.0,10.0,125.0,190.0,70.0,70.0,,,5,3.0,,,,,,,,,,,5.0,6.0,6.0,2.0,3.0,2.0,,,COMPLETE
1,1,0.8189831309412177,2024-12-31 18:27:31.304008,2024-12-31 18:27:52.955158,0 days 00:00:21.651150,1,160,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.8721692847829423,2024-12-31 18:27:52.955701,2024-12-31 18:28:20.698750,0 days 00:00:27.743049,2,25,20.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
3,3,0.0,2024-12-31 18:28:20.699331,2024-12-31 18:29:45.436997,0 days 00:01:24.737666,16,5,110.0,180.0,50.0,155.0,45.0,15.0,150.0,,,,,100.0,60.0,105.0,75.0,75.0,45.0,5.0,145.0,3,5.0,2.0,6.0,2.0,6.0,3.0,2.0,,,,,3.0,3.0,2.0,4.0,3.0,5.0,6.0,2.0,COMPLETE
4,4,0.0,2024-12-31 18:29:45.437952,2024-12-31 18:30:46.174988,0 days 00:01:00.737036,8,130,155.0,,,,,,,,,,,140.0,150.0,100.0,45.0,125.0,185.0,,,4,4.0,,,,,,,,,,,2.0,4.0,5.0,4.0,4.0,5.0,,,COMPLETE
5,5,0.0,2024-12-31 18:30:46.175834,2024-12-31 18:31:44.533941,0 days 00:00:58.358107,10,5,15.0,,,,,,,,,,,75.0,120.0,100.0,70.0,175.0,105.0,115.0,100.0,4,5.0,,,,,,,,,,,5.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,COMPLETE
6,6,0.0,2024-12-31 18:31:44.534854,2024-12-31 18:33:47.883869,0 days 00:02:03.349015,20,180,85.0,90.0,10.0,100.0,195.0,60.0,20.0,35.0,175.0,70.0,200.0,80.0,200.0,40.0,25.0,70.0,125.0,55.0,40.0,3,6.0,2.0,5.0,5.0,3.0,4.0,6.0,6.0,3.0,2.0,3.0,6.0,6.0,2.0,5.0,6.0,6.0,3.0,5.0,COMPLETE
7,7,0.0,2024-12-31 18:33:47.884952,2024-12-31 18:35:12.290689,0 days 00:01:24.405737,19,10,65.0,20.0,165.0,60.0,60.0,190.0,90.0,45.0,155.0,115.0,,180.0,130.0,40.0,65.0,135.0,110.0,30.0,140.0,4,2.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,,2.0,4.0,4.0,6.0,2.0,2.0,4.0,3.0,COMPLETE
8,8,0.8779827424026885,2024-12-31 18:35:12.291743,2024-12-31 18:35:40.119137,0 days 00:00:27.827394,2,25,160.0,,,,,,,,,,,,,,,,,,,5,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
9,9,0.0,2024-12-31 18:35:40.119746,2024-12-31 18:36:14.314646,0 days 00:00:34.194900,6,80,90.0,,,,,,,,,,,175.0,80.0,15.0,105.0,,,,,6,2.0,,,,,,,,,,,6.0,2.0,5.0,4.0,,,,,COMPLETE
10,10,0.0,2024-12-31 18:36:14.315218,2024-12-31 18:37:34.424782,0 days 00:01:20.109564,13,60,190.0,200.0,180.0,5.0,,,,,,,,5.0,10.0,200.0,170.0,20.0,5.0,200.0,200.0,2,4.0,6.0,2.0,6.0,,,,,,,,4.0,2.0,6.0,2.0,6.0,3.0,2.0,6.0,COMPLETE
11,11,0.40378867622162046,2024-12-31 18:37:34.425797,2024-12-31 18:37:51.815241,0 days 00:00:17.389444,1,60,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8766739023507426,2024-12-31 18:37:51.815714,2024-12-31 18:39:24.388694,0 days 00:01:32.572980,4,40,140.0,,,,,,,,,,,5.0,200.0,,,,,,,5,3.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
13,13,0.0,2024-12-31 18:39:24.389332,2024-12-31 18:39:56.089969,0 days 00:00:31.700637,5,40,145.0,,,,,,,,,,,10.0,200.0,190.0,,,,,,5,3.0,,,,,,,,,,,4.0,3.0,4.0,,,,,,COMPLETE
14,14,0.8795707080419055,2024-12-31 18:39:56.090637,2024-12-31 18:41:42.492400,0 days 00:01:46.401763,4,45,145.0,,,,,,,,,,,40.0,165.0,,,,,,,5,3.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
15,15,0.8809117640457005,2024-12-31 18:41:42.493169,2024-12-31 18:43:25.895512,0 days 00:01:43.402343,3,115,200.0,,,,,,,,,,,45.0,,,,,,,,5,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
16,16,0.0,2024-12-31 18:43:25.896143,2024-12-31 18:45:14.844190,0 days 00:01:48.948047,13,130,200.0,20.0,105.0,185.0,,,,,,,,50.0,160.0,155.0,135.0,195.0,200.0,190.0,15.0,3,4.0,6.0,4.0,2.0,,,,,,,,3.0,5.0,3.0,6.0,2.0,6.0,4.0,2.0,COMPLETE
17,17,0.0,2024-12-31 18:45:14.845214,2024-12-31 18:45:32.962876,0 days 00:00:18.117662,4,120,175.0,,,,,,,,,,,40.0,165.0,,,,,,,4,3.0,,,,,,,,,,,3.0,2.0,,,,,,,COMPLETE
18,18,0.0,2024-12-31 18:45:32.963460,2024-12-31 18:46:01.229635,0 days 00:00:28.266175,7,95,120.0,,,,,,,,,,,45.0,80.0,65.0,135.0,5.0,,,,6,4.0,,,,,,,,,,,3.0,5.0,3.0,3.0,4.0,,,,COMPLETE
19,19,0.0,2024-12-31 18:46:01.230323,2024-12-31 18:47:25.824182,0 days 00:01:24.593859,10,155,180.0,,,,,,,,,,,125.0,40.0,160.0,5.0,155.0,150.0,130.0,65.0,5,5.0,,,,,,,,,,,5.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,COMPLETE
20,20,0.8858699901660346,2024-12-31 18:47:25.825121,2024-12-31 18:48:18.263424,0 days 00:00:52.438303,3,200,125.0,,,,,,,,,,,65.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
21,21,0.8812179842213442,2024-12-31 18:48:18.264135,2024-12-31 18:49:11.088292,0 days 00:00:52.824157,3,200,125.0,,,,,,,,,,,65.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
22,22,0.8853970387304763,2024-12-31 18:49:11.088858,2024-12-31 18:50:04.475123,0 days 00:00:53.386265,3,200,125.0,,,,,,,,,,,70.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
23,23,0.0,2024-12-31 18:50:04.475760,2024-12-31 18:50:22.861264,0 days 00:00:18.385504,6,195,130.0,,,,,,,,,,,75.0,40.0,5.0,145.0,,,,,2,2.0,,,,,,,,,,,2.0,4.0,4.0,3.0,,,,,COMPLETE
24,24,0.0,2024-12-31 18:50:22.861879,2024-12-31 18:50:33.254565,0 days 00:00:10.392686,3,200,100.0,,,,,,,,,,,95.0,,,,,,,,2,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
25,25,0.0,2024-12-31 18:50:33.255172,2024-12-31 18:51:08.708608,0 days 00:00:35.453436,8,175,120.0,,,,,,,,,,,65.0,100.0,70.0,110.0,40.0,10.0,,,2,2.0,,,,,,,,,,,2.0,6.0,6.0,5.0,5.0,3.0,,,COMPLETE
26,26,0.0,2024-12-31 18:51:08.709256,2024-12-31 18:52:25.232760,0 days 00:01:16.523504,12,180,60.0,120.0,110.0,,,,,,,,,130.0,40.0,150.0,200.0,100.0,65.0,65.0,190.0,3,2.0,4.0,3.0,,,,,,,,,2.0,5.0,2.0,3.0,3.0,3.0,5.0,6.0,COMPLETE
27,27,0.0,2024-12-31 18:52:25.233726,2024-12-31 18:53:02.541797,0 days 00:00:37.308071,5,155,105.0,,,,,,,,,,,115.0,105.0,180.0,,,,,,2,2.0,,,,,,,,,,,2.0,6.0,5.0,,,,,,COMPLETE
28,28,0.8878056681476072,2024-12-31 18:53:02.542523,2024-12-31 18:53:16.454821,0 days 00:00:13.912298,1,200,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,0.883359675228223,2024-12-31 18:53:16.455277,2024-12-31 18:53:29.301862,0 days 00:00:12.846585,1,170,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
30,30,0.0,2024-12-31 18:53:29.302362,2024-12-31 18:54:41.996262,0 days 00:01:12.693900,9,190,85.0,,,,,,,,,,,155.0,140.0,130.0,165.0,200.0,155.0,150.0,,3,6.0,,,,,,,,,,,3.0,2.0,3.0,6.0,2.0,5.0,3.0,,COMPLETE
31,31,0.8684621197837259,2024-12-31 18:54:41.997045,2024-12-31 18:54:55.207060,0 days 00:00:13.210015,1,170,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.8220814633180458,2024-12-31 18:54:55.207476,2024-12-31 18:55:06.208126,0 days 00:00:11.000650,1,165,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.8778130556355357,2024-12-31 18:55:06.208579,2024-12-31 18:56:01.158374,0 days 00:00:54.949795,2,145,170.0,,,,,,,,,,,,,,,,,,,3,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8579094369720739,2024-12-31 18:56:01.158984,2024-12-31 18:56:13.578763,0 days 00:00:12.419779,1,190,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.8863444711132801,2024-12-31 18:56:13.579186,2024-12-31 18:57:53.433801,0 days 00:01:39.854615,3,185,40.0,,,,,,,,,,,30.0,,,,,,,,3,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
36,36,0.0,2024-12-31 18:57:53.434417,2024-12-31 18:58:28.890826,0 days 00:00:35.456409,6,185,35.0,,,,,,,,,,,25.0,175.0,75.0,10.0,,,,,3,5.0,,,,,,,,,,,3.0,4.0,2.0,2.0,,,,,COMPLETE
37,37,0.0,2024-12-31 18:58:28.891373,2024-12-31 19:00:04.529880,0 days 00:01:35.638507,16,140,70.0,100.0,200.0,10.0,165.0,165.0,185.0,,,,,25.0,60.0,40.0,90.0,100.0,75.0,90.0,95.0,4,4.0,3.0,6.0,3.0,2.0,6.0,2.0,,,,,3.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,COMPLETE
