,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2025-01-01 07:06:38.692857,2025-01-01 07:06:50.796950,0 days 00:00:12.104093,19,130,130.0,130.0,135.0,110.0,90.0,95.0,55.0,115.0,10.0,140.0,,15.0,95.0,80.0,100.0,140.0,115.0,165.0,200.0,6,5.0,3.0,6.0,4.0,6.0,6.0,2.0,5.0,5.0,2.0,,2.0,6.0,5.0,3.0,2.0,5.0,4.0,4.0,COMPLETE
1,1,0.0,2025-01-01 07:06:50.798105,2025-01-01 07:06:56.967213,0 days 00:00:06.169108,12,155,60.0,165.0,125.0,,,,,,,,,200.0,45.0,200.0,140.0,190.0,10.0,150.0,85.0,3,5.0,2.0,2.0,,,,,,,,,2.0,3.0,3.0,2.0,6.0,3.0,2.0,6.0,COMPLETE
2,2,0.0,2025-01-01 07:06:56.968077,2025-01-01 07:07:03.574018,0 days 00:00:06.605941,11,20,120.0,45.0,,,,,,,,,,130.0,70.0,140.0,70.0,45.0,135.0,180.0,5.0,4,5.0,6.0,,,,,,,,,,2.0,6.0,4.0,5.0,2.0,6.0,2.0,4.0,COMPLETE
3,3,0.0,2025-01-01 07:07:03.574864,2025-01-01 07:07:16.674927,0 days 00:00:13.100063,20,110,120.0,50.0,105.0,190.0,50.0,50.0,125.0,105.0,155.0,110.0,30.0,20.0,135.0,185.0,85.0,175.0,175.0,175.0,40.0,4,4.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,2.0,6.0,5.0,2.0,6.0,2.0,6.0,6.0,3.0,2.0,5.0,COMPLETE
4,4,0.8572639909553419,2025-01-01 07:07:16.676004,2025-01-01 07:07:19.161476,0 days 00:00:02.485472,1,40,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.0,2025-01-01 07:07:19.161790,2025-01-01 07:07:29.459614,0 days 00:00:10.297824,15,105,180.0,120.0,105.0,20.0,195.0,55.0,,,,,,95.0,40.0,155.0,120.0,40.0,135.0,100.0,10.0,3,5.0,6.0,5.0,6.0,6.0,5.0,,,,,,4.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,COMPLETE
6,6,0.0,2025-01-01 07:07:29.460280,2025-01-01 07:07:38.053828,0 days 00:00:08.593548,14,190,160.0,80.0,35.0,130.0,150.0,,,,,,,10.0,170.0,190.0,140.0,130.0,165.0,150.0,70.0,4,2.0,4.0,6.0,3.0,3.0,,,,,,,6.0,6.0,6.0,5.0,2.0,2.0,4.0,3.0,COMPLETE
7,7,0.0,2025-01-01 07:07:38.054452,2025-01-01 07:07:47.842645,0 days 00:00:09.788193,17,25,35.0,30.0,170.0,155.0,70.0,90.0,165.0,15.0,,,,170.0,70.0,115.0,195.0,100.0,185.0,45.0,185.0,3,2.0,4.0,3.0,6.0,5.0,2.0,3.0,4.0,,,,6.0,4.0,2.0,2.0,4.0,4.0,6.0,3.0,COMPLETE
8,8,0.8600924499229583,2025-01-01 07:07:47.843340,2025-01-01 07:07:50.929889,0 days 00:00:03.086549,1,195,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
9,9,0.0,2025-01-01 07:07:50.930320,2025-01-01 07:07:54.112749,0 days 00:00:03.182429,5,20,110.0,,,,,,,,,,,165.0,175.0,5.0,,,,,,3,2.0,,,,,,,,,,,2.0,6.0,6.0,,,,,,COMPLETE
