,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2025-01-01 09:49:28.743286,2025-01-01 09:49:34.565714,0 days 00:00:05.822428,8,105,180.0,,,,,,,,,,,85.0,135.0,185.0,90.0,150.0,50.0,,,2,5.0,,,,,,,,,,,5.0,6.0,4.0,4.0,6.0,4.0,,,COMPLETE
1,1,0.797318984234872,2025-01-01 09:49:34.566321,2025-01-01 09:49:38.265851,0 days 00:00:03.699530,1,90,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.8392344497607656,2025-01-01 09:49:38.266156,2025-01-01 09:49:41.865142,0 days 00:00:03.598986,2,45,180.0,,,,,,,,,,,,,,,,,,,2,3.0,,,,,,,,,,,,,,,,,,,COMPLETE
3,3,0.812125569134915,2025-01-01 09:49:41.865474,2025-01-01 09:49:52.282796,0 days 00:00:10.417322,4,35,40.0,,,,,,,,,,,160.0,55.0,,,,,,,2,6.0,,,,,,,,,,,6.0,4.0,,,,,,,COMPLETE
4,4,0.0,2025-01-01 09:49:52.283191,2025-01-01 09:49:55.957414,0 days 00:00:03.674223,7,15,125.0,,,,,,,,,,,10.0,10.0,15.0,145.0,110.0,,,,2,5.0,,,,,,,,,,,2.0,3.0,2.0,5.0,3.0,,,,COMPLETE
5,5,0.7533783783783784,2025-01-01 09:49:55.957878,2025-01-01 09:50:05.565828,0 days 00:00:09.607950,5,90,175.0,,,,,,,,,,,25.0,60.0,25.0,,,,,,2,5.0,,,,,,,,,,,3.0,4.0,4.0,,,,,,COMPLETE
6,6,0.0,2025-01-01 09:50:05.566350,2025-01-01 09:50:08.110513,0 days 00:00:02.544163,4,185,85.0,,,,,,,,,,,25.0,185.0,,,,,,,3,5.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
7,7,0.0,2025-01-01 09:50:08.110890,2025-01-01 09:50:18.925224,0 days 00:00:10.814334,18,100,25.0,185.0,35.0,195.0,65.0,120.0,90.0,85.0,120.0,,,125.0,5.0,105.0,5.0,55.0,50.0,95.0,180.0,5,6.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,6.0,,,5.0,3.0,6.0,2.0,6.0,4.0,3.0,2.0,COMPLETE
8,8,0.8303436179542374,2025-01-01 09:50:18.925972,2025-01-01 09:50:24.069612,0 days 00:00:05.143640,2,125,15.0,,,,,,,,,,,,,,,,,,,6,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
9,9,0.0,2025-01-01 09:50:24.069986,2025-01-01 09:50:32.755617,0 days 00:00:08.685631,12,195,105.0,165.0,10.0,,,,,,,,,160.0,125.0,145.0,110.0,85.0,70.0,55.0,130.0,6,3.0,6.0,5.0,,,,,,,,,5.0,2.0,6.0,6.0,6.0,4.0,3.0,6.0,COMPLETE
