,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2025-01-01 11:15:15.674636,2025-01-01 11:15:21.179337,0 days 00:00:05.504701,8,90,90.0,,,,,,,,,,,100.0,115.0,60.0,120.0,200.0,180.0,,,3,4.0,,,,,,,,,,,6.0,2.0,6.0,5.0,4.0,6.0,,,COMPLETE
1,1,0.0,2025-01-01 11:15:21.179939,2025-01-01 11:15:29.462981,0 days 00:00:08.283042,16,145,5.0,80.0,85.0,130.0,195.0,35.0,95.0,,,,,35.0,85.0,150.0,90.0,200.0,30.0,15.0,200.0,3,2.0,4.0,3.0,5.0,4.0,5.0,3.0,,,,,3.0,3.0,3.0,6.0,6.0,6.0,3.0,2.0,COMPLETE
2,2,0.4301572617946346,2025-01-01 11:15:29.463763,2025-01-01 11:15:34.716066,0 days 00:00:05.252303,3,145,25.0,,,,,,,,,,,60.0,,,,,,,,5,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
3,3,0.0,2025-01-01 11:15:34.716451,2025-01-01 11:15:39.010697,0 days 00:00:04.294246,11,180,45.0,30.0,,,,,,,,,,45.0,30.0,120.0,95.0,110.0,20.0,100.0,190.0,3,5.0,2.0,,,,,,,,,,5.0,4.0,3.0,2.0,4.0,2.0,6.0,6.0,COMPLETE
4,4,0.0,2025-01-01 11:15:39.011269,2025-01-01 11:15:50.567189,0 days 00:00:11.555920,19,130,65.0,150.0,50.0,190.0,95.0,110.0,125.0,190.0,115.0,170.0,,10.0,115.0,90.0,20.0,50.0,95.0,30.0,5.0,4,3.0,6.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,,6.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,COMPLETE
5,5,0.0,2025-01-01 11:15:50.568036,2025-01-01 11:15:55.097922,0 days 00:00:04.529886,8,120,80.0,,,,,,,,,,,70.0,155.0,70.0,15.0,175.0,190.0,,,6,4.0,,,,,,,,,,,6.0,5.0,3.0,3.0,2.0,2.0,,,COMPLETE
6,6,0.0,2025-01-01 11:15:55.098429,2025-01-01 11:16:01.862478,0 days 00:00:06.764049,15,25,25.0,25.0,110.0,160.0,10.0,50.0,,,,,,10.0,100.0,85.0,200.0,60.0,25.0,100.0,105.0,2,3.0,3.0,3.0,2.0,3.0,3.0,,,,,,2.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,COMPLETE
7,7,0.0,2025-01-01 11:16:01.863162,2025-01-01 11:16:09.368537,0 days 00:00:07.505375,11,65,40.0,90.0,,,,,,,,,,30.0,105.0,175.0,30.0,145.0,60.0,100.0,140.0,3,6.0,3.0,,,,,,,,,,5.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,COMPLETE
8,8,0.0,2025-01-01 11:16:09.369145,2025-01-01 11:16:14.813318,0 days 00:00:05.444173,11,155,125.0,115.0,,,,,,,,,,130.0,55.0,40.0,100.0,100.0,125.0,180.0,15.0,6,2.0,4.0,,,,,,,,,,2.0,3.0,4.0,6.0,5.0,5.0,6.0,6.0,COMPLETE
9,9,0.0,2025-01-01 11:16:14.814029,2025-01-01 11:16:18.232609,0 days 00:00:03.418580,6,95,180.0,,,,,,,,,,,130.0,5.0,65.0,75.0,,,,,2,5.0,,,,,,,,,,,2.0,4.0,4.0,3.0,,,,,COMPLETE
