,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2025-01-01 12:23:14.296004,2025-01-01 12:23:41.399185,0 days 00:00:27.103181,5,110,105.0,,,,,,,,,,,170.0,60.0,150.0,,,,,,4,3.0,,,,,,,,,,,5.0,4.0,5.0,,,,,,COMPLETE
1,1,0.8778415421764598,2025-01-01 12:23:41.399774,2025-01-01 12:26:34.062408,0 days 00:02:52.662634,4,200,40.0,,,,,,,,,,,195.0,110.0,,,,,,,3,5.0,,,,,,,,,,,6.0,4.0,,,,,,,COMPLETE
2,2,0.0,2025-01-01 12:26:34.062994,2025-01-01 12:27:26.810811,0 days 00:00:52.747817,9,180,60.0,,,,,,,,,,,95.0,20.0,200.0,110.0,130.0,100.0,100.0,,3,4.0,,,,,,,,,,,5.0,6.0,4.0,5.0,5.0,6.0,5.0,,COMPLETE
3,3,0.0,2025-01-01 12:27:26.811498,2025-01-01 12:28:15.571966,0 days 00:00:48.760468,13,80,140.0,115.0,15.0,150.0,,,,,,,,40.0,90.0,100.0,180.0,105.0,185.0,145.0,150.0,4,2.0,2.0,2.0,6.0,,,,,,,,5.0,3.0,6.0,5.0,2.0,3.0,5.0,4.0,COMPLETE
4,4,0.0,2025-01-01 12:28:15.572735,2025-01-01 12:29:50.266411,0 days 00:01:34.693676,17,65,150.0,175.0,195.0,120.0,20.0,100.0,20.0,90.0,,,,90.0,45.0,145.0,180.0,120.0,200.0,55.0,55.0,6,5.0,5.0,3.0,6.0,5.0,3.0,3.0,5.0,,,,2.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,COMPLETE
5,5,0.8750836462444103,2025-01-01 12:29:50.267320,2025-01-01 12:31:17.221157,0 days 00:01:26.953837,3,15,115.0,,,,,,,,,,,90.0,,,,,,,,2,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
6,6,0.0,2025-01-01 12:31:17.221727,2025-01-01 12:31:44.892818,0 days 00:00:27.671091,9,15,125.0,,,,,,,,,,,55.0,110.0,150.0,145.0,100.0,25.0,190.0,,2,2.0,,,,,,,,,,,4.0,5.0,4.0,5.0,3.0,2.0,5.0,,COMPLETE
7,7,0.0,2025-01-01 12:31:44.893492,2025-01-01 12:32:25.929822,0 days 00:00:41.036330,12,135,200.0,180.0,90.0,,,,,,,,,165.0,20.0,70.0,10.0,70.0,50.0,160.0,55.0,4,2.0,4.0,5.0,,,,,,,,,2.0,6.0,5.0,3.0,3.0,6.0,2.0,2.0,COMPLETE
8,8,0.0,2025-01-01 12:32:25.930455,2025-01-01 12:33:28.169433,0 days 00:01:02.238978,17,85,165.0,30.0,90.0,10.0,115.0,190.0,25.0,90.0,,,,20.0,80.0,130.0,40.0,60.0,10.0,195.0,70.0,2,5.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,3.0,6.0,2.0,5.0,5.0,6.0,5.0,5.0,COMPLETE
9,9,0.0,2025-01-01 12:33:28.170331,2025-01-01 12:33:50.043775,0 days 00:00:21.873444,4,65,60.0,,,,,,,,,,,200.0,30.0,,,,,,,3,3.0,,,,,,,,,,,3.0,5.0,,,,,,,COMPLETE
