,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2025-01-01 21:35:42.255670,2025-01-01 21:35:55.424313,0 days 00:00:13.168643,16,70,120.0,50.0,120.0,40.0,70.0,105.0,195.0,,,,,80.0,50.0,95.0,170.0,35.0,125.0,185.0,190.0,5,3.0,5.0,4.0,5.0,4.0,6.0,6.0,,,,,6.0,6.0,5.0,6.0,5.0,4.0,2.0,3.0,COMPLETE
1,1,0.0,2025-01-01 21:35:55.425227,2025-01-01 21:36:05.122325,0 days 00:00:09.697098,18,70,80.0,30.0,135.0,35.0,180.0,90.0,125.0,105.0,175.0,,,75.0,55.0,200.0,25.0,140.0,120.0,45.0,95.0,4,5.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,4.0,,,2.0,6.0,3.0,3.0,6.0,5.0,4.0,3.0,COMPLETE
2,2,0.0,2025-01-01 21:36:05.123285,2025-01-01 21:36:11.420245,0 days 00:00:06.296960,4,60,105.0,,,,,,,,,,,125.0,140.0,,,,,,,3,6.0,,,,,,,,,,,5.0,6.0,,,,,,,COMPLETE
3,3,0.0,2025-01-01 21:36:11.420873,2025-01-01 21:36:22.006678,0 days 00:00:10.585805,19,15,80.0,125.0,105.0,40.0,195.0,105.0,95.0,100.0,145.0,50.0,,10.0,110.0,35.0,15.0,115.0,100.0,65.0,170.0,6,4.0,2.0,2.0,5.0,5.0,2.0,6.0,4.0,5.0,2.0,,4.0,6.0,5.0,5.0,2.0,3.0,4.0,6.0,COMPLETE
4,4,0.0,2025-01-01 21:36:22.007707,2025-01-01 21:36:31.378107,0 days 00:00:09.370400,17,30,140.0,30.0,175.0,40.0,130.0,150.0,150.0,195.0,,,,195.0,40.0,135.0,170.0,75.0,30.0,15.0,110.0,6,3.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,6.0,5.0,2.0,5.0,5.0,3.0,3.0,COMPLETE
5,5,0.9383547134282688,2025-01-01 21:36:31.379115,2025-01-01 21:36:36.675045,0 days 00:00:05.295930,1,45,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,0.0,2025-01-01 21:36:36.675362,2025-01-01 21:36:47.335359,0 days 00:00:10.659997,15,100,150.0,95.0,30.0,155.0,95.0,165.0,,,,,,70.0,85.0,160.0,160.0,155.0,60.0,90.0,110.0,5,2.0,2.0,3.0,5.0,3.0,3.0,,,,,,3.0,5.0,2.0,3.0,6.0,4.0,6.0,6.0,COMPLETE
7,7,0.0,2025-01-01 21:36:47.336031,2025-01-01 21:36:57.720651,0 days 00:00:10.384620,16,155,50.0,45.0,195.0,25.0,145.0,45.0,145.0,,,,,110.0,150.0,20.0,185.0,80.0,10.0,30.0,75.0,5,4.0,5.0,4.0,5.0,3.0,6.0,6.0,,,,,5.0,5.0,3.0,3.0,3.0,3.0,4.0,6.0,COMPLETE
8,8,0.0,2025-01-01 21:36:57.721348,2025-01-01 21:37:05.948144,0 days 00:00:08.226796,12,170,40.0,155.0,95.0,,,,,,,,,20.0,185.0,10.0,130.0,65.0,55.0,110.0,10.0,2,4.0,6.0,6.0,,,,,,,,,5.0,2.0,4.0,6.0,6.0,6.0,5.0,4.0,COMPLETE
9,9,0.0,2025-01-01 21:37:05.948750,2025-01-01 21:37:16.827803,0 days 00:00:10.879053,16,115,85.0,85.0,100.0,165.0,130.0,60.0,170.0,,,,,15.0,130.0,140.0,185.0,80.0,180.0,70.0,90.0,4,2.0,5.0,5.0,4.0,5.0,4.0,3.0,,,,,3.0,3.0,2.0,2.0,4.0,6.0,5.0,5.0,COMPLETE
10,10,0.9256356854906251,2025-01-01 21:37:16.828476,2025-01-01 21:37:26.702846,0 days 00:00:09.874370,2,5,185.0,,,,,,,,,,,,,,,,,,,2,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.8915211405969262,2025-01-01 21:37:26.703183,2025-01-01 21:37:31.783866,0 days 00:00:05.080683,1,10,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.0,2025-01-01 21:37:31.784265,2025-01-01 21:37:38.861207,0 days 00:00:07.076942,6,40,195.0,,,,,,,,,,,200.0,5.0,70.0,75.0,,,,,3,6.0,,,,,,,,,,,6.0,2.0,6.0,5.0,,,,,COMPLETE
13,13,0.0,2025-01-01 21:37:38.861669,2025-01-01 21:37:44.488076,0 days 00:00:05.626407,7,45,200.0,,,,,,,,,,,155.0,195.0,60.0,80.0,195.0,,,,2,5.0,,,,,,,,,,,2.0,4.0,6.0,4.0,2.0,,,,COMPLETE
14,14,0.9447335674745314,2025-01-01 21:37:44.488597,2025-01-01 21:37:50.042072,0 days 00:00:05.553475,1,200,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
15,15,0.0,2025-01-01 21:37:50.042392,2025-01-01 21:37:53.629305,0 days 00:00:03.586913,9,135,5.0,,,,,,,,,,,160.0,10.0,185.0,50.0,10.0,175.0,200.0,,3,3.0,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0,2.0,2.0,,COMPLETE
16,16,0.0,2025-01-01 21:37:53.629799,2025-01-01 21:37:59.254322,0 days 00:00:05.624523,4,190,165.0,,,,,,,,,,,55.0,90.0,,,,,,,3,5.0,,,,,,,,,,,4.0,4.0,,,,,,,COMPLETE
17,17,0.9432325242407267,2025-01-01 21:37:59.254740,2025-01-01 21:38:11.305449,0 days 00:00:12.050709,3,200,25.0,,,,,,,,,,,40.0,,,,,,,,3,2.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
18,18,0.0,2025-01-01 21:38:11.305827,2025-01-01 21:38:19.953905,0 days 00:00:08.648078,12,200,5.0,195.0,5.0,,,,,,,,,50.0,170.0,105.0,120.0,190.0,200.0,140.0,20.0,4,2.0,3.0,2.0,,,,,,,,,6.0,3.0,3.0,5.0,4.0,2.0,6.0,2.0,COMPLETE
