,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.8830916165546516,2025-01-03 01:46:42.957023,2025-01-03 01:48:02.306743,0 days 00:01:19.349720,2,6,3.0,,,,,,,,,,,,,,,,,,,20,55.0,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.4012559065296549,2025-01-03 01:48:02.307291,2025-01-03 01:50:17.500263,0 days 00:02:15.192972,5,3,5.0,,,,,,,,,,,3.0,3.0,8.0,,,,,,30,10.0,,,,,,,,,,,5.0,40.0,55.0,,,,,,COMPLETE
2,2,0.0,2025-01-03 01:50:17.500843,2025-01-03 02:04:50.738706,0 days 00:14:33.237863,19,6,11.0,7.0,9.0,7.0,2.0,9.0,10.0,2.0,6.0,1.0,,2.0,15.0,9.0,11.0,3.0,15.0,7.0,13.0,20,55.0,35.0,50.0,50.0,55.0,15.0,40.0,40.0,40.0,20.0,,30.0,30.0,15.0,25.0,45.0,20.0,10.0,40.0,COMPLETE
3,3,0.8724430485353001,2025-01-03 02:04:50.739551,2025-01-03 02:08:53.485517,0 days 00:04:02.745966,3,8,8.0,,,,,,,,,,,14.0,,,,,,,,40,55.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
4,4,0.8400476649129003,2025-01-03 02:08:53.486060,2025-01-03 02:09:00.427748,0 days 00:00:06.941688,1,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.36469661862592506,2025-01-03 02:09:00.428075,2025-01-03 02:13:22.998546,0 days 00:04:22.570471,8,4,14.0,,,,,,,,,,,14.0,6.0,7.0,6.0,3.0,15.0,,,30,50.0,,,,,,,,,,,50.0,35.0,15.0,30.0,45.0,50.0,,,COMPLETE
6,6,0.5087300557753174,2025-01-03 02:13:22.999182,2025-01-03 02:17:34.297262,0 days 00:04:11.298080,3,8,15.0,,,,,,,,,,,15.0,,,,,,,,35,45.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
7,7,0.18234344532174024,2025-01-03 02:17:34.297787,2025-01-03 02:22:20.506334,0 days 00:04:46.208547,9,13,1.0,,,,,,,,,,,7.0,2.0,1.0,7.0,12.0,11.0,8.0,,20,25.0,,,,,,,,,,,10.0,45.0,50.0,35.0,35.0,10.0,5.0,,COMPLETE
8,8,0.191668199401827,2025-01-03 02:22:20.506979,2025-01-03 02:26:20.684263,0 days 00:04:00.177284,12,4,9.0,1.0,4.0,,,,,,,,,8.0,2.0,13.0,12.0,11.0,3.0,4.0,12.0,40,45.0,10.0,40.0,,,,,,,,,20.0,40.0,60.0,50.0,50.0,45.0,50.0,60.0,COMPLETE
9,9,0.0820678407629446,2025-01-03 02:26:20.684957,2025-01-03 02:29:15.971945,0 days 00:02:55.286988,7,15,9.0,,,,,,,,,,,11.0,10.0,10.0,12.0,1.0,,,,15,35.0,,,,,,,,,,,5.0,20.0,10.0,35.0,35.0,,,,COMPLETE
10,10,0.2900923067248331,2025-01-03 02:29:15.972566,2025-01-03 02:30:50.261502,0 days 00:01:34.288936,13,10,2.0,15.0,15.0,14.0,,,,,,,,5.0,15.0,1.0,2.0,15.0,1.0,15.0,2.0,60,30.0,45.0,5.0,5.0,,,,,,,,60.0,60.0,35.0,5.0,5.0,60.0,60.0,5.0,COMPLETE
11,11,0.8831301034295047,2025-01-03 02:30:50.262277,2025-01-03 02:33:30.520778,0 days 00:02:40.258501,1,9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8974206472870427,2025-01-03 02:33:30.521280,2025-01-03 02:36:42.483494,0 days 00:03:11.962214,1,10,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.08886659418816935,2025-01-03 02:36:42.483990,2025-01-03 02:39:51.189324,0 days 00:03:08.705334,16,11,5.0,15.0,1.0,1.0,15.0,1.0,1.0,,,,,1.0,10.0,15.0,1.0,7.0,7.0,15.0,1.0,55,5.0,60.0,10.0,15.0,5.0,60.0,5.0,,,,,40.0,5.0,35.0,60.0,5.0,30.0,35.0,5.0,COMPLETE
14,14,0.26911286128562434,2025-01-03 02:39:51.190087,2025-01-03 02:45:55.622495,0 days 00:06:04.432408,5,11,12.0,,,,,,,,,,,10.0,6.0,5.0,,,,,,50,15.0,,,,,,,,,,,30.0,60.0,25.0,,,,,,COMPLETE
15,15,0.3829169136310372,2025-01-03 02:45:55.623062,2025-01-03 02:50:55.388689,0 days 00:04:59.765627,5,10,5.0,,,,,,,,,,,11.0,12.0,4.0,,,,,,50,20.0,,,,,,,,,,,60.0,5.0,45.0,,,,,,COMPLETE
16,16,0.8223795487443957,2025-01-03 02:50:55.389260,2025-01-03 02:55:03.167277,0 days 00:04:07.778017,1,14,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
17,17,0.03808672021248449,2025-01-03 02:55:03.167765,2025-01-03 02:57:03.068108,0 days 00:01:59.900343,11,7,12.0,1.0,,,,,,,,,,5.0,6.0,12.0,15.0,7.0,7.0,1.0,7.0,60,35.0,5.0,,,,,,,,,,45.0,20.0,5.0,10.0,60.0,5.0,25.0,35.0,COMPLETE
18,18,0.4741207560524568,2025-01-03 02:57:03.068782,2025-01-03 03:03:29.830500,0 days 00:06:26.761718,4,12,6.0,,,,,,,,,,,4.0,12.0,,,,,,,50,60.0,,,,,,,,,,,20.0,50.0,,,,,,,COMPLETE
19,19,0.25647337040096085,2025-01-03 03:03:29.831056,2025-01-03 03:09:29.592494,0 days 00:05:59.761438,7,9,8.0,,,,,,,,,,,12.0,4.0,4.0,4.0,15.0,,,,40,40.0,,,,,,,,,,,20.0,20.0,25.0,50.0,20.0,,,,COMPLETE
20,20,0.0,2025-01-03 03:09:29.593115,2025-01-03 03:31:07.152412,0 days 00:21:37.559297,14,13,3.0,9.0,15.0,15.0,10.0,,,,,,,7.0,8.0,15.0,9.0,9.0,10.0,11.0,8.0,55,25.0,20.0,60.0,60.0,20.0,,,,,,,50.0,15.0,45.0,15.0,20.0,35.0,35.0,60.0,COMPLETE
21,21,0.9093590530910585,2025-01-03 03:31:07.153172,2025-01-03 03:32:07.538544,0 days 00:01:00.385372,1,6,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.85942896319255,2025-01-03 03:32:07.539046,2025-01-03 03:33:21.126061,0 days 00:01:13.587015,1,6,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.8642136536350911,2025-01-03 03:33:21.126528,2025-01-03 03:35:09.903094,0 days 00:01:48.776566,3,9,14.0,,,,,,,,,,,9.0,,,,,,,,25,5.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
24,24,0.22333580806120712,2025-01-03 03:35:09.903627,2025-01-03 03:40:10.036418,0 days 00:05:00.132791,6,7,11.0,,,,,,,,,,,13.0,1.0,11.0,15.0,,,,,45,15.0,,,,,,,,,,,25.0,50.0,25.0,20.0,,,,,COMPLETE
25,25,0.8745713761438613,2025-01-03 03:40:10.037024,2025-01-03 03:40:34.421151,0 days 00:00:24.384127,1,5,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.8700844691733491,2025-01-03 03:40:34.421605,2025-01-03 03:44:40.266616,0 days 00:04:05.845011,3,9,7.0,,,,,,,,,,,6.0,,,,,,,,45,30.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
27,27,0.22142139408627998,2025-01-03 03:44:40.267155,2025-01-03 03:46:58.915936,0 days 00:02:18.648781,10,1,1.0,,,,,,,,,,,9.0,13.0,6.0,4.0,5.0,4.0,11.0,15.0,25,40.0,,,,,,,,,,,40.0,30.0,40.0,45.0,20.0,20.0,20.0,20.0,COMPLETE
28,28,0.8746617299442424,2025-01-03 03:46:58.916613,2025-01-03 03:53:57.629117,0 days 00:06:58.712504,4,11,10.0,,,,,,,,,,,1.0,8.0,,,,,,,55,60.0,,,,,,,,,,,15.0,55.0,,,,,,,COMPLETE
29,29,0.8778809863824144,2025-01-03 03:53:57.629672,2025-01-03 03:55:20.597391,0 days 00:01:22.967719,2,7,3.0,,,,,,,,,,,,,,,,,,,25,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
30,30,0.8707180289940517,2025-01-03 03:55:20.597904,2025-01-03 03:57:57.814502,0 days 00:02:37.216598,2,10,13.0,,,,,,,,,,,,,,,,,,,35,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.8542174746621259,2025-01-03 03:57:57.815024,2025-01-03 03:58:35.475185,0 days 00:00:37.660161,2,3,3.0,,,,,,,,,,,,,,,,,,,15,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
32,32,0.0,2025-01-03 03:58:35.475678,2025-01-03 04:27:42.524632,0 days 00:29:07.048954,20,6,4.0,9.0,9.0,1.0,3.0,15.0,15.0,14.0,15.0,15.0,15.0,3.0,10.0,3.0,10.0,11.0,12.0,1.0,4.0,30,55.0,60.0,25.0,30.0,60.0,50.0,55.0,5.0,5.0,60.0,15.0,40.0,10.0,60.0,60.0,60.0,60.0,50.0,20.0,COMPLETE
33,33,0.47775237840181606,2025-01-03 04:27:42.525511,2025-01-03 04:31:04.310041,0 days 00:03:21.784530,4,5,7.0,,,,,,,,,,,15.0,4.0,,,,,,,15,45.0,,,,,,,,,,,35.0,25.0,,,,,,,COMPLETE
34,34,0.8353034268535735,2025-01-03 04:31:04.310612,2025-01-03 04:32:08.424785,0 days 00:01:04.114173,1,8,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.21168677579390494,2025-01-03 04:32:08.425299,2025-01-03 04:38:05.921659,0 days 00:05:57.496360,5,3,6.0,,,,,,,,,,,12.0,13.0,13.0,,,,,,30,40.0,,,,,,,,,,,50.0,35.0,20.0,,,,,,COMPLETE
36,36,0.9036357016044416,2025-01-03 04:38:05.922251,2025-01-03 04:38:30.824667,0 days 00:00:24.902416,2,5,4.0,,,,,,,,,,,,,,,,,,,5,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.8671609312486177,2025-01-03 04:38:30.825147,2025-01-03 04:38:51.945547,0 days 00:00:21.120400,2,5,2.0,,,,,,,,,,,,,,,,,,,5,60.0,,,,,,,,,,,,,,,,,,,COMPLETE
38,38,0.16676231963143814,2025-01-03 04:38:51.945871,2025-01-03 04:41:33.494664,0 days 00:02:41.548793,16,7,4.0,5.0,5.0,8.0,8.0,1.0,1.0,,,,,7.0,5.0,2.0,5.0,13.0,5.0,5.0,11.0,10,55.0,25.0,25.0,35.0,35.0,5.0,5.0,,,,,25.0,10.0,5.0,40.0,25.0,40.0,45.0,45.0,COMPLETE
39,39,0.8727849899546702,2025-01-03 04:41:33.495451,2025-01-03 04:46:28.196139,0 days 00:04:54.700688,3,8,6.0,,,,,,,,,,,9.0,,,,,,,,40,50.0,,,,,,,,,,,55.0,,,,,,,,COMPLETE
