,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.7790716656690428,2025-01-05 07:03:03.631903,2025-01-05 07:03:24.098774,0 days 00:00:20.466871,3,7,3.0,,,,,,,,,,,11.0,,,,,,,,5,30.0,,,,,,,,,,,60.0,,,,,,,,COMPLETE
1,1,0.5138649966819362,2025-01-05 07:03:24.099249,2025-01-05 07:04:12.701141,0 days 00:00:48.601892,4,3,14.0,,,,,,,,,,,5.0,6.0,,,,,,,55,35.0,,,,,,,,,,,60.0,50.0,,,,,,,COMPLETE
2,2,0.4587087087087087,2025-01-05 07:04:12.701724,2025-01-05 07:04:56.571331,0 days 00:00:43.869607,4,8,11.0,,,,,,,,,,,15.0,11.0,,,,,,,15,60.0,,,,,,,,,,,40.0,15.0,,,,,,,COMPLETE
3,3,0.36611898074038274,2025-01-05 07:04:56.571938,2025-01-05 07:05:54.632761,0 days 00:00:58.060823,8,4,1.0,,,,,,,,,,,9.0,7.0,15.0,11.0,13.0,5.0,,,25,40.0,,,,,,,,,,,55.0,50.0,20.0,30.0,20.0,35.0,,,COMPLETE
4,4,0.07648371262829094,2025-01-05 07:05:54.633476,2025-01-05 07:06:22.481007,0 days 00:00:27.847531,8,9,2.0,,,,,,,,,,,10.0,5.0,6.0,2.0,6.0,12.0,,,5,55.0,,,,,,,,,,,10.0,25.0,35.0,25.0,45.0,5.0,,,COMPLETE
5,5,0.2610744319005313,2025-01-05 07:06:22.481897,2025-01-05 07:06:46.981329,0 days 00:00:24.499432,11,11,12.0,10.0,,,,,,,,,,7.0,8.0,9.0,5.0,3.0,12.0,9.0,12.0,5,10.0,20.0,,,,,,,,,,45.0,35.0,55.0,35.0,30.0,55.0,35.0,20.0,COMPLETE
6,6,0.6439401404980784,2025-01-05 07:06:46.982050,2025-01-05 07:06:55.497409,0 days 00:00:08.515359,3,4,14.0,,,,,,,,,,,2.0,,,,,,,,5,10.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
7,7,0.25,2025-01-05 07:06:55.497830,2025-01-05 07:07:34.924940,0 days 00:00:39.427110,8,13,1.0,,,,,,,,,,,11.0,2.0,14.0,9.0,7.0,11.0,,,40,5.0,,,,,,,,,,,15.0,40.0,10.0,5.0,50.0,35.0,,,COMPLETE
8,8,0.0,2025-01-05 07:07:34.925601,2025-01-05 07:11:30.602069,0 days 00:03:55.676468,18,3,12.0,13.0,11.0,6.0,10.0,8.0,1.0,5.0,6.0,,,14.0,12.0,5.0,3.0,12.0,9.0,5.0,15.0,50,60.0,60.0,10.0,20.0,50.0,20.0,50.0,30.0,40.0,,,55.0,35.0,60.0,15.0,35.0,55.0,55.0,45.0,COMPLETE
9,9,0.32707675983581386,2025-01-05 07:11:30.602957,2025-01-05 07:12:03.907147,0 days 00:00:33.304190,11,15,5.0,9.0,,,,,,,,,,11.0,2.0,6.0,13.0,13.0,5.0,13.0,13.0,45,35.0,40.0,,,,,,,,,,30.0,10.0,25.0,25.0,5.0,55.0,45.0,35.0,COMPLETE
10,10,0.15324566144238275,2025-01-05 07:12:03.907739,2025-01-05 07:14:01.378086,0 days 00:01:57.470347,16,7,6.0,1.0,2.0,15.0,2.0,1.0,15.0,,,,,1.0,15.0,1.0,15.0,1.0,1.0,1.0,3.0,25,20.0,5.0,55.0,60.0,5.0,60.0,5.0,,,,,45.0,60.0,40.0,60.0,60.0,5.0,5.0,5.0,COMPLETE
11,11,0.843993999648515,2025-01-05 07:14:01.378990,2025-01-05 07:14:07.879947,0 days 00:00:06.500957,1,6,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.7868878566688786,2025-01-05 07:14:07.880285,2025-01-05 07:14:17.704172,0 days 00:00:09.823887,2,6,5.0,,,,,,,,,,,,,,,,,,,20,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.6000359389038634,2025-01-05 07:14:17.704515,2025-01-05 07:14:24.856285,0 days 00:00:07.151770,1,6,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
14,14,0.8152232596544715,2025-01-05 07:14:24.856606,2025-01-05 07:14:34.713601,0 days 00:00:09.856995,1,10,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,COMPLETE
15,15,0.3045953490472575,2025-01-05 07:14:34.714074,2025-01-05 07:14:56.471285,0 days 00:00:21.757211,6,1,9.0,,,,,,,,,,,4.0,15.0,10.0,7.0,,,,,35,45.0,,,,,,,,,,,5.0,5.0,5.0,60.0,,,,,COMPLETE
16,16,0.1728465302274168,2025-01-05 07:14:56.471729,2025-01-05 07:15:04.489396,0 days 00:00:08.017667,15,10,8.0,2.0,15.0,1.0,15.0,15.0,,,,,,6.0,11.0,1.0,1.0,10.0,15.0,15.0,1.0,30,20.0,60.0,5.0,5.0,15.0,5.0,,,,,,20.0,20.0,45.0,45.0,5.0,20.0,5.0,60.0,COMPLETE
17,17,0.26074725444503094,2025-01-05 07:15:04.490000,2025-01-05 07:15:54.995495,0 days 00:00:50.505495,6,12,8.0,,,,,,,,,,,13.0,4.0,12.0,8.0,,,,,15,50.0,,,,,,,,,,,35.0,60.0,20.0,45.0,,,,,COMPLETE
18,18,0.7571706134697882,2025-01-05 07:15:54.996144,2025-01-05 07:16:09.713187,0 days 00:00:14.717043,1,15,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
19,19,0.24863434781781152,2025-01-05 07:16:09.713524,2025-01-05 07:16:26.198685,0 days 00:00:16.485161,13,9,4.0,5.0,1.0,15.0,,,,,,,,3.0,9.0,4.0,11.0,15.0,1.0,9.0,7.0,60,25.0,40.0,55.0,55.0,,,,,,,,5.0,25.0,50.0,5.0,15.0,20.0,20.0,5.0,COMPLETE
