,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.23450292397660819,2025-01-05 12:03:27.471772,2025-01-05 12:03:32.602799,0 days 00:00:05.131027,8,14,10.0,,,,,,,,,,,14.0,4.0,15.0,15.0,14.0,8.0,,,50,30.0,,,,,,,,,,,5.0,25.0,25.0,40.0,40.0,40.0,,,COMPLETE
1,1,0.3482352941176471,2025-01-05 12:03:32.604133,2025-01-05 12:03:39.248191,0 days 00:00:06.644058,16,6,2.0,1.0,5.0,1.0,14.0,15.0,15.0,,,,,11.0,9.0,2.0,1.0,6.0,1.0,15.0,3.0,45,15.0,50.0,50.0,55.0,15.0,40.0,40.0,,,,,10.0,40.0,20.0,45.0,35.0,45.0,15.0,40.0,COMPLETE
2,2,0.7822660098522167,2025-01-05 12:03:39.249084,2025-01-05 12:03:45.535911,0 days 00:00:06.286827,1,10,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,COMPLETE
3,3,0.11601731601731602,2025-01-05 12:03:45.536245,2025-01-05 12:03:54.753262,0 days 00:00:09.217017,17,6,13.0,3.0,3.0,14.0,5.0,7.0,1.0,5.0,,,,5.0,3.0,15.0,7.0,11.0,9.0,9.0,15.0,25,40.0,25.0,15.0,15.0,60.0,30.0,30.0,30.0,,,,25.0,20.0,15.0,10.0,10.0,20.0,60.0,35.0,COMPLETE
4,4,0.0,2025-01-05 12:03:54.753958,2025-01-05 12:04:31.544358,0 days 00:00:36.790400,20,1,5.0,4.0,13.0,3.0,12.0,8.0,2.0,4.0,3.0,9.0,1.0,15.0,12.0,9.0,11.0,5.0,8.0,4.0,10.0,15,60.0,40.0,25.0,10.0,50.0,25.0,20.0,20.0,25.0,55.0,25.0,45.0,20.0,50.0,20.0,50.0,15.0,10.0,35.0,COMPLETE
5,5,0.1921921921921922,2025-01-05 12:04:31.546386,2025-01-05 12:04:39.552785,0 days 00:00:08.006399,9,5,13.0,,,,,,,,,,,9.0,12.0,14.0,10.0,4.0,5.0,14.0,,5,60.0,,,,,,,,,,,35.0,20.0,55.0,5.0,35.0,45.0,45.0,,COMPLETE
6,6,0.30434782608695654,2025-01-05 12:04:39.553306,2025-01-05 12:04:44.324783,0 days 00:00:04.771477,12,14,11.0,14.0,5.0,,,,,,,,,7.0,10.0,9.0,3.0,7.0,14.0,12.0,13.0,30,35.0,30.0,15.0,,,,,,,,,50.0,35.0,20.0,45.0,5.0,20.0,5.0,10.0,COMPLETE
7,7,0.5921658986175116,2025-01-05 12:04:44.325324,2025-01-05 12:04:51.919586,0 days 00:00:07.594262,6,2,11.0,,,,,,,,,,,5.0,6.0,1.0,7.0,,,,,45,50.0,,,,,,,,,,,5.0,55.0,25.0,60.0,,,,,COMPLETE
8,8,0.2649122807017544,2025-01-05 12:04:51.919987,2025-01-05 12:05:07.566357,0 days 00:00:15.646370,9,7,11.0,,,,,,,,,,,15.0,1.0,3.0,10.0,6.0,9.0,14.0,,50,25.0,,,,,,,,,,,50.0,10.0,35.0,35.0,40.0,50.0,35.0,,COMPLETE
9,9,0.0,2025-01-05 12:05:07.566838,2025-01-05 12:05:38.107397,0 days 00:00:30.540559,19,7,1.0,15.0,6.0,10.0,14.0,5.0,10.0,4.0,8.0,8.0,,3.0,11.0,12.0,14.0,3.0,12.0,1.0,12.0,10,35.0,35.0,10.0,20.0,35.0,5.0,40.0,30.0,55.0,20.0,,30.0,10.0,5.0,25.0,30.0,60.0,20.0,60.0,COMPLETE
