,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.26916221033868093,2025-01-05 13:25:10.206688,2025-01-05 13:25:14.536565,0 days 00:00:04.329877,14,2,1.0,2.0,14.0,7.0,1.0,,,,,,,13.0,3.0,10.0,7.0,12.0,10.0,2.0,1.0,60,50.0,50.0,25.0,55.0,25.0,,,,,,,55.0,60.0,30.0,60.0,30.0,55.0,15.0,60.0,COMPLETE
1,1,0.6740890688259109,2025-01-05 13:25:14.537366,2025-01-05 13:25:21.937328,0 days 00:00:07.399962,1,14,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.4825396825396825,2025-01-05 13:25:21.937644,2025-01-05 13:25:33.347721,0 days 00:00:11.410077,3,14,7.0,,,,,,,,,,,14.0,,,,,,,,60,10.0,,,,,,,,,,,45.0,,,,,,,,COMPLETE
3,3,0.29263746505125815,2025-01-05 13:25:33.348121,2025-01-05 13:25:38.842329,0 days 00:00:05.494208,9,2,11.0,,,,,,,,,,,5.0,1.0,10.0,12.0,12.0,8.0,2.0,,5,55.0,,,,,,,,,,,30.0,25.0,35.0,60.0,30.0,40.0,15.0,,COMPLETE
4,4,0.37293469708890636,2025-01-05 13:25:38.842909,2025-01-05 13:25:44.592218,0 days 00:00:05.749309,12,11,4.0,9.0,13.0,,,,,,,,,4.0,10.0,7.0,12.0,13.0,1.0,11.0,9.0,5,35.0,35.0,50.0,,,,,,,,,55.0,45.0,60.0,5.0,40.0,35.0,50.0,40.0,COMPLETE
5,5,0.7414634146341463,2025-01-05 13:25:44.592741,2025-01-05 13:25:49.550110,0 days 00:00:04.957369,1,7,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,0.3333333333333333,2025-01-05 13:25:49.550403,2025-01-05 13:26:00.979765,0 days 00:00:11.429362,12,12,11.0,3.0,15.0,,,,,,,,,11.0,2.0,14.0,2.0,12.0,7.0,3.0,10.0,55,35.0,50.0,25.0,,,,,,,,,10.0,5.0,45.0,40.0,35.0,10.0,45.0,50.0,COMPLETE
7,7,0.39,2025-01-05 13:26:00.980332,2025-01-05 13:26:06.319708,0 days 00:00:05.339376,3,11,12.0,,,,,,,,,,,5.0,,,,,,,,10,10.0,,,,,,,,,,,25.0,,,,,,,,COMPLETE
8,8,0.0,2025-01-05 13:26:06.320076,2025-01-05 13:26:33.482678,0 days 00:00:27.162602,16,15,7.0,13.0,4.0,4.0,3.0,14.0,7.0,,,,,13.0,1.0,11.0,15.0,7.0,14.0,8.0,5.0,10,20.0,55.0,5.0,15.0,10.0,20.0,25.0,,,,,60.0,20.0,55.0,55.0,10.0,25.0,15.0,20.0,COMPLETE
9,9,0.42012195121951224,2025-01-05 13:26:33.483346,2025-01-05 13:26:39.264548,0 days 00:00:05.781202,11,7,11.0,7.0,,,,,,,,,,15.0,12.0,12.0,6.0,5.0,9.0,5.0,14.0,10,10.0,5.0,,,,,,,,,,40.0,15.0,25.0,25.0,20.0,40.0,45.0,50.0,COMPLETE
10,10,0.507051282051282,2025-01-05 13:26:39.265053,2025-01-05 13:26:54.114979,0 days 00:00:14.849926,7,6,15.0,,,,,,,,,,,1.0,15.0,2.0,2.0,1.0,,,,30,60.0,,,,,,,,,,,5.0,45.0,5.0,5.0,60.0,,,,COMPLETE
11,11,0.705810147299509,2025-01-05 13:26:54.115404,2025-01-05 13:26:58.110353,0 days 00:00:03.994949,1,5,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.4445454545454546,2025-01-05 13:26:58.110646,2025-01-05 13:27:11.351622,0 days 00:00:13.240976,6,5,1.0,,,,,,,,,,,9.0,6.0,1.0,10.0,,,,,35,25.0,,,,,,,,,,,20.0,40.0,5.0,25.0,,,,,COMPLETE
13,13,0.0,2025-01-05 13:27:11.352032,2025-01-05 13:27:45.059284,0 days 00:00:33.707252,20,4,15.0,15.0,1.0,14.0,15.0,1.0,15.0,9.0,5.0,8.0,13.0,1.0,6.0,5.0,5.0,1.0,1.0,15.0,15.0,45,45.0,10.0,60.0,5.0,60.0,60.0,60.0,40.0,40.0,25.0,15.0,40.0,60.0,20.0,40.0,60.0,5.0,30.0,10.0,COMPLETE
14,14,0.8357963875205254,2025-01-05 13:27:45.060166,2025-01-05 13:27:49.519809,0 days 00:00:04.459643,1,9,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,COMPLETE
