,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.17695852534562212,2025-01-05 14:45:25.755583,2025-01-05 14:45:34.993196,0 days 00:00:09.237613,15,2,15.0,9.0,3.0,15.0,3.0,7.0,,,,,,10.0,13.0,9.0,10.0,2.0,11.0,8.0,11.0,25,50.0,20.0,5.0,45.0,35.0,60.0,,,,,,10.0,55.0,45.0,25.0,60.0,20.0,20.0,15.0,COMPLETE
1,1,0.0,2025-01-05 14:45:34.994034,2025-01-05 14:46:16.952135,0 days 00:00:41.958101,17,8,11.0,5.0,6.0,13.0,14.0,8.0,15.0,7.0,,,,11.0,15.0,15.0,13.0,8.0,8.0,1.0,15.0,60,30.0,20.0,15.0,45.0,55.0,55.0,20.0,10.0,,,,30.0,55.0,60.0,30.0,25.0,30.0,60.0,5.0,COMPLETE
2,2,0.3935922330097087,2025-01-05 14:46:16.953029,2025-01-05 14:46:25.206778,0 days 00:00:08.253749,6,13,3.0,,,,,,,,,,,2.0,14.0,2.0,4.0,,,,,30,50.0,,,,,,,,,,,5.0,60.0,20.0,55.0,,,,,COMPLETE
3,3,0.0,2025-01-05 14:46:25.207288,2025-01-05 14:46:53.526278,0 days 00:00:28.318990,17,15,3.0,2.0,8.0,12.0,8.0,9.0,4.0,6.0,,,,9.0,12.0,11.0,12.0,11.0,12.0,13.0,3.0,25,50.0,15.0,20.0,25.0,5.0,10.0,45.0,5.0,,,,20.0,40.0,15.0,35.0,5.0,5.0,40.0,35.0,COMPLETE
4,4,0.0,2025-01-05 14:46:53.527217,2025-01-05 14:47:27.091712,0 days 00:00:33.564495,19,4,8.0,2.0,2.0,15.0,1.0,9.0,9.0,11.0,14.0,11.0,,7.0,7.0,6.0,6.0,2.0,8.0,13.0,11.0,50,55.0,15.0,45.0,50.0,30.0,25.0,40.0,15.0,50.0,10.0,,55.0,25.0,55.0,20.0,45.0,20.0,10.0,20.0,COMPLETE
5,5,0.27713382507903056,2025-01-05 14:47:27.092527,2025-01-05 14:47:38.201901,0 days 00:00:11.109374,5,5,9.0,,,,,,,,,,,13.0,14.0,13.0,,,,,,15,35.0,,,,,,,,,,,15.0,40.0,10.0,,,,,,COMPLETE
6,6,0.0,2025-01-05 14:47:38.202397,2025-01-05 14:48:10.586786,0 days 00:00:32.384389,18,15,2.0,5.0,2.0,11.0,3.0,14.0,14.0,15.0,1.0,,,7.0,5.0,12.0,15.0,9.0,12.0,11.0,3.0,25,20.0,35.0,30.0,60.0,30.0,20.0,20.0,55.0,45.0,,,60.0,60.0,25.0,25.0,10.0,15.0,50.0,50.0,COMPLETE
7,7,0.2215962441314554,2025-01-05 14:48:10.587542,2025-01-05 14:48:33.005948,0 days 00:00:22.418406,10,7,8.0,,,,,,,,,,,15.0,1.0,10.0,3.0,3.0,7.0,9.0,5.0,30,60.0,,,,,,,,,,,60.0,35.0,45.0,60.0,10.0,15.0,30.0,30.0,COMPLETE
8,8,0.30680680680680683,2025-01-05 14:48:33.006539,2025-01-05 14:48:46.732784,0 days 00:00:13.726245,7,15,5.0,,,,,,,,,,,14.0,9.0,7.0,4.0,5.0,,,,5,10.0,,,,,,,,,,,35.0,15.0,30.0,50.0,40.0,,,,COMPLETE
9,9,0.4722222222222222,2025-01-05 14:48:46.733361,2025-01-05 14:48:52.504346,0 days 00:00:05.770985,3,15,15.0,,,,,,,,,,,6.0,,,,,,,,60,10.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
