,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.23703703703703705,2025-01-05 16:04:36.776291,2025-01-05 16:04:42.821355,0 days 00:00:06.045064,14,4,15.0,3.0,10.0,1.0,3.0,,,,,,,4.0,15.0,2.0,15.0,13.0,6.0,7.0,6.0,60,35.0,20.0,25.0,10.0,5.0,,,,,,,55.0,40.0,25.0,55.0,30.0,25.0,55.0,30.0,COMPLETE
1,1,0.29032258064516125,2025-01-05 16:04:42.822148,2025-01-05 16:04:49.314942,0 days 00:00:06.492794,13,4,12.0,13.0,8.0,13.0,,,,,,,,2.0,4.0,5.0,7.0,8.0,15.0,5.0,13.0,60,40.0,30.0,40.0,60.0,,,,,,,,45.0,55.0,45.0,30.0,50.0,45.0,50.0,50.0,COMPLETE
2,2,0.06896551724137931,2025-01-05 16:04:49.315691,2025-01-05 16:04:52.838570,0 days 00:00:03.522879,11,3,14.0,14.0,,,,,,,,,,2.0,7.0,2.0,14.0,14.0,7.0,9.0,7.0,60,35.0,30.0,,,,,,,,,,25.0,30.0,35.0,35.0,35.0,45.0,45.0,25.0,COMPLETE
3,3,0.5583333333333333,2025-01-05 16:04:52.839273,2025-01-05 16:04:56.794289,0 days 00:00:03.955016,2,3,3.0,,,,,,,,,,,,,,,,,,,55,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,0.36875439831104856,2025-01-05 16:04:56.794619,2025-01-05 16:05:09.877633,0 days 00:00:13.083014,7,1,8.0,,,,,,,,,,,13.0,3.0,8.0,9.0,8.0,,,,50,5.0,,,,,,,,,,,15.0,30.0,45.0,15.0,50.0,,,,COMPLETE
5,5,0.23846153846153847,2025-01-05 16:05:09.878089,2025-01-05 16:05:15.668865,0 days 00:00:05.790776,9,11,6.0,,,,,,,,,,,1.0,4.0,12.0,12.0,14.0,12.0,1.0,,30,20.0,,,,,,,,,,,30.0,15.0,40.0,60.0,60.0,40.0,30.0,,COMPLETE
6,6,0.46481178396072015,2025-01-05 16:05:15.669351,2025-01-05 16:05:26.341407,0 days 00:00:10.672056,5,8,5.0,,,,,,,,,,,13.0,4.0,3.0,,,,,,25,30.0,,,,,,,,,,,40.0,60.0,45.0,,,,,,COMPLETE
7,7,0.1111111111111111,2025-01-05 16:05:26.341811,2025-01-05 16:05:30.376402,0 days 00:00:04.034591,10,8,4.0,,,,,,,,,,,6.0,12.0,10.0,6.0,12.0,13.0,5.0,3.0,45,5.0,,,,,,,,,,,10.0,25.0,30.0,60.0,45.0,50.0,15.0,5.0,COMPLETE
8,8,0.4608695652173913,2025-01-05 16:05:30.376892,2025-01-05 16:05:36.565622,0 days 00:00:06.188730,4,13,14.0,,,,,,,,,,,1.0,6.0,,,,,,,40,5.0,,,,,,,,,,,35.0,35.0,,,,,,,COMPLETE
9,9,0.2292626728110599,2025-01-05 16:05:36.565998,2025-01-05 16:05:39.733334,0 days 00:00:03.167336,10,12,3.0,,,,,,,,,,,13.0,5.0,14.0,11.0,2.0,8.0,9.0,13.0,30,10.0,,,,,,,,,,,60.0,25.0,10.0,35.0,10.0,5.0,15.0,15.0,COMPLETE
10,10,0.0,2025-01-05 16:05:39.733824,2025-01-05 16:06:10.047789,0 days 00:00:30.313965,19,6,1.0,2.0,1.0,5.0,15.0,13.0,2.0,11.0,7.0,14.0,,9.0,10.0,7.0,1.0,1.0,1.0,15.0,1.0,5,60.0,60.0,5.0,50.0,55.0,15.0,55.0,40.0,20.0,60.0,,20.0,5.0,60.0,10.0,5.0,60.0,5.0,60.0,COMPLETE
11,11,0.3155694879832811,2025-01-05 16:06:10.048530,2025-01-05 16:06:13.921063,0 days 00:00:03.872533,1,9,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.3349146110056926,2025-01-05 16:06:13.921389,2025-01-05 16:06:17.688472,0 days 00:00:03.767083,1,15,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.36634146341463414,2025-01-05 16:06:17.688831,2025-01-05 16:06:26.173834,0 days 00:00:08.485003,5,7,8.0,,,,,,,,,,,15.0,1.0,1.0,,,,,,20,50.0,,,,,,,,,,,45.0,60.0,60.0,,,,,,COMPLETE
14,14,0.4173913043478261,2025-01-05 16:06:26.174377,2025-01-05 16:06:30.917822,0 days 00:00:04.743445,4,1,1.0,,,,,,,,,,,10.0,9.0,,,,,,,35,25.0,,,,,,,,,,,40.0,50.0,,,,,,,COMPLETE
15,15,0.37,2025-01-05 16:06:30.918201,2025-01-05 16:06:43.292378,0 days 00:00:12.374177,6,10,5.0,,,,,,,,,,,11.0,1.0,5.0,2.0,,,,,50,50.0,,,,,,,,,,,5.0,45.0,15.0,45.0,,,,,COMPLETE
16,16,0.5714975845410628,2025-01-05 16:06:43.292797,2025-01-05 16:06:46.707754,0 days 00:00:03.414957,2,6,10.0,,,,,,,,,,,,,,,,,,,25,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
17,17,0.39015151515151514,2025-01-05 16:06:46.708090,2025-01-05 16:06:51.405023,0 days 00:00:04.696933,2,5,11.0,,,,,,,,,,,,,,,,,,,5,50.0,,,,,,,,,,,,,,,,,,,COMPLETE
18,18,0.0,2025-01-05 16:06:51.405354,2025-01-05 16:07:23.704082,0 days 00:00:32.298728,20,3,10.0,8.0,15.0,15.0,11.0,1.0,15.0,3.0,15.0,1.0,14.0,7.0,14.0,15.0,4.0,5.0,1.0,15.0,15.0,40,60.0,5.0,60.0,10.0,20.0,55.0,5.0,5.0,60.0,5.0,15.0,55.0,5.0,5.0,25.0,20.0,20.0,35.0,45.0,COMPLETE
19,19,0.0,2025-01-05 16:07:23.704836,2025-01-05 16:07:51.349473,0 days 00:00:27.644637,17,6,9.0,8.0,1.0,9.0,1.0,4.0,10.0,14.0,,,,5.0,11.0,11.0,4.0,10.0,4.0,12.0,10.0,15,45.0,60.0,60.0,25.0,55.0,5.0,20.0,60.0,,,,5.0,15.0,20.0,5.0,20.0,5.0,60.0,40.0,COMPLETE
20,20,0.4772727272727273,2025-01-05 16:07:51.350134,2025-01-05 16:07:56.215880,0 days 00:00:04.865746,3,2,7.0,,,,,,,,,,,8.0,,,,,,,,50,55.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
21,21,0.4186046511627907,2025-01-05 16:07:56.216245,2025-01-05 16:08:00.287813,0 days 00:00:04.071568,3,2,7.0,,,,,,,,,,,8.0,,,,,,,,50,55.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
22,22,0.28324324324324324,2025-01-05 16:08:00.288178,2025-01-05 16:08:13.485086,0 days 00:00:13.196908,7,3,3.0,,,,,,,,,,,11.0,8.0,13.0,10.0,4.0,,,,55,45.0,,,,,,,,,,,30.0,15.0,55.0,45.0,35.0,,,,COMPLETE
23,23,0.5022883295194508,2025-01-05 16:08:13.485581,2025-01-05 16:08:17.410601,0 days 00:00:03.925020,3,5,12.0,,,,,,,,,,,4.0,,,,,,,,45,55.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
24,24,0.6202795123401724,2025-01-05 16:08:17.410955,2025-01-05 16:08:21.299676,0 days 00:00:03.888721,1,5,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.6186270574066639,2025-01-05 16:08:21.300095,2025-01-05 16:08:24.977979,0 days 00:00:03.677884,1,6,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.6723872950819672,2025-01-05 16:08:24.978285,2025-01-05 16:08:28.632431,0 days 00:00:03.654146,1,7,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
27,27,0.6369047619047619,2025-01-05 16:08:28.632722,2025-01-05 16:08:31.907725,0 days 00:00:03.275003,1,7,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,COMPLETE
28,28,0.4103896103896104,2025-01-05 16:08:31.908011,2025-01-05 16:08:37.873005,0 days 00:00:05.964994,7,7,13.0,,,,,,,,,,,15.0,13.0,10.0,13.0,7.0,,,,40,15.0,,,,,,,,,,,50.0,45.0,20.0,20.0,60.0,,,,COMPLETE
