,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.2543427018463892,2025-01-05 18:21:50.970450,2025-01-05 18:23:49.342001,0 days 00:01:58.371551,17,13,6.0,1.0,7.0,2.0,6.0,6.0,10.0,10.0,,,,3.0,1.0,2.0,6.0,12.0,5.0,8.0,14.0,30,50.0,25.0,35.0,10.0,55.0,10.0,25.0,35.0,,,,15.0,5.0,15.0,20.0,60.0,60.0,30.0,50.0,COMPLETE
1,1,0.0,2025-01-05 18:23:49.343006,2025-01-05 18:31:40.499416,0 days 00:07:51.156410,19,11,10.0,7.0,1.0,2.0,15.0,15.0,3.0,15.0,12.0,12.0,,8.0,4.0,1.0,14.0,11.0,7.0,6.0,1.0,15,30.0,35.0,10.0,50.0,20.0,20.0,60.0,10.0,30.0,10.0,,45.0,10.0,35.0,15.0,45.0,35.0,60.0,10.0,COMPLETE
2,2,0.24866943002622036,2025-01-05 18:31:40.500451,2025-01-05 18:32:49.077738,0 days 00:01:08.577287,7,8,7.0,,,,,,,,,,,14.0,15.0,15.0,12.0,15.0,,,,30,20.0,,,,,,,,,,,5.0,60.0,30.0,15.0,55.0,,,,COMPLETE
3,3,0.25424646706008713,2025-01-05 18:32:49.078569,2025-01-05 18:35:24.779732,0 days 00:02:35.701163,17,5,6.0,1.0,4.0,4.0,12.0,14.0,10.0,15.0,,,,8.0,3.0,10.0,12.0,1.0,1.0,3.0,12.0,20,20.0,55.0,35.0,35.0,35.0,25.0,10.0,25.0,,,,20.0,60.0,10.0,25.0,5.0,15.0,35.0,35.0,COMPLETE
4,4,0.35872532430908066,2025-01-05 18:35:24.780731,2025-01-05 18:42:56.768813,0 days 00:07:31.988082,11,10,1.0,5.0,,,,,,,,,,5.0,1.0,11.0,9.0,11.0,3.0,3.0,1.0,60,5.0,25.0,,,,,,,,,,30.0,55.0,40.0,60.0,50.0,5.0,50.0,50.0,COMPLETE
5,5,0.2877092628466273,2025-01-05 18:42:56.769583,2025-01-05 18:45:07.025496,0 days 00:02:10.255913,13,2,10.0,14.0,6.0,9.0,,,,,,,,10.0,5.0,2.0,9.0,14.0,1.0,1.0,6.0,30,60.0,35.0,50.0,55.0,,,,,,,,60.0,30.0,60.0,55.0,10.0,15.0,35.0,60.0,COMPLETE
6,6,0.39648484711654264,2025-01-05 18:45:07.026286,2025-01-05 18:48:04.913609,0 days 00:02:57.887323,18,8,6.0,7.0,8.0,8.0,9.0,8.0,6.0,9.0,5.0,,,1.0,10.0,14.0,11.0,8.0,7.0,3.0,5.0,35,30.0,35.0,20.0,45.0,35.0,30.0,60.0,10.0,15.0,,,35.0,60.0,15.0,55.0,15.0,35.0,30.0,35.0,COMPLETE
7,7,0.8641463309008124,2025-01-05 18:48:04.914579,2025-01-05 18:49:53.540292,0 days 00:01:48.625713,2,6,6.0,,,,,,,,,,,,,,,,,,,55,20.0,,,,,,,,,,,,,,,,,,,COMPLETE
8,8,0.2669786455407749,2025-01-05 18:49:53.540770,2025-01-05 18:52:07.825792,0 days 00:02:14.285022,10,6,11.0,,,,,,,,,,,2.0,12.0,5.0,8.0,5.0,1.0,6.0,13.0,30,55.0,,,,,,,,,,,25.0,60.0,20.0,60.0,60.0,30.0,5.0,30.0,COMPLETE
9,9,0.8808722232468531,2025-01-05 18:52:07.826405,2025-01-05 18:55:54.874860,0 days 00:03:47.048455,4,13,2.0,,,,,,,,,,,7.0,4.0,,,,,,,50,35.0,,,,,,,,,,,60.0,10.0,,,,,,,COMPLETE
