,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.9395838403504502,2025-01-06 19:49:26.872800,2025-01-06 19:49:32.534729,0 days 00:00:05.661929,1,3,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.0,2025-01-06 19:49:32.535051,2025-01-06 19:51:04.394619,0 days 00:01:31.859568,18,3,9.0,7.0,6.0,7.0,12.0,5.0,12.0,1.0,11.0,,,10.0,10.0,11.0,3.0,12.0,2.0,12.0,4.0,25,25.0,5.0,25.0,35.0,35.0,50.0,15.0,50.0,20.0,,,40.0,30.0,15.0,40.0,55.0,35.0,15.0,50.0,COMPLETE
2,2,0.4917857953256183,2025-01-06 19:51:04.395400,2025-01-06 19:52:00.584287,0 days 00:00:56.188887,6,8,12.0,,,,,,,,,,,2.0,13.0,5.0,11.0,,,,,35,50.0,,,,,,,,,,,50.0,45.0,40.0,40.0,,,,,COMPLETE
3,3,0.6135995594756718,2025-01-06 19:52:00.584878,2025-01-06 19:52:33.601583,0 days 00:00:33.016705,4,6,15.0,,,,,,,,,,,13.0,6.0,,,,,,,25,45.0,,,,,,,,,,,45.0,10.0,,,,,,,COMPLETE
4,4,0.7560587902393555,2025-01-06 19:52:33.602112,2025-01-06 19:52:39.904135,0 days 00:00:06.302023,2,8,14.0,,,,,,,,,,,,,,,,,,,25,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.0,2025-01-06 19:52:39.904457,2025-01-06 19:54:53.953808,0 days 00:02:14.049351,18,13,6.0,13.0,10.0,14.0,12.0,2.0,1.0,8.0,4.0,,,3.0,15.0,12.0,7.0,5.0,8.0,14.0,9.0,10,15.0,25.0,55.0,40.0,40.0,55.0,30.0,35.0,20.0,,,50.0,55.0,45.0,20.0,25.0,60.0,5.0,45.0,COMPLETE
6,6,0.0,2025-01-06 19:54:53.954576,2025-01-06 19:56:45.113175,0 days 00:01:51.158599,19,8,8.0,9.0,15.0,15.0,9.0,13.0,14.0,8.0,7.0,15.0,,12.0,1.0,14.0,5.0,13.0,5.0,7.0,14.0,35,40.0,30.0,60.0,40.0,40.0,20.0,5.0,40.0,5.0,60.0,,50.0,30.0,15.0,25.0,5.0,15.0,5.0,15.0,COMPLETE
7,7,0.38062841763499655,2025-01-06 19:56:45.114014,2025-01-06 19:57:02.577791,0 days 00:00:17.463777,9,4,8.0,,,,,,,,,,,5.0,9.0,15.0,4.0,11.0,8.0,9.0,,20,60.0,,,,,,,,,,,15.0,30.0,30.0,60.0,60.0,45.0,25.0,,COMPLETE
8,8,0.3014835041561099,2025-01-06 19:57:02.578260,2025-01-06 19:57:29.444967,0 days 00:00:26.866707,17,1,8.0,7.0,4.0,1.0,7.0,13.0,7.0,8.0,,,,15.0,5.0,13.0,6.0,9.0,3.0,12.0,3.0,35,35.0,5.0,5.0,35.0,60.0,45.0,25.0,20.0,,,,35.0,45.0,20.0,45.0,45.0,20.0,60.0,15.0,COMPLETE
9,9,0.6359504132231405,2025-01-06 19:57:29.445599,2025-01-06 19:57:41.810094,0 days 00:00:12.364495,3,9,5.0,,,,,,,,,,,7.0,,,,,,,,35,10.0,,,,,,,,,,,35.0,,,,,,,,COMPLETE
10,10,0.37705149971703456,2025-01-06 19:57:41.810452,2025-01-06 19:58:48.283998,0 days 00:01:06.473546,13,14,1.0,3.0,1.0,1.0,,,,,,,,8.0,1.0,1.0,15.0,2.0,14.0,1.0,15.0,60,25.0,60.0,35.0,5.0,,,,,,,,5.0,5.0,60.0,5.0,20.0,10.0,50.0,60.0,COMPLETE
11,11,0.9392298135267951,2025-01-06 19:58:48.284717,2025-01-06 19:58:54.673183,0 days 00:00:06.388466,1,10,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8773092784191978,2025-01-06 19:58:54.673616,2025-01-06 19:59:01.299912,0 days 00:00:06.626296,1,11,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.2730242090431664,2025-01-06 19:59:01.300244,2025-01-06 19:59:30.509116,0 days 00:00:29.208872,7,11,1.0,,,,,,,,,,,5.0,12.0,7.0,1.0,15.0,,,,10,60.0,,,,,,,,,,,60.0,15.0,5.0,60.0,5.0,,,,COMPLETE
14,14,0.4065220208932784,2025-01-06 19:59:30.509537,2025-01-06 20:00:14.046151,0 days 00:00:43.536614,13,5,11.0,1.0,12.0,9.0,,,,,,,,1.0,5.0,1.0,11.0,1.0,13.0,1.0,9.0,50,25.0,60.0,5.0,60.0,,,,,,,,20.0,60.0,60.0,5.0,40.0,55.0,40.0,30.0,COMPLETE
15,15,0.4683133447553779,2025-01-06 20:00:14.046831,2025-01-06 20:00:42.516714,0 days 00:00:28.469883,6,1,4.0,,,,,,,,,,,15.0,3.0,5.0,15.0,,,,,5,50.0,,,,,,,,,,,25.0,20.0,50.0,20.0,,,,,COMPLETE
16,16,0.9397558690697577,2025-01-06 20:00:42.517134,2025-01-06 20:00:52.279662,0 days 00:00:09.762528,1,11,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,COMPLETE
17,17,0.5922342004629164,2025-01-06 20:00:52.279980,2025-01-06 20:01:05.798942,0 days 00:00:13.518962,4,13,3.0,,,,,,,,,,,10.0,7.0,,,,,,,15,5.0,,,,,,,,,,,5.0,45.0,,,,,,,COMPLETE
