,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.8538267401273014,2024-12-31 19:20:05.816863,2024-12-31 19:20:57.157889,0 days 00:00:51.341026,4,70,100.0,20.0,20.0,,,,,,,3,5.0,3.0,2.0,,,,,,,COMPLETE
1,1,0.8490163401024673,2024-12-31 19:20:57.158468,2024-12-31 19:21:21.602105,0 days 00:00:24.443637,5,70,70.0,85.0,30.0,65.0,,,,,,6,4.0,2.0,2.0,2.0,,,,,,COMPLETE
2,2,0.8449353060833976,2024-12-31 19:21:21.602587,2024-12-31 19:21:53.574052,0 days 00:00:31.971465,2,70,70.0,,,,,,,,,4,3.0,,,,,,,,,COMPLETE
3,3,0.8434739796093438,2024-12-31 19:21:53.574576,2024-12-31 19:23:59.042235,0 days 00:02:05.467659,10,45,95.0,65.0,10.0,100.0,70.0,75.0,45.0,30.0,5.0,4,5.0,5.0,2.0,5.0,6.0,3.0,4.0,6.0,3.0,COMPLETE
4,4,0.8355000308641001,2024-12-31 19:23:59.043038,2024-12-31 19:25:10.665738,0 days 00:01:11.622700,10,65,15.0,45.0,50.0,15.0,50.0,75.0,55.0,85.0,85.0,6,5.0,5.0,5.0,6.0,6.0,3.0,5.0,5.0,6.0,COMPLETE
5,5,0.850244892114791,2024-12-31 19:25:10.666378,2024-12-31 19:25:46.883121,0 days 00:00:36.216743,3,35,45.0,20.0,,,,,,,,5,5.0,5.0,,,,,,,,COMPLETE
6,6,0.8643569387785707,2024-12-31 19:25:46.883734,2024-12-31 19:27:34.952692,0 days 00:01:48.068958,10,20,80.0,60.0,45.0,50.0,65.0,85.0,40.0,20.0,55.0,4,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,COMPLETE
7,7,0.8551225799261066,2024-12-31 19:27:34.953453,2024-12-31 19:28:40.913098,0 days 00:01:05.959645,6,45,90.0,30.0,60.0,75.0,35.0,,,,,4,2.0,5.0,3.0,3.0,6.0,,,,,COMPLETE
8,8,0.8650076744044587,2024-12-31 19:28:40.913819,2024-12-31 19:29:39.234193,0 days 00:00:58.320374,10,100,5.0,55.0,100.0,5.0,55.0,80.0,5.0,40.0,65.0,2,6.0,4.0,5.0,3.0,2.0,3.0,5.0,5.0,3.0,COMPLETE
9,9,0.8419437340153453,2024-12-31 19:29:39.235013,2024-12-31 19:31:29.227260,0 days 00:01:49.992247,9,95,95.0,90.0,15.0,35.0,90.0,20.0,70.0,60.0,,5,4.0,5.0,2.0,3.0,5.0,4.0,4.0,2.0,,COMPLETE
