,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.7562661147457598,2025-01-01 02:45:31.691405,2025-01-01 02:45:51.038726,0 days 00:00:19.347321,4,100,30.0,65.0,35.0,,,,,,,6,5.0,6.0,4.0,,,,,,,COMPLETE
1,1,0.7850491285241693,2025-01-01 02:45:51.039379,2025-01-01 02:45:59.266199,0 days 00:00:08.226820,1,60,,,,,,,,,,2,,,,,,,,,,COMPLETE
2,2,0.7291049710164983,2025-01-01 02:45:59.266526,2025-01-01 02:46:30.317602,0 days 00:00:31.051076,9,15,10.0,85.0,25.0,60.0,5.0,85.0,85.0,95.0,,2,6.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,,COMPLETE
3,3,0.7066624996361508,2025-01-01 02:46:30.318362,2025-01-01 02:47:07.579713,0 days 00:00:37.261351,10,100,40.0,50.0,60.0,30.0,75.0,10.0,45.0,65.0,85.0,6,6.0,2.0,2.0,4.0,5.0,6.0,3.0,6.0,2.0,COMPLETE
4,4,0.7547329766977967,2025-01-01 02:47:07.580411,2025-01-01 02:47:36.508915,0 days 00:00:28.928504,5,40,65.0,60.0,35.0,5.0,,,,,,2,4.0,3.0,2.0,5.0,,,,,,COMPLETE
5,5,0.7666466931316007,2025-01-01 02:47:36.509424,2025-01-01 02:48:06.661097,0 days 00:00:30.151673,7,50,55.0,70.0,20.0,5.0,65.0,5.0,,,,4,6.0,2.0,6.0,2.0,3.0,4.0,,,,COMPLETE
6,6,0.7727143869596032,2025-01-01 02:48:06.661772,2025-01-01 02:48:16.964741,0 days 00:00:10.302969,3,75,70.0,75.0,,,,,,,,6,2.0,4.0,,,,,,,,COMPLETE
7,7,0.752591083748942,2025-01-01 02:48:16.965146,2025-01-01 02:48:47.910000,0 days 00:00:30.944854,7,35,15.0,30.0,50.0,75.0,65.0,5.0,,,,4,5.0,4.0,5.0,6.0,5.0,3.0,,,,COMPLETE
8,8,0.7847777436878486,2025-01-01 02:48:47.910583,2025-01-01 02:49:26.134218,0 days 00:00:38.223635,7,60,50.0,95.0,25.0,90.0,40.0,15.0,,,,2,2.0,4.0,4.0,2.0,6.0,6.0,,,,COMPLETE
9,9,0.7768104643104643,2025-01-01 02:49:26.134889,2025-01-01 02:49:42.131293,0 days 00:00:15.996404,4,100,60.0,25.0,25.0,,,,,,,4,4.0,2.0,2.0,,,,,,,COMPLETE
10,10,0.7812352317240945,2025-01-01 02:49:42.131758,2025-01-01 02:49:51.851656,0 days 00:00:09.719898,1,75,,,,,,,,,,3,,,,,,,,,,COMPLETE
11,11,0.7938323195829141,2025-01-01 02:49:51.852024,2025-01-01 02:49:59.930784,0 days 00:00:08.078760,1,70,,,,,,,,,,2,,,,,,,,,,COMPLETE
12,12,0.7793776371308017,2025-01-01 02:49:59.931123,2025-01-01 02:50:09.601903,0 days 00:00:09.670780,1,70,,,,,,,,,,3,,,,,,,,,,COMPLETE
13,13,0.7711160937909978,2025-01-01 02:50:09.602278,2025-01-01 02:50:24.384097,0 days 00:00:14.781819,2,85,100.0,,,,,,,,,3,3.0,,,,,,,,,COMPLETE
14,14,0.7990560481809899,2025-01-01 02:50:24.384471,2025-01-01 02:50:37.406427,0 days 00:00:13.021956,2,55,100.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
15,15,0.7798678585308978,2025-01-01 02:50:37.406844,2025-01-01 02:50:50.083675,0 days 00:00:12.676831,3,25,95.0,5.0,,,,,,,,3,3.0,6.0,,,,,,,,COMPLETE
16,16,0.7676413416912784,2025-01-01 02:50:50.084276,2025-01-01 02:51:03.044916,0 days 00:00:12.960640,2,5,85.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
17,17,0.7599807964040206,2025-01-01 02:51:03.045308,2025-01-01 02:51:20.000458,0 days 00:00:16.955150,3,50,80.0,45.0,,,,,,,,5,2.0,5.0,,,,,,,,COMPLETE
18,18,0.7611886030096853,2025-01-01 02:51:20.000912,2025-01-01 02:51:42.540441,0 days 00:00:22.539529,5,65,85.0,5.0,90.0,100.0,,,,,,5,5.0,5.0,3.0,3.0,,,,,,COMPLETE
19,19,0.7645140247879973,2025-01-01 02:51:42.540975,2025-01-01 02:51:57.124031,0 days 00:00:14.583056,2,85,30.0,,,,,,,,,3,3.0,,,,,,,,,COMPLETE
20,20,0.7951929370937649,2025-01-01 02:51:57.124443,2025-01-01 02:52:18.629352,0 days 00:00:21.504909,6,40,75.0,100.0,95.0,40.0,25.0,,,,,2,4.0,5.0,6.0,6.0,2.0,,,,,COMPLETE
21,21,0.7877799369709674,2025-01-01 02:52:18.630042,2025-01-01 02:52:38.519905,0 days 00:00:19.889863,6,35,75.0,100.0,100.0,40.0,25.0,,,,,2,4.0,5.0,6.0,6.0,2.0,,,,,COMPLETE
22,22,0.7532006369426751,2025-01-01 02:52:38.520487,2025-01-01 02:53:07.273353,0 days 00:00:28.752866,8,45,95.0,85.0,75.0,30.0,100.0,100.0,5.0,,,2,3.0,6.0,5.0,5.0,2.0,2.0,6.0,,,COMPLETE
23,23,0.7392847795569726,2025-01-01 02:53:07.273974,2025-01-01 02:53:35.240769,0 days 00:00:27.966795,6,25,90.0,35.0,5.0,55.0,5.0,,,,,3,4.0,3.0,6.0,5.0,4.0,,,,,COMPLETE
24,24,0.7868666937941942,2025-01-01 02:53:35.241347,2025-01-01 02:53:54.115322,0 days 00:00:18.873975,4,55,100.0,85.0,75.0,,,,,,,2,5.0,5.0,3.0,,,,,,,COMPLETE
25,25,0.7760578069129916,2025-01-01 02:53:54.115930,2025-01-01 02:54:08.780007,0 days 00:00:14.664077,2,80,75.0,,,,,,,,,3,3.0,,,,,,,,,COMPLETE
26,26,0.7860450629757365,2025-01-01 02:54:08.780431,2025-01-01 02:54:40.992228,0 days 00:00:32.211797,5,30,85.0,20.0,80.0,70.0,,,,,,2,4.0,5.0,5.0,6.0,,,,,,COMPLETE
27,27,0.7859997325925155,2025-01-01 02:54:40.992811,2025-01-01 02:54:49.399759,0 days 00:00:08.406948,1,45,,,,,,,,,,5,,,,,,,,,,COMPLETE
28,28,0.7780011382203375,2025-01-01 02:54:49.400135,2025-01-01 02:55:16.665272,0 days 00:00:27.265137,8,65,50.0,40.0,55.0,20.0,30.0,50.0,90.0,,,3,2.0,6.0,3.0,3.0,3.0,5.0,6.0,,,COMPLETE
29,29,0.7763534109974244,2025-01-01 02:55:16.665950,2025-01-01 02:55:36.712004,0 days 00:00:20.046054,3,90,65.0,55.0,,,,,,,,2,4.0,3.0,,,,,,,,COMPLETE
30,30,0.7808363309352517,2025-01-01 02:55:36.712538,2025-01-01 02:55:59.668007,0 days 00:00:22.955469,4,55,75.0,100.0,95.0,,,,,,,4,5.0,4.0,6.0,,,,,,,COMPLETE
31,31,0.7734225649882381,2025-01-01 02:55:59.668489,2025-01-01 02:56:24.282732,0 days 00:00:24.614243,6,30,70.0,100.0,100.0,40.0,25.0,,,,,2,4.0,5.0,6.0,6.0,2.0,,,,,COMPLETE
32,32,0.7957665184643343,2025-01-01 02:56:24.283321,2025-01-01 02:56:43.328260,0 days 00:00:19.044939,6,40,80.0,90.0,85.0,40.0,25.0,,,,,2,3.0,5.0,6.0,6.0,2.0,,,,,COMPLETE
33,33,0.76565444548379,2025-01-01 02:56:43.328845,2025-01-01 02:57:16.107895,0 days 00:00:32.779050,8,45,90.0,75.0,85.0,45.0,40.0,55.0,5.0,,,2,3.0,4.0,5.0,5.0,2.0,2.0,4.0,,,COMPLETE
34,34,0.755195599022005,2025-01-01 02:57:16.108601,2025-01-01 02:57:33.336301,0 days 00:00:17.227700,6,15,100.0,90.0,65.0,20.0,15.0,,,,,2,3.0,6.0,4.0,6.0,3.0,,,,,COMPLETE
35,35,0.7985245822466918,2025-01-01 02:57:33.336869,2025-01-01 02:58:01.172722,0 days 00:00:27.835853,5,65,80.0,80.0,70.0,60.0,,,,,,2,2.0,5.0,6.0,5.0,,,,,,COMPLETE
36,36,0.765824984511235,2025-01-01 02:58:01.173232,2025-01-01 02:58:41.747821,0 days 00:00:40.574589,10,60,80.0,80.0,70.0,65.0,45.0,40.0,50.0,15.0,5.0,3,2.0,5.0,6.0,5.0,4.0,4.0,4.0,2.0,6.0,COMPLETE
37,37,0.7669092071139735,2025-01-01 02:58:41.748663,2025-01-01 02:59:17.885455,0 days 00:00:36.136792,9,35,90.0,90.0,85.0,50.0,55.0,75.0,30.0,5.0,,2,2.0,5.0,6.0,6.0,4.0,5.0,2.0,6.0,,COMPLETE
38,38,0.7800801816161909,2025-01-01 02:59:17.886159,2025-01-01 02:59:47.592849,0 days 00:00:29.706690,5,40,40.0,70.0,90.0,30.0,,,,,,2,2.0,5.0,5.0,5.0,,,,,,COMPLETE
39,39,0.7681951355978331,2025-01-01 02:59:47.593394,2025-01-01 03:00:10.227611,0 days 00:00:22.634217,7,60,60.0,65.0,70.0,75.0,15.0,30.0,,,,2,3.0,6.0,6.0,6.0,2.0,5.0,,,,COMPLETE
40,40,0.7554664624532637,2025-01-01 03:00:10.228343,2025-01-01 03:00:34.546537,0 days 00:00:24.318194,4,50,80.0,90.0,50.0,,,,,,,3,3.0,4.0,5.0,,,,,,,COMPLETE
41,41,0.8137429348963785,2025-01-01 03:00:34.547052,2025-01-01 03:00:42.542125,0 days 00:00:07.995073,1,70,,,,,,,,,,2,,,,,,,,,,COMPLETE
42,42,0.7944208996791184,2025-01-01 03:00:42.542477,2025-01-01 03:01:07.597478,0 days 00:00:25.055001,5,65,70.0,80.0,80.0,55.0,,,,,,2,2.0,5.0,6.0,5.0,,,,,,COMPLETE
43,43,0.8195053175905092,2025-01-01 03:01:07.597999,2025-01-01 03:01:34.295115,0 days 00:00:26.697116,7,55,95.0,95.0,90.0,40.0,30.0,65.0,,,,2,4.0,6.0,4.0,4.0,3.0,3.0,,,,COMPLETE
44,44,0.8227557511119614,2025-01-01 03:01:34.295786,2025-01-01 03:01:55.898742,0 days 00:00:21.602956,7,70,95.0,60.0,60.0,85.0,90.0,70.0,,,,2,5.0,6.0,4.0,4.0,3.0,3.0,,,,COMPLETE
45,45,0.7903182109255702,2025-01-01 03:01:55.899509,2025-01-01 03:02:18.956380,0 days 00:00:23.056871,9,75,95.0,60.0,40.0,85.0,85.0,65.0,70.0,45.0,,2,6.0,6.0,4.0,4.0,3.0,3.0,5.0,4.0,,COMPLETE
46,46,0.7771695751620469,2025-01-01 03:02:18.957134,2025-01-01 03:02:44.501127,0 days 00:00:25.543993,7,70,100.0,55.0,45.0,85.0,95.0,85.0,,,,3,5.0,6.0,4.0,4.0,4.0,3.0,,,,COMPLETE
47,47,0.7614970528088536,2025-01-01 03:02:44.501799,2025-01-01 03:03:11.865603,0 days 00:00:27.363804,8,55,95.0,65.0,60.0,100.0,80.0,65.0,30.0,,,2,6.0,6.0,4.0,3.0,5.0,4.0,3.0,,,COMPLETE
