,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.7580015612802498,2025-01-01 11:09:22.364005,2025-01-01 11:09:29.897456,0 days 00:00:07.533451,1,35,,,,,,,,,,6,,,,,,,,,,COMPLETE
1,1,0.7898305084745763,2025-01-01 11:09:29.897851,2025-01-01 11:09:56.533434,0 days 00:00:26.635583,8,80,60.0,30.0,80.0,15.0,80.0,15.0,5.0,,,2,4.0,5.0,4.0,4.0,2.0,4.0,2.0,,,COMPLETE
2,2,0.7623604465709728,2025-01-01 11:09:56.534075,2025-01-01 11:10:05.912069,0 days 00:00:09.377994,2,100,80.0,,,,,,,,,2,5.0,,,,,,,,,COMPLETE
3,3,0.6612021857923497,2025-01-01 11:10:05.912571,2025-01-01 11:10:31.880049,0 days 00:00:25.967478,10,20,45.0,5.0,35.0,70.0,30.0,75.0,45.0,40.0,30.0,3,6.0,3.0,4.0,6.0,4.0,3.0,5.0,3.0,5.0,COMPLETE
4,4,0.7902680197762164,2025-01-01 11:10:31.880832,2025-01-01 11:10:51.331910,0 days 00:00:19.451078,5,10,100.0,85.0,25.0,80.0,,,,,,2,5.0,3.0,4.0,3.0,,,,,,COMPLETE
5,5,0.8225344782721832,2025-01-01 11:10:51.332435,2025-01-01 11:11:28.066822,0 days 00:00:36.734387,9,80,15.0,15.0,20.0,85.0,80.0,70.0,35.0,70.0,,4,6.0,3.0,3.0,2.0,4.0,4.0,6.0,3.0,,COMPLETE
6,6,0.583554376657825,2025-01-01 11:11:28.067676,2025-01-01 11:12:03.127099,0 days 00:00:35.059423,8,60,65.0,25.0,55.0,50.0,85.0,95.0,65.0,,,6,6.0,2.0,4.0,6.0,2.0,2.0,6.0,,,COMPLETE
7,7,0.7096774193548387,2025-01-01 11:12:03.127794,2025-01-01 11:12:47.056093,0 days 00:00:43.928299,10,100,70.0,60.0,60.0,30.0,60.0,15.0,15.0,55.0,75.0,4,5.0,2.0,6.0,5.0,6.0,4.0,2.0,5.0,3.0,COMPLETE
8,8,0.6854816824966079,2025-01-01 11:12:47.056992,2025-01-01 11:13:10.931413,0 days 00:00:23.874421,5,90,10.0,40.0,15.0,45.0,,,,,,6,6.0,6.0,4.0,4.0,,,,,,COMPLETE
9,9,0.5737704918032787,2025-01-01 11:13:10.932046,2025-01-01 11:13:58.688586,0 days 00:00:47.756540,10,85,55.0,60.0,100.0,40.0,40.0,90.0,35.0,5.0,85.0,4,5.0,4.0,6.0,3.0,5.0,6.0,6.0,4.0,6.0,COMPLETE
10,10,0.6612021857923497,2025-01-01 11:13:58.689441,2025-01-01 11:14:13.375435,0 days 00:00:14.685994,7,60,5.0,5.0,10.0,100.0,5.0,50.0,,,,5,2.0,4.0,2.0,2.0,4.0,6.0,,,,COMPLETE
11,11,0.7977296181630547,2025-01-01 11:14:13.376151,2025-01-01 11:14:27.476612,0 days 00:00:14.100461,4,5,100.0,100.0,30.0,,,,,,,3,4.0,3.0,2.0,,,,,,,COMPLETE
12,12,0.8371848739495797,2025-01-01 11:14:27.477171,2025-01-01 11:14:38.345230,0 days 00:00:10.868059,3,40,35.0,100.0,,,,,,,,3,3.0,3.0,,,,,,,,COMPLETE
13,13,0.8422635319846912,2025-01-01 11:14:38.345647,2025-01-01 11:14:49.491054,0 days 00:00:11.145407,3,45,30.0,80.0,,,,,,,,3,2.0,4.0,,,,,,,,COMPLETE
14,14,0.8593582887700535,2025-01-01 11:14:49.491561,2025-01-01 11:15:01.980485,0 days 00:00:12.488924,3,40,35.0,80.0,,,,,,,,3,2.0,5.0,,,,,,,,COMPLETE
