,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.6115978306216103,2025-01-01 13:29:56.274810,2025-01-01 13:30:03.843445,0 days 00:00:07.568635,4,10,90.0,10.0,40.0,,,,,,,5,3.0,3.0,4.0,,,,,,,COMPLETE
1,1,0.603363412633306,2025-01-01 13:30:03.843971,2025-01-01 13:30:11.106694,0 days 00:00:07.262723,1,30,,,,,,,,,,5,,,,,,,,,,COMPLETE
2,2,0.5363408521303258,2025-01-01 13:30:11.107106,2025-01-01 13:30:39.775248,0 days 00:00:28.668142,6,70,100.0,30.0,35.0,100.0,5.0,,,,,2,2.0,6.0,5.0,5.0,4.0,,,,,COMPLETE
3,3,0.5440850686752325,2025-01-01 13:30:39.775937,2025-01-01 13:30:48.692473,0 days 00:00:08.916536,2,25,70.0,,,,,,,,,2,4.0,,,,,,,,,COMPLETE
4,4,0.6524822695035462,2025-01-01 13:30:48.693090,2025-01-01 13:31:00.171957,0 days 00:00:11.478867,2,65,35.0,,,,,,,,,3,5.0,,,,,,,,,COMPLETE
5,5,0.47916666666666663,2025-01-01 13:31:00.172391,2025-01-01 13:31:06.671757,0 days 00:00:06.499366,2,75,15.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
6,6,0.47665056360708535,2025-01-01 13:31:06.672143,2025-01-01 13:31:49.258361,0 days 00:00:42.586218,9,20,50.0,40.0,50.0,60.0,10.0,50.0,60.0,85.0,,5,2.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,,COMPLETE
7,7,0.5232456140350877,2025-01-01 13:31:49.259137,2025-01-01 13:31:57.506245,0 days 00:00:08.247108,2,40,55.0,,,,,,,,,4,2.0,,,,,,,,,COMPLETE
8,8,0.4473443223443223,2025-01-01 13:31:57.506846,2025-01-01 13:32:10.986604,0 days 00:00:13.479758,3,35,40.0,50.0,,,,,,,,6,4.0,2.0,,,,,,,,COMPLETE
9,9,0.5607843137254902,2025-01-01 13:32:10.987063,2025-01-01 13:32:30.963194,0 days 00:00:19.976131,4,45,95.0,10.0,80.0,,,,,,,6,4.0,4.0,4.0,,,,,,,COMPLETE
10,10,0.5974235104669887,2025-01-01 13:32:30.963811,2025-01-01 13:33:04.256927,0 days 00:00:33.293116,7,100,15.0,95.0,100.0,10.0,100.0,100.0,,,,3,6.0,6.0,6.0,2.0,6.0,6.0,,,,COMPLETE
11,11,0.5588499550763701,2025-01-01 13:33:04.258038,2025-01-01 13:33:13.682077,0 days 00:00:09.424039,5,5,75.0,5.0,5.0,5.0,,,,,,4,6.0,2.0,2.0,6.0,,,,,,COMPLETE
12,12,0.548440065681445,2025-01-01 13:33:13.682566,2025-01-01 13:33:33.881359,0 days 00:00:20.198793,4,65,30.0,80.0,20.0,,,,,,,4,5.0,4.0,4.0,,,,,,,COMPLETE
13,13,0.725837504813246,2025-01-01 13:33:33.881880,2025-01-01 13:34:03.511857,0 days 00:00:29.629977,8,90,75.0,70.0,60.0,100.0,75.0,10.0,5.0,,,3,3.0,4.0,6.0,2.0,6.0,2.0,2.0,,,COMPLETE
14,14,0.39487179487179486,2025-01-01 13:34:03.512640,2025-01-01 13:34:47.647430,0 days 00:00:44.134790,10,95,70.0,70.0,70.0,100.0,75.0,10.0,15.0,5.0,30.0,3,5.0,5.0,6.0,2.0,6.0,2.0,2.0,2.0,6.0,COMPLETE
15,15,0.4652406417112299,2025-01-01 13:34:47.648218,2025-01-01 13:35:20.621693,0 days 00:00:32.973475,8,85,30.0,70.0,70.0,65.0,50.0,5.0,10.0,,,3,3.0,5.0,5.0,3.0,4.0,5.0,2.0,,,COMPLETE
16,16,0.569023569023569,2025-01-01 13:35:20.623067,2025-01-01 13:35:51.170904,0 days 00:00:30.547837,7,85,5.0,100.0,95.0,80.0,55.0,45.0,,,,3,5.0,5.0,6.0,3.0,5.0,2.0,,,,COMPLETE
17,17,0.5857843137254902,2025-01-01 13:35:51.171603,2025-01-01 13:36:29.331449,0 days 00:00:38.159846,10,55,60.0,60.0,60.0,35.0,100.0,30.0,100.0,25.0,100.0,3,3.0,3.0,5.0,4.0,2.0,4.0,3.0,6.0,2.0,COMPLETE
18,18,0.5720338983050848,2025-01-01 13:36:29.332233,2025-01-01 13:37:01.855578,0 days 00:00:32.523345,8,55,85.0,85.0,30.0,40.0,70.0,80.0,35.0,,,2,5.0,4.0,2.0,2.0,5.0,3.0,6.0,,,COMPLETE
19,19,0.6124031007751938,2025-01-01 13:37:01.856402,2025-01-01 13:37:22.840543,0 days 00:00:20.984141,6,85,40.0,30.0,85.0,80.0,25.0,,,,,3,3.0,3.0,3.0,3.0,3.0,,,,,COMPLETE
20,20,0.50591985428051,2025-01-01 13:37:22.841175,2025-01-01 13:37:29.556517,0 days 00:00:06.715342,1,65,,,,,,,,,,4,,,,,,,,,,COMPLETE
21,21,0.7132107023411371,2025-01-01 13:37:29.557027,2025-01-01 13:37:42.896655,0 days 00:00:13.339628,6,85,40.0,25.0,85.0,80.0,25.0,,,,,3,3.0,3.0,3.0,3.0,3.0,,,,,COMPLETE
22,22,0.5245969408846631,2025-01-01 13:37:42.897374,2025-01-01 13:38:08.262989,0 days 00:00:25.365615,7,75,40.0,25.0,55.0,85.0,35.0,30.0,,,,3,4.0,2.0,3.0,3.0,3.0,4.0,,,,COMPLETE
23,23,0.4246031746031746,2025-01-01 13:38:08.263637,2025-01-01 13:38:24.873390,0 days 00:00:16.609753,5,90,30.0,50.0,85.0,90.0,,,,,,2,3.0,4.0,3.0,2.0,,,,,,COMPLETE
24,24,0.5384615384615385,2025-01-01 13:38:24.874255,2025-01-01 13:38:54.187554,0 days 00:00:29.313299,8,100,50.0,60.0,70.0,70.0,75.0,75.0,65.0,,,3,4.0,3.0,4.0,3.0,3.0,2.0,4.0,,,COMPLETE
25,25,0.4005787515502274,2025-01-01 13:38:54.188520,2025-01-01 13:39:35.537574,0 days 00:00:41.349054,9,80,60.0,20.0,45.0,100.0,25.0,20.0,35.0,100.0,,4,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,,COMPLETE
26,26,0.6053921568627452,2025-01-01 13:39:35.538777,2025-01-01 13:39:56.046332,0 days 00:00:20.507555,6,65,80.0,40.0,60.0,90.0,55.0,,,,,3,6.0,3.0,2.0,2.0,3.0,,,,,COMPLETE
27,27,0.5217948717948717,2025-01-01 13:39:56.046957,2025-01-01 13:40:19.781583,0 days 00:00:23.734626,5,90,20.0,40.0,90.0,50.0,,,,,,4,4.0,4.0,3.0,4.0,,,,,,COMPLETE
28,28,0.495640802092415,2025-01-01 13:40:19.782317,2025-01-01 13:40:31.378939,0 days 00:00:11.596622,3,50,45.0,80.0,,,,,,,,2,5.0,2.0,,,,,,,,COMPLETE
29,29,0.4205128205128205,2025-01-01 13:40:31.379502,2025-01-01 13:41:13.674764,0 days 00:00:42.295262,9,75,65.0,65.0,75.0,75.0,40.0,60.0,90.0,60.0,,4,3.0,4.0,6.0,3.0,6.0,6.0,4.0,4.0,,COMPLETE
30,30,0.6325000000000001,2025-01-01 13:41:13.675526,2025-01-01 13:41:48.414435,0 days 00:00:34.738909,7,60,35.0,20.0,60.0,55.0,90.0,35.0,,,,3,2.0,5.0,5.0,5.0,4.0,5.0,,,,COMPLETE
