,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.7408855205424811,2025-01-01 17:59:22.186299,2025-01-01 17:59:49.483769,0 days 00:00:27.297470,8,20,30.0,75.0,65.0,10.0,15.0,20.0,80.0,,,3,3.0,3.0,2.0,2.0,6.0,6.0,2.0,,,COMPLETE
1,1,0.6936936936936937,2025-01-01 17:59:49.484353,2025-01-01 18:00:08.261664,0 days 00:00:18.777311,6,40,55.0,5.0,80.0,5.0,20.0,,,,,2,6.0,2.0,2.0,2.0,4.0,,,,,COMPLETE
2,2,0.5416833828131269,2025-01-01 18:00:08.262354,2025-01-01 18:00:41.051467,0 days 00:00:32.789113,8,60,85.0,40.0,5.0,100.0,95.0,100.0,5.0,,,6,3.0,2.0,5.0,5.0,5.0,4.0,4.0,,,COMPLETE
3,3,0.5582381446867428,2025-01-01 18:00:41.052270,2025-01-01 18:00:59.299458,0 days 00:00:18.247188,3,45,70.0,20.0,,,,,,,,5,6.0,6.0,,,,,,,,COMPLETE
4,4,0.6276749798873693,2025-01-01 18:00:59.299993,2025-01-01 18:01:26.297130,0 days 00:00:26.997137,9,80,50.0,30.0,10.0,50.0,100.0,80.0,35.0,40.0,,4,3.0,6.0,3.0,4.0,2.0,6.0,3.0,4.0,,COMPLETE
5,5,0.6763265306122449,2025-01-01 18:01:26.297869,2025-01-01 18:01:41.948169,0 days 00:00:15.650300,5,45,55.0,70.0,65.0,50.0,,,,,,4,3.0,2.0,3.0,2.0,,,,,,COMPLETE
6,6,0.6305194805194805,2025-01-01 18:01:41.948877,2025-01-01 18:02:05.366790,0 days 00:00:23.417913,5,90,50.0,5.0,55.0,20.0,,,,,,5,2.0,5.0,3.0,4.0,,,,,,COMPLETE
7,7,0.6097345132743363,2025-01-01 18:02:05.367335,2025-01-01 18:02:38.548613,0 days 00:00:33.181278,7,40,75.0,85.0,70.0,20.0,55.0,95.0,,,,6,6.0,4.0,6.0,3.0,2.0,6.0,,,,COMPLETE
8,8,0.7850975375759515,2025-01-01 18:02:38.549261,2025-01-01 18:03:04.597744,0 days 00:00:26.048483,7,55,50.0,100.0,55.0,65.0,90.0,50.0,,,,4,2.0,3.0,4.0,6.0,6.0,3.0,,,,COMPLETE
9,9,0.7393885902270722,2025-01-01 18:03:04.598391,2025-01-01 18:03:24.523345,0 days 00:00:19.924954,5,90,90.0,60.0,40.0,80.0,,,,,,3,4.0,5.0,4.0,2.0,,,,,,COMPLETE
10,10,0.6960408684546615,2025-01-01 18:03:24.524521,2025-01-01 18:03:33.063690,0 days 00:00:08.539169,1,5,,,,,,,,,,4,,,,,,,,,,COMPLETE
11,11,0.7711086045762165,2025-01-01 18:03:33.064153,2025-01-01 18:04:03.431659,0 days 00:00:30.367506,9,15,15.0,100.0,95.0,70.0,25.0,20.0,95.0,100.0,,2,2.0,3.0,2.0,6.0,6.0,2.0,2.0,6.0,,COMPLETE
12,12,0.6844562505030991,2025-01-01 18:04:03.432297,2025-01-01 18:04:46.655063,0 days 00:00:43.222766,10,65,5.0,100.0,95.0,70.0,55.0,30.0,100.0,100.0,65.0,2,2.0,3.0,5.0,6.0,6.0,2.0,6.0,6.0,3.0,COMPLETE
13,13,0.6720690211256248,2025-01-01 18:04:46.655822,2025-01-01 18:05:32.570127,0 days 00:00:45.914305,10,25,5.0,100.0,100.0,65.0,35.0,45.0,65.0,100.0,10.0,3,2.0,3.0,4.0,6.0,6.0,2.0,2.0,6.0,6.0,COMPLETE
14,14,0.7371251629726205,2025-01-01 18:05:32.570960,2025-01-01 18:05:58.632480,0 days 00:00:26.061520,7,70,20.0,90.0,35.0,90.0,75.0,60.0,,,,2,4.0,4.0,4.0,5.0,5.0,3.0,,,,COMPLETE
15,15,0.5766233766233766,2025-01-01 18:05:58.633118,2025-01-01 18:06:39.862769,0 days 00:00:41.229651,8,5,35.0,55.0,30.0,40.0,35.0,5.0,100.0,,,5,4.0,3.0,6.0,6.0,4.0,3.0,6.0,,,COMPLETE
16,16,0.7681623931623931,2025-01-01 18:06:39.863564,2025-01-01 18:06:50.695151,0 days 00:00:10.831587,3,25,100.0,85.0,,,,,,,,3,2.0,4.0,,,,,,,,COMPLETE
17,17,0.7221288515406163,2025-01-01 18:06:50.695631,2025-01-01 18:07:22.602114,0 days 00:00:31.906483,9,100,20.0,70.0,85.0,65.0,80.0,55.0,40.0,10.0,,2,5.0,3.0,2.0,5.0,5.0,3.0,4.0,2.0,,COMPLETE
18,18,0.6963317384370016,2025-01-01 18:07:22.602788,2025-01-01 18:07:54.005256,0 days 00:00:31.402468,7,55,35.0,100.0,50.0,80.0,35.0,35.0,,,,5,2.0,4.0,5.0,6.0,3.0,4.0,,,,COMPLETE
19,19,0.47216231328380864,2025-01-01 18:07:54.005997,2025-01-01 18:08:29.735065,0 days 00:00:35.729068,9,30,20.0,45.0,20.0,35.0,5.0,5.0,70.0,65.0,,3,3.0,5.0,3.0,5.0,6.0,2.0,4.0,4.0,,COMPLETE
20,20,0.6602809706257982,2025-01-01 18:08:29.735741,2025-01-01 18:08:55.610665,0 days 00:00:25.874924,6,15,40.0,90.0,80.0,60.0,70.0,,,,,4,5.0,2.0,4.0,6.0,5.0,,,,,COMPLETE
