,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.6083333333333334,2025-01-01 20:15:52.640620,2025-01-01 20:15:56.771447,0 days 00:00:04.130827,2,100,85.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
1,1,0.5180952380952382,2025-01-01 20:15:56.771812,2025-01-01 20:16:09.551201,0 days 00:00:12.779389,5,100,95.0,80.0,75.0,80.0,,,,,,3,4.0,5.0,5.0,5.0,,,,,,COMPLETE
2,2,0.5094043887147335,2025-01-01 20:16:09.551697,2025-01-01 20:16:16.802379,0 days 00:00:07.250682,4,10,45.0,25.0,95.0,,,,,,,4,2.0,2.0,2.0,,,,,,,COMPLETE
3,3,0.527536231884058,2025-01-01 20:16:16.802797,2025-01-01 20:16:33.898594,0 days 00:00:17.095797,6,10,95.0,20.0,25.0,90.0,85.0,,,,,3,6.0,6.0,2.0,6.0,4.0,,,,,COMPLETE
4,4,0.5357142857142857,2025-01-01 20:16:33.899164,2025-01-01 20:16:54.089991,0 days 00:00:20.190827,7,35,50.0,85.0,30.0,80.0,65.0,55.0,,,,3,6.0,6.0,4.0,6.0,2.0,3.0,,,,COMPLETE
5,5,0.44655797101449274,2025-01-01 20:16:54.090663,2025-01-01 20:17:18.617812,0 days 00:00:24.527149,10,10,40.0,40.0,10.0,50.0,65.0,80.0,80.0,40.0,65.0,2,3.0,5.0,6.0,2.0,3.0,2.0,4.0,4.0,6.0,COMPLETE
6,6,0.41276595744680855,2025-01-01 20:17:18.618431,2025-01-01 20:17:28.236049,0 days 00:00:09.617618,4,30,55.0,90.0,40.0,,,,,,,5,2.0,3.0,3.0,,,,,,,COMPLETE
7,7,0.6190476190476191,2025-01-01 20:17:28.236473,2025-01-01 20:17:56.264741,0 days 00:00:28.028268,10,50,5.0,60.0,45.0,15.0,40.0,40.0,10.0,60.0,55.0,3,3.0,6.0,5.0,2.0,6.0,6.0,5.0,3.0,5.0,COMPLETE
8,8,0.5568421052631579,2025-01-01 20:17:56.265491,2025-01-01 20:18:07.233320,0 days 00:00:10.967829,4,55,40.0,20.0,80.0,,,,,,,5,6.0,2.0,3.0,,,,,,,COMPLETE
9,9,0.44655797101449274,2025-01-01 20:18:07.234068,2025-01-01 20:18:32.615921,0 days 00:00:25.381853,9,30,60.0,85.0,20.0,90.0,45.0,35.0,100.0,10.0,,5,2.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,,COMPLETE
