,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.7956058378727708,2025-01-01 23:27:05.512121,2025-01-01 23:27:52.488697,0 days 00:00:46.976576,5,70,50.0,85.0,95.0,15.0,,,,,,5,6.0,5.0,4.0,6.0,,,,,,COMPLETE
1,1,0.8135244567801388,2025-01-01 23:27:52.489325,2025-01-01 23:28:20.065283,0 days 00:00:27.575958,6,80,15.0,5.0,10.0,40.0,85.0,,,,,6,6.0,3.0,3.0,5.0,4.0,,,,,COMPLETE
2,2,0.864093836862315,2025-01-01 23:28:20.065844,2025-01-01 23:28:29.983452,0 days 00:00:09.917608,1,20,,,,,,,,,,4,,,,,,,,,,COMPLETE
3,3,0.8369068120221416,2025-01-01 23:28:29.983822,2025-01-01 23:29:21.481924,0 days 00:00:51.498102,6,85,25.0,20.0,90.0,100.0,85.0,,,,,5,5.0,4.0,3.0,4.0,3.0,,,,,COMPLETE
4,4,0.8559305526610084,2025-01-01 23:29:21.482512,2025-01-01 23:30:29.793161,0 days 00:01:08.310649,9,95,40.0,5.0,20.0,45.0,95.0,70.0,30.0,100.0,,2,4.0,3.0,5.0,5.0,6.0,6.0,3.0,3.0,,COMPLETE
5,5,0.8230007355447228,2025-01-01 23:30:29.793817,2025-01-01 23:30:58.165089,0 days 00:00:28.371272,5,85,90.0,45.0,25.0,90.0,,,,,,6,6.0,3.0,5.0,6.0,,,,,,COMPLETE
6,6,0.8563511846505178,2025-01-01 23:30:58.165678,2025-01-01 23:31:39.256915,0 days 00:00:41.091237,6,35,20.0,30.0,15.0,15.0,65.0,,,,,5,2.0,2.0,5.0,6.0,3.0,,,,,COMPLETE
7,7,0.842902625996252,2025-01-01 23:31:39.257416,2025-01-01 23:32:59.503987,0 days 00:01:20.246571,8,10,65.0,85.0,80.0,60.0,55.0,55.0,10.0,,,4,2.0,5.0,5.0,5.0,4.0,4.0,5.0,,,COMPLETE
8,8,0.8495571412414984,2025-01-01 23:32:59.504645,2025-01-01 23:33:45.138535,0 days 00:00:45.633890,5,75,20.0,45.0,90.0,75.0,,,,,,3,2.0,6.0,4.0,5.0,,,,,,COMPLETE
9,9,0.790893494690963,2025-01-01 23:33:45.139148,2025-01-01 23:34:18.789710,0 days 00:00:33.650562,8,90,65.0,70.0,25.0,45.0,30.0,70.0,10.0,,,6,3.0,5.0,6.0,5.0,2.0,6.0,3.0,,,COMPLETE
10,10,0.8216500702479108,2025-01-01 23:34:18.790487,2025-01-01 23:34:28.704866,0 days 00:00:09.914379,1,5,,,,,,,,,,3,,,,,,,,,,COMPLETE
11,11,0.8435371703828043,2025-01-01 23:34:28.705238,2025-01-01 23:34:38.269015,0 days 00:00:09.563777,1,30,,,,,,,,,,4,,,,,,,,,,COMPLETE
12,12,0.8616803604333187,2025-01-01 23:34:38.269345,2025-01-01 23:34:59.682412,0 days 00:00:21.413067,3,40,5.0,30.0,,,,,,,,5,3.0,2.0,,,,,,,,COMPLETE
13,13,0.8366340666579584,2025-01-01 23:34:59.683009,2025-01-01 23:35:20.876077,0 days 00:00:21.193068,3,50,5.0,60.0,,,,,,,,3,4.0,2.0,,,,,,,,COMPLETE
14,14,0.8485882077003573,2025-01-01 23:35:20.876435,2025-01-01 23:35:44.117994,0 days 00:00:23.241559,3,25,95.0,30.0,,,,,,,,4,3.0,2.0,,,,,,,,COMPLETE
15,15,0.8366753299431378,2025-01-01 23:35:44.118332,2025-01-01 23:36:15.888572,0 days 00:00:31.770240,3,50,40.0,60.0,,,,,,,,5,4.0,4.0,,,,,,,,COMPLETE
16,16,0.850382039151629,2025-01-01 23:36:15.889053,2025-01-01 23:36:31.710947,0 days 00:00:15.821894,2,20,70.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
17,17,0.8427732966960328,2025-01-01 23:36:31.711285,2025-01-01 23:36:48.755518,0 days 00:00:17.044233,2,60,5.0,,,,,,,,,4,5.0,,,,,,,,,COMPLETE
18,18,0.8356265373968403,2025-01-01 23:36:48.755944,2025-01-01 23:37:25.045144,0 days 00:00:36.289200,4,40,35.0,95.0,55.0,,,,,,,5,5.0,3.0,2.0,,,,,,,COMPLETE
19,19,0.8597556355773487,2025-01-01 23:37:25.045629,2025-01-01 23:37:34.530612,0 days 00:00:09.484983,1,20,,,,,,,,,,3,,,,,,,,,,COMPLETE
20,20,0.8368395224291858,2025-01-01 23:37:34.531055,2025-01-01 23:37:57.872150,0 days 00:00:23.341095,2,45,80.0,,,,,,,,,5,3.0,,,,,,,,,COMPLETE
21,21,0.7969412253112156,2025-01-01 23:37:57.872498,2025-01-01 23:38:07.365401,0 days 00:00:09.492903,1,15,,,,,,,,,,3,,,,,,,,,,COMPLETE
22,22,0.8353845218972751,2025-01-01 23:38:07.365720,2025-01-01 23:38:16.871097,0 days 00:00:09.505377,1,30,,,,,,,,,,3,,,,,,,,,,COMPLETE
23,23,0.8517513572486465,2025-01-01 23:38:16.871391,2025-01-01 23:38:33.623920,0 days 00:00:16.752529,2,20,55.0,,,,,,,,,4,3.0,,,,,,,,,COMPLETE
24,24,0.7688959129462034,2025-01-01 23:38:33.624255,2025-01-01 23:38:55.534106,0 days 00:00:21.909851,4,5,30.0,25.0,50.0,,,,,,,2,2.0,4.0,2.0,,,,,,,COMPLETE
25,25,0.8462852027447115,2025-01-01 23:38:55.534601,2025-01-01 23:39:21.443052,0 days 00:00:25.908451,3,40,50.0,40.0,,,,,,,,4,5.0,2.0,,,,,,,,COMPLETE
26,26,0.8503855551473056,2025-01-01 23:39:21.443418,2025-01-01 23:39:33.470736,0 days 00:00:12.027318,1,60,,,,,,,,,,3,,,,,,,,,,COMPLETE
27,27,0.8462081547586955,2025-01-01 23:39:33.471135,2025-01-01 23:40:02.566470,0 days 00:00:29.095335,4,25,10.0,20.0,65.0,,,,,,,4,4.0,6.0,6.0,,,,,,,COMPLETE
28,28,0.8174401678595009,2025-01-01 23:40:02.566941,2025-01-01 23:40:21.116016,0 days 00:00:18.549075,2,15,80.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
29,29,0.8318633322862093,2025-01-01 23:40:21.116601,2025-01-01 23:40:38.831820,0 days 00:00:17.715219,2,65,55.0,,,,,,,,,3,2.0,,,,,,,,,COMPLETE
30,30,0.836357019824161,2025-01-01 23:40:38.832296,2025-01-01 23:41:14.981236,0 days 00:00:36.148940,4,35,100.0,70.0,40.0,,,,,,,4,3.0,3.0,3.0,,,,,,,COMPLETE
31,31,0.8624795258096427,2025-01-01 23:41:14.981748,2025-01-01 23:41:39.391723,0 days 00:00:24.409975,6,35,20.0,35.0,5.0,5.0,50.0,,,,,5,2.0,2.0,6.0,2.0,6.0,,,,,COMPLETE
32,32,0.8544075658900114,2025-01-01 23:41:39.392232,2025-01-01 23:42:02.157473,0 days 00:00:22.765241,8,30,15.0,35.0,5.0,5.0,5.0,10.0,90.0,,,6,2.0,2.0,6.0,2.0,6.0,2.0,6.0,,,COMPLETE
33,33,0.8575814783866693,2025-01-01 23:42:02.158330,2025-01-01 23:42:39.213019,0 days 00:00:37.054689,7,40,30.0,15.0,35.0,30.0,30.0,10.0,,,,5,3.0,2.0,6.0,2.0,5.0,2.0,,,,COMPLETE
34,34,0.8499936253231812,2025-01-01 23:42:39.213499,2025-01-01 23:43:27.048185,0 days 00:00:47.834686,7,15,5.0,55.0,70.0,65.0,35.0,100.0,,,,5,2.0,4.0,4.0,3.0,5.0,4.0,,,,COMPLETE
35,35,0.8461654886200873,2025-01-01 23:43:27.048827,2025-01-01 23:44:07.519067,0 days 00:00:40.470240,7,25,45.0,45.0,40.0,25.0,65.0,35.0,,,,6,3.0,3.0,5.0,3.0,5.0,5.0,,,,COMPLETE
36,36,0.8402754934589861,2025-01-01 23:44:07.519570,2025-01-01 23:44:56.482762,0 days 00:00:48.963192,10,35,15.0,15.0,55.0,80.0,5.0,100.0,100.0,5.0,10.0,5,2.0,2.0,6.0,3.0,6.0,3.0,2.0,6.0,5.0,COMPLETE
37,37,0.8380202195820856,2025-01-01 23:44:56.483494,2025-01-01 23:45:25.426407,0 days 00:00:28.942913,5,45,25.0,35.0,30.0,5.0,,,,,,2,4.0,3.0,3.0,2.0,,,,,,COMPLETE
