,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.9273330318106437,2025-01-02 04:04:22.644244,2025-01-02 04:04:41.359988,0 days 00:00:18.715744,7,65,5.0,100.0,20.0,95.0,55.0,60.0,,,,3,2.0,6.0,6.0,3.0,2.0,4.0,,,,COMPLETE
1,1,0.7601895653366242,2025-01-02 04:04:41.360574,2025-01-02 04:05:09.750450,0 days 00:00:28.389876,9,85,25.0,45.0,35.0,60.0,85.0,60.0,85.0,65.0,,6,5.0,3.0,5.0,4.0,6.0,6.0,2.0,6.0,,COMPLETE
2,2,0.8821266968325792,2025-01-02 04:05:09.751192,2025-01-02 04:05:40.285247,0 days 00:00:30.534055,9,10,35.0,80.0,20.0,70.0,95.0,95.0,70.0,100.0,,4,6.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,,COMPLETE
3,3,0.9281947510424331,2025-01-02 04:05:40.286039,2025-01-02 04:06:00.351518,0 days 00:00:20.065479,7,35,95.0,80.0,75.0,15.0,75.0,20.0,,,,3,5.0,6.0,2.0,3.0,4.0,2.0,,,,COMPLETE
4,4,0.9441176634260625,2025-01-02 04:06:00.352119,2025-01-02 04:06:20.312451,0 days 00:00:19.960332,7,25,40.0,35.0,100.0,60.0,40.0,65.0,,,,5,3.0,3.0,3.0,3.0,3.0,4.0,,,,COMPLETE
5,5,0.939001373641714,2025-01-02 04:06:20.313050,2025-01-02 04:06:29.569483,0 days 00:00:09.256433,3,40,5.0,30.0,,,,,,,,5,2.0,5.0,,,,,,,,COMPLETE
6,6,0.9492891021459606,2025-01-02 04:06:29.569973,2025-01-02 04:06:35.321332,0 days 00:00:05.751359,2,70,70.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
7,7,0.9458532310576437,2025-01-02 04:06:35.321714,2025-01-02 04:06:38.932667,0 days 00:00:03.610953,1,100,,,,,,,,,,3,,,,,,,,,,COMPLETE
8,8,0.9269823288262774,2025-01-02 04:06:38.933029,2025-01-02 04:07:06.564500,0 days 00:00:27.631471,8,20,20.0,35.0,40.0,80.0,5.0,100.0,30.0,,,4,2.0,2.0,3.0,4.0,6.0,3.0,4.0,,,COMPLETE
9,9,0.9344853914562403,2025-01-02 04:07:06.565281,2025-01-02 04:07:11.564795,0 days 00:00:04.999514,1,45,,,,,,,,,,5,,,,,,,,,,COMPLETE
