,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.6666292723085584,2025-01-08 00:19:27.309923,2025-01-08 00:20:00.883275,0 days 00:00:33.573352,4,1,4,25,35.0,,,,,,5.0,15.0,,,,,,,COMPLETE
1,1,0.8913222908306278,2025-01-08 00:20:00.884045,2025-01-08 00:20:19.120338,0 days 00:00:18.236293,2,9,2,20,40.0,,,,,,,,,,,,,,COMPLETE
2,2,0.7803151101397541,2025-01-08 00:20:19.120988,2025-01-08 00:21:56.079388,0 days 00:01:36.958400,14,1,2,45,50.0,45.0,25.0,20.0,50.0,,35.0,50.0,25.0,45.0,45.0,50.0,10.0,50.0,COMPLETE
3,3,0.0003359086328518643,2025-01-08 00:21:56.080522,2025-01-08 00:22:44.949410,0 days 00:00:48.868888,13,5,5,50,35.0,40.0,40.0,50.0,,,40.0,5.0,20.0,25.0,50.0,35.0,35.0,45.0,COMPLETE
4,4,0.7869004208800492,2025-01-08 00:22:44.950524,2025-01-08 00:22:53.223354,0 days 00:00:08.272830,1,7,1,10,,,,,,,,,,,,,,,COMPLETE
5,5,0.6503537735849056,2025-01-08 00:22:53.224071,2025-01-08 00:23:06.051138,0 days 00:00:12.827067,1,1,5,15,,,,,,,,,,,,,,,COMPLETE
6,6,0.0,2025-01-08 00:23:06.051863,2025-01-08 00:23:49.496210,0 days 00:00:43.444347,13,9,1,5,50.0,15.0,35.0,40.0,,,40.0,35.0,35.0,30.0,20.0,45.0,40.0,30.0,COMPLETE
7,7,0.0,2025-01-08 00:23:49.497433,2025-01-08 00:24:19.782956,0 days 00:00:30.285523,13,7,1,15,25.0,20.0,50.0,10.0,,,25.0,40.0,20.0,35.0,15.0,5.0,5.0,45.0,COMPLETE
8,8,0.821407440468926,2025-01-08 00:24:19.784286,2025-01-08 00:24:46.355251,0 days 00:00:26.570965,6,5,1,20,40.0,,,,,,15.0,35.0,5.0,15.0,,,,,COMPLETE
9,9,0.0003361344537815126,2025-01-08 00:24:46.356410,2025-01-08 00:25:46.840230,0 days 00:01:00.483820,7,5,5,25,35.0,,,,,,5.0,50.0,20.0,45.0,30.0,,,,COMPLETE
10,10,0.670830011498717,2025-01-08 00:25:46.841224,2025-01-08 00:26:38.073813,0 days 00:00:51.232589,10,9,3,35,5.0,,,,,,25.0,20.0,50.0,5.0,5.0,10.0,20.0,5.0,COMPLETE
11,11,0.8904033975095336,2025-01-08 00:26:38.074828,2025-01-08 00:27:07.387960,0 days 00:00:29.313132,5,3,2,30,40.0,,,,,,15.0,30.0,5.0,,,,,,COMPLETE
12,12,0.8023534110234232,2025-01-08 00:27:07.389147,2025-01-08 00:27:40.797997,0 days 00:00:33.408850,4,3,3,35,20.0,,,,,,50.0,25.0,,,,,,,COMPLETE
13,13,0.8497964722634437,2025-01-08 00:27:40.798923,2025-01-08 00:28:07.673869,0 days 00:00:26.874946,4,3,2,35,45.0,,,,,,15.0,10.0,,,,,,,COMPLETE
14,14,0.35735849056603775,2025-01-08 00:28:07.674802,2025-01-08 00:28:57.766309,0 days 00:00:50.091507,10,3,2,30,25.0,,,,,,15.0,30.0,5.0,5.0,35.0,20.0,50.0,5.0,COMPLETE
15,15,0.8809995739733842,2025-01-08 00:28:57.767551,2025-01-08 00:29:25.497799,0 days 00:00:27.730248,3,7,3,30,40.0,,,,,,20.0,,,,,,,,COMPLETE
16,16,0.8689835599830619,2025-01-08 00:29:25.498698,2025-01-08 00:30:14.425452,0 days 00:00:48.926754,6,9,2,40,15.0,,,,,,30.0,40.0,40.0,50.0,,,,,COMPLETE
17,17,0.43122433238773245,2025-01-08 00:30:14.426342,2025-01-08 00:31:01.670518,0 days 00:00:47.244176,9,3,3,20,30.0,,,,,,10.0,20.0,10.0,20.0,5.0,30.0,20.0,,COMPLETE
18,18,0.6713938800633599,2025-01-08 00:31:01.671695,2025-01-08 00:31:26.455300,0 days 00:00:24.783605,2,7,4,20,45.0,,,,,,,,,,,,,,COMPLETE
19,19,0.8862880507113573,2025-01-08 00:31:26.456279,2025-01-08 00:31:55.065283,0 days 00:00:28.609004,5,3,2,5,40.0,,,,,,50.0,25.0,15.0,,,,,,COMPLETE
