,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.18582375478927204,2025-01-08 07:14:48.026196,2025-01-08 07:14:58.346783,0 days 00:00:10.320587,8,7,3,5,15.0,,,,,,15.0,50.0,20.0,30.0,40.0,5.0,,,COMPLETE
1,1,0.80893581758752,2025-01-08 07:14:58.347452,2025-01-08 07:15:04.266136,0 days 00:00:05.918684,4,3,1,50,35.0,,,,,,25.0,50.0,,,,,,,COMPLETE
2,2,0.0,2025-01-08 07:15:04.266945,2025-01-08 07:15:15.617940,0 days 00:00:11.350995,10,3,2,15,30.0,,,,,,30.0,15.0,5.0,30.0,10.0,20.0,35.0,40.0,COMPLETE
3,3,0.0,2025-01-08 07:15:15.618910,2025-01-08 07:15:23.798732,0 days 00:00:08.179822,8,1,1,5,5.0,,,,,,45.0,15.0,20.0,40.0,25.0,20.0,,,COMPLETE
4,4,0.8309481627296589,2025-01-08 07:15:23.799451,2025-01-08 07:15:28.218044,0 days 00:00:04.418593,3,1,1,50,10.0,,,,,,40.0,,,,,,,,COMPLETE
5,5,0.8197175506683916,2025-01-08 07:15:28.218584,2025-01-08 07:15:32.176263,0 days 00:00:03.957679,3,3,2,5,15.0,,,,,,40.0,,,,,,,,COMPLETE
6,6,0.0,2025-01-08 07:15:32.176782,2025-01-08 07:15:51.858544,0 days 00:00:19.681762,15,9,4,15,20.0,15.0,50.0,20.0,25.0,50.0,45.0,45.0,5.0,40.0,50.0,15.0,10.0,15.0,COMPLETE
7,7,0.5652843812392137,2025-01-08 07:15:51.859402,2025-01-08 07:16:13.438563,0 days 00:00:21.579161,14,9,5,50,45.0,40.0,50.0,50.0,5.0,,45.0,45.0,45.0,25.0,40.0,25.0,5.0,10.0,COMPLETE
8,8,0.02122641509433962,2025-01-08 07:16:13.439507,2025-01-08 07:16:19.515710,0 days 00:00:06.076203,6,5,1,25,5.0,,,,,,30.0,5.0,50.0,15.0,,,,,COMPLETE
9,9,0.0,2025-01-08 07:16:19.516465,2025-01-08 07:16:38.258356,0 days 00:00:18.741891,12,3,4,35,30.0,20.0,45.0,,,,40.0,15.0,40.0,5.0,5.0,5.0,50.0,45.0,COMPLETE
10,10,0.6731875581867226,2025-01-08 07:16:38.259053,2025-01-08 07:16:42.433751,0 days 00:00:04.174698,2,1,2,40,50.0,,,,,,,,,,,,,,COMPLETE
