,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.7482517482517483,2025-01-08 08:21:12.870685,2025-01-08 08:21:17.259928,0 days 00:00:04.389243,2,3,5,45,20.0,,,,,,,,,,,,,,COMPLETE
1,1,0.823512336719884,2025-01-08 08:21:17.260706,2025-01-08 08:21:19.316589,0 days 00:00:02.055883,2,1,1,5,50.0,,,,,,,,,,,,,,COMPLETE
2,2,0.0,2025-01-08 08:21:19.318150,2025-01-08 08:21:24.931980,0 days 00:00:05.613830,3,3,4,50,15.0,,,,,,10.0,,,,,,,,COMPLETE
3,3,0.39215686274509803,2025-01-08 08:21:24.932902,2025-01-08 08:21:30.515749,0 days 00:00:05.582847,3,5,5,25,25.0,,,,,,30.0,,,,,,,,COMPLETE
4,4,0.0,2025-01-08 08:21:30.516495,2025-01-08 08:21:45.372218,0 days 00:00:14.855723,13,9,3,10,10.0,35.0,30.0,45.0,,,10.0,45.0,50.0,40.0,40.0,45.0,15.0,50.0,COMPLETE
5,5,0.0,2025-01-08 08:21:45.373523,2025-01-08 08:21:55.892889,0 days 00:00:10.519366,12,5,3,25,45.0,10.0,10.0,,,,50.0,15.0,20.0,25.0,50.0,5.0,5.0,50.0,COMPLETE
6,6,0.446360153256705,2025-01-08 08:21:55.893922,2025-01-08 08:22:06.905168,0 days 00:00:11.011246,10,9,5,5,45.0,,,,,,30.0,40.0,35.0,50.0,5.0,5.0,35.0,45.0,COMPLETE
7,7,0.5441509433962264,2025-01-08 08:22:06.906313,2025-01-08 08:22:10.074128,0 days 00:00:03.167815,4,9,1,20,25.0,,,,,,5.0,20.0,,,,,,,COMPLETE
8,8,0.0,2025-01-08 08:22:10.074620,2025-01-08 08:22:20.500119,0 days 00:00:10.425499,14,3,3,5,50.0,40.0,10.0,20.0,5.0,,30.0,20.0,15.0,10.0,15.0,15.0,15.0,5.0,COMPLETE
9,9,0.6539451114922813,2025-01-08 08:22:20.501200,2025-01-08 08:22:26.293618,0 days 00:00:05.792418,5,7,3,35,10.0,,,,,,30.0,35.0,20.0,,,,,,COMPLETE
