,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.4251012145748988,2025-01-08 10:04:13.692330,2025-01-08 10:04:28.942932,0 days 00:00:15.250602,12,7,5,50,15.0,45.0,15.0,,,,25.0,25.0,10.0,5.0,30.0,50.0,50.0,40.0,COMPLETE
1,1,0.6575342465753424,2025-01-08 10:04:28.944116,2025-01-08 10:04:35.851551,0 days 00:00:06.907435,1,1,4,40,,,,,,,,,,,,,,,COMPLETE
2,2,0.28214285714285714,2025-01-08 10:04:35.852634,2025-01-08 10:04:50.484555,0 days 00:00:14.631921,10,5,4,20,30.0,,,,,,35.0,50.0,45.0,40.0,15.0,15.0,25.0,45.0,COMPLETE
3,3,0.038461538461538464,2025-01-08 10:04:50.485732,2025-01-08 10:05:05.652806,0 days 00:00:15.167074,12,3,3,45,20.0,20.0,35.0,,,,5.0,30.0,50.0,40.0,30.0,35.0,10.0,20.0,COMPLETE
4,4,0.37433155080213903,2025-01-08 10:05:05.654008,2025-01-08 10:05:17.037175,0 days 00:00:11.383167,11,9,5,25,15.0,35.0,,,,,50.0,45.0,25.0,10.0,35.0,20.0,50.0,45.0,COMPLETE
5,5,0.07407407407407407,2025-01-08 10:05:17.038568,2025-01-08 10:05:23.684724,0 days 00:00:06.646156,3,1,4,20,50.0,,,,,,45.0,,,,,,,,COMPLETE
6,6,0.0,2025-01-08 10:05:23.685660,2025-01-08 10:05:45.619466,0 days 00:00:21.933806,12,9,5,25,20.0,40.0,45.0,,,,25.0,25.0,35.0,25.0,40.0,30.0,25.0,10.0,COMPLETE
7,7,0.5629629629629629,2025-01-08 10:05:45.620564,2025-01-08 10:06:00.218045,0 days 00:00:14.597481,7,7,5,40,30.0,,,,,,35.0,25.0,45.0,50.0,50.0,,,,COMPLETE
8,8,0.10714285714285714,2025-01-08 10:06:00.219200,2025-01-08 10:06:09.699558,0 days 00:00:09.480358,4,9,4,20,50.0,,,,,,50.0,40.0,,,,,,,COMPLETE
9,9,0.36242083040112594,2025-01-08 10:06:09.700630,2025-01-08 10:06:18.533052,0 days 00:00:08.832422,2,7,2,50,20.0,,,,,,,,,,,,,,COMPLETE
10,10,0.0,2025-01-08 10:06:18.534066,2025-01-08 10:06:24.138101,0 days 00:00:05.604035,15,1,1,5,5.0,5.0,5.0,50.0,20.0,45.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,COMPLETE
11,11,0.20535714285714285,2025-01-08 10:06:24.146333,2025-01-08 10:06:37.509716,0 days 00:00:13.363383,7,5,3,40,35.0,,,,,,35.0,10.0,30.0,50.0,50.0,,,,COMPLETE
12,12,0.40904255319148936,2025-01-08 10:06:37.510867,2025-01-08 10:06:48.501616,0 days 00:00:10.990749,6,3,4,35,40.0,,,,,,15.0,15.0,40.0,50.0,,,,,COMPLETE
13,13,0.6190476190476191,2025-01-08 10:06:48.502628,2025-01-08 10:06:58.965304,0 days 00:00:10.462676,5,7,5,35,40.0,,,,,,35.0,35.0,20.0,,,,,,COMPLETE
14,14,0.4641891891891892,2025-01-08 10:06:58.966302,2025-01-08 10:07:05.248189,0 days 00:00:06.281887,1,3,4,35,,,,,,,,,,,,,,,COMPLETE
15,15,0.41419860627177696,2025-01-08 10:07:05.249149,2025-01-08 10:07:14.546967,0 days 00:00:09.297818,5,5,2,35,40.0,,,,,,15.0,35.0,20.0,,,,,,COMPLETE
16,16,0.0,2025-01-08 10:07:14.547857,2025-01-08 10:07:18.138531,0 days 00:00:03.590674,1,1,5,10,,,,,,,,,,,,,,,COMPLETE
17,17,0.0,2025-01-08 10:07:18.155501,2025-01-08 10:07:31.752852,0 days 00:00:13.597351,9,7,3,30,45.0,,,,,,40.0,15.0,15.0,15.0,15.0,50.0,35.0,,COMPLETE
18,18,0.27653301886792453,2025-01-08 10:07:31.753996,2025-01-08 10:07:41.128962,0 days 00:00:09.374966,4,3,4,45,5.0,,,,,,20.0,35.0,,,,,,,COMPLETE
19,19,0.037037037037037035,2025-01-08 10:07:41.130023,2025-01-08 10:07:48.526553,0 days 00:00:07.396530,3,7,2,30,40.0,,,,,,30.0,,,,,,,,COMPLETE
20,20,0.4372294372294372,2025-01-08 10:07:48.527473,2025-01-08 10:07:59.738792,0 days 00:00:11.211319,5,5,3,40,35.0,,,,,,40.0,50.0,20.0,,,,,,COMPLETE
