,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.017543859649122806,2025-01-08 11:08:51.099318,2025-01-08 11:09:06.237606,0 days 00:00:15.138288,11,5,4,15,5.0,25.0,,,,,25.0,5.0,30.0,35.0,40.0,50.0,50.0,25.0,COMPLETE
1,1,0.5242446573323508,2025-01-08 11:09:06.239056,2025-01-08 11:09:17.011716,0 days 00:00:10.772660,12,7,5,45,30.0,30.0,10.0,,,,50.0,30.0,35.0,20.0,50.0,10.0,40.0,15.0,COMPLETE
2,2,0.31227305737109656,2025-01-08 11:09:17.012935,2025-01-08 11:09:23.142724,0 days 00:00:06.129789,5,7,2,45,35.0,,,,,,45.0,30.0,40.0,,,,,,COMPLETE
3,3,0.04918032786885246,2025-01-08 11:09:23.143641,2025-01-08 11:09:38.682569,0 days 00:00:15.538928,12,9,4,25,5.0,10.0,20.0,,,,30.0,30.0,5.0,45.0,20.0,15.0,5.0,20.0,COMPLETE
4,4,0.8218515429524604,2025-01-08 11:09:38.683804,2025-01-08 11:09:41.502960,0 days 00:00:02.819156,2,5,3,15,50.0,,,,,,,,,,,,,,COMPLETE
5,5,0.6196703880914407,2025-01-08 11:09:41.507026,2025-01-08 11:09:46.783198,0 days 00:00:05.276172,6,5,2,20,30.0,,,,,,5.0,30.0,5.0,50.0,,,,,COMPLETE
6,6,0.6744406922752216,2025-01-08 11:09:46.783846,2025-01-08 11:09:51.351855,0 days 00:00:04.568009,4,3,5,10,5.0,,,,,,15.0,10.0,,,,,,,COMPLETE
7,7,0.7488317757009346,2025-01-08 11:09:51.353546,2025-01-08 11:10:00.409204,0 days 00:00:09.055658,7,3,3,50,20.0,,,,,,25.0,35.0,50.0,50.0,35.0,,,,COMPLETE
8,8,0.7965517241379311,2025-01-08 11:10:00.410313,2025-01-08 11:10:10.428708,0 days 00:00:10.018395,10,1,2,40,15.0,,,,,,40.0,45.0,15.0,45.0,25.0,5.0,50.0,25.0,COMPLETE
9,9,0.30991911451681564,2025-01-08 11:10:10.429599,2025-01-08 11:10:22.575038,0 days 00:00:12.145439,9,9,4,25,15.0,,,,,,45.0,30.0,5.0,25.0,30.0,40.0,15.0,,COMPLETE
10,10,0.8120231919438511,2025-01-08 11:10:22.575982,2025-01-08 11:10:24.079237,0 days 00:00:01.503255,1,1,1,5,,,,,,,,,,,,,,,COMPLETE
11,11,0.8120231919438511,2025-01-08 11:10:24.080350,2025-01-08 11:10:25.574357,0 days 00:00:01.494007,1,1,1,5,,,,,,,,,,,,,,,COMPLETE
12,12,0.8085071168487257,2025-01-08 11:10:25.575485,2025-01-08 11:10:27.035947,0 days 00:00:01.460462,1,3,1,5,,,,,,,,,,,,,,,COMPLETE
13,13,0.7946428571428572,2025-01-08 11:10:27.037122,2025-01-08 11:10:30.570409,0 days 00:00:03.533287,3,1,3,15,50.0,,,,,,5.0,,,,,,,,COMPLETE
14,14,0.7924528301886793,2025-01-08 11:10:30.571000,2025-01-08 11:10:33.651176,0 days 00:00:03.080176,3,7,1,15,50.0,,,,,,35.0,,,,,,,,COMPLETE
15,15,0.0,2025-01-08 11:10:33.651854,2025-01-08 11:10:47.593111,0 days 00:00:13.941257,15,3,2,35,40.0,50.0,50.0,35.0,5.0,40.0,15.0,15.0,20.0,5.0,5.0,30.0,25.0,50.0,COMPLETE
16,16,0.7487956487956489,2025-01-08 11:10:47.594600,2025-01-08 11:10:49.469041,0 days 00:00:01.874441,1,5,3,5,,,,,,,,,,,,,,,COMPLETE
17,17,0.6791583890193246,2025-01-08 11:10:49.470137,2025-01-08 11:10:52.669184,0 days 00:00:03.199047,3,5,1,30,40.0,,,,,,15.0,,,,,,,,COMPLETE
18,18,0.33581235697940504,2025-01-08 11:10:52.669951,2025-01-08 11:10:58.202582,0 days 00:00:05.532631,5,1,4,10,45.0,,,,,,20.0,50.0,50.0,,,,,,COMPLETE
19,19,0.0,2025-01-08 11:10:58.203389,2025-01-08 11:11:04.531153,0 days 00:00:06.327764,7,7,2,20,25.0,,,,,,35.0,20.0,15.0,5.0,5.0,,,,COMPLETE
20,20,0.7982300884955753,2025-01-08 11:11:04.536942,2025-01-08 11:11:07.428116,0 days 00:00:02.891174,2,3,3,10,40.0,,,,,,,,,,,,,,COMPLETE
21,21,0.8120231919438511,2025-01-08 11:11:07.429820,2025-01-08 11:11:08.926413,0 days 00:00:01.496593,1,1,1,5,,,,,,,,,,,,,,,COMPLETE
22,22,0.736904761904762,2025-01-08 11:11:08.927650,2025-01-08 11:11:10.988361,0 days 00:00:02.060711,2,1,1,5,50.0,,,,,,,,,,,,,,COMPLETE
23,23,0.7488740617180984,2025-01-08 11:11:10.989490,2025-01-08 11:11:12.603680,0 days 00:00:01.614190,1,1,1,10,,,,,,,,,,,,,,,COMPLETE
24,24,0.8136177194421657,2025-01-08 11:11:12.605705,2025-01-08 11:11:17.653432,0 days 00:00:05.047727,4,3,2,20,35.0,,,,,,50.0,40.0,,,,,,,COMPLETE
25,25,0.8136177194421657,2025-01-08 11:11:17.654174,2025-01-08 11:11:22.566919,0 days 00:00:04.912745,4,3,2,20,35.0,,,,,,50.0,40.0,,,,,,,COMPLETE
26,26,0.7699364855328159,2025-01-08 11:11:22.567733,2025-01-08 11:11:28.987062,0 days 00:00:06.419329,5,5,3,20,35.0,,,,,,50.0,40.0,25.0,,,,,,COMPLETE
27,27,0.8007326007326008,2025-01-08 11:11:28.987847,2025-01-08 11:11:33.666258,0 days 00:00:04.678411,4,3,2,25,35.0,,,,,,45.0,40.0,,,,,,,COMPLETE
28,28,0.4778061224489796,2025-01-08 11:11:33.667003,2025-01-08 11:11:42.402248,0 days 00:00:08.735245,7,5,3,30,45.0,,,,,,40.0,50.0,40.0,15.0,15.0,,,,COMPLETE
29,29,0.8035714285714286,2025-01-08 11:11:42.403046,2025-01-08 11:11:47.121569,0 days 00:00:04.718523,4,3,2,15,25.0,,,,,,50.0,40.0,,,,,,,COMPLETE
30,30,0.6071829405162739,2025-01-08 11:11:47.122253,2025-01-08 11:11:56.735695,0 days 00:00:09.613442,8,5,3,20,45.0,,,,,,40.0,20.0,45.0,35.0,50.0,25.0,,,COMPLETE
31,31,0.8302353410450738,2025-01-08 11:11:56.736637,2025-01-08 11:11:59.383935,0 days 00:00:02.647298,2,3,2,15,30.0,,,,,,,,,,,,,,COMPLETE
32,32,0.8156622623267805,2025-01-08 11:11:59.384873,2025-01-08 11:12:02.948289,0 days 00:00:03.563416,3,3,2,15,30.0,,,,,,35.0,,,,,,,,COMPLETE
33,33,0.8302353410450738,2025-01-08 11:12:02.948929,2025-01-08 11:12:05.584989,0 days 00:00:02.636060,2,3,2,15,30.0,,,,,,,,,,,,,,COMPLETE
34,34,0.7516577345807975,2025-01-08 11:12:05.587491,2025-01-08 11:12:08.129922,0 days 00:00:02.542431,2,5,2,15,20.0,,,,,,,,,,,,,,COMPLETE
35,35,0.13734115347018572,2025-01-08 11:12:08.132120,2025-01-08 11:12:13.120650,0 days 00:00:04.988530,3,3,4,15,30.0,,,,,,30.0,,,,,,,,COMPLETE
36,36,0.3643835616438356,2025-01-08 11:12:13.121586,2025-01-08 11:12:15.596477,0 days 00:00:02.474891,2,7,2,10,25.0,,,,,,,,,,,,,,COMPLETE
37,37,0.6273477812177503,2025-01-08 11:12:15.598239,2025-01-08 11:12:24.023445,0 days 00:00:08.425206,6,3,5,15,20.0,,,,,,10.0,5.0,30.0,35.0,,,,,COMPLETE
38,38,0.0,2025-01-08 11:12:24.028547,2025-01-08 11:12:36.227826,0 days 00:00:12.199279,14,5,2,25,30.0,50.0,45.0,10.0,50.0,,20.0,20.0,15.0,15.0,40.0,50.0,30.0,50.0,COMPLETE
39,39,0.0,2025-01-08 11:12:36.228936,2025-01-08 11:12:49.264742,0 days 00:00:13.035806,12,3,4,10,10.0,5.0,30.0,,,,35.0,15.0,25.0,10.0,15.0,25.0,5.0,5.0,COMPLETE
40,40,0.1076923076923077,2025-01-08 11:12:49.265646,2025-01-08 11:12:55.892175,0 days 00:00:06.626529,6,9,3,25,30.0,,,,,,25.0,25.0,10.0,30.0,,,,,COMPLETE
41,41,0.8198051948051948,2025-01-08 11:12:55.893201,2025-01-08 11:12:59.357356,0 days 00:00:03.464155,3,3,2,20,35.0,,,,,,30.0,,,,,,,,COMPLETE
42,42,0.8071911196911197,2025-01-08 11:12:59.365730,2025-01-08 11:13:01.885500,0 days 00:00:02.519770,2,3,2,15,25.0,,,,,,,,,,,,,,COMPLETE
43,43,0.8198051948051948,2025-01-08 11:13:01.887825,2025-01-08 11:13:05.248217,0 days 00:00:03.360392,3,3,2,20,35.0,,,,,,30.0,,,,,,,,COMPLETE
44,44,0.26785714285714285,2025-01-08 11:13:05.256845,2025-01-08 11:13:10.339121,0 days 00:00:05.082276,5,7,2,20,40.0,,,,,,30.0,10.0,35.0,,,,,,COMPLETE
45,45,0.8414154652686763,2025-01-08 11:13:10.340166,2025-01-08 11:13:13.475123,0 days 00:00:03.134957,2,3,3,25,35.0,,,,,,,,,,,,,,COMPLETE
46,46,0.7977395411605938,2025-01-08 11:13:13.476049,2025-01-08 11:13:16.534333,0 days 00:00:03.058284,2,5,3,30,35.0,,,,,,,,,,,,,,COMPLETE
47,47,0.7826876513317191,2025-01-08 11:13:16.534985,2025-01-08 11:13:18.794862,0 days 00:00:02.259877,1,5,4,35,,,,,,,,,,,,,,,COMPLETE
48,48,0.815929203539823,2025-01-08 11:13:18.801009,2025-01-08 11:13:21.901161,0 days 00:00:03.100152,2,3,3,25,40.0,,,,,,,,,,,,,,COMPLETE
49,49,0.5225597931480285,2025-01-08 11:13:21.901974,2025-01-08 11:13:33.477190,0 days 00:00:11.575216,10,1,3,25,45.0,,,,,,20.0,45.0,20.0,20.0,10.0,35.0,30.0,35.0,COMPLETE
50,50,0.7545514730221781,2025-01-08 11:13:33.478086,2025-01-08 11:13:37.992278,0 days 00:00:04.514192,3,3,3,50,20.0,,,,,,10.0,,,,,,,,COMPLETE
51,51,0.8018018018018018,2025-01-08 11:13:37.993197,2025-01-08 11:13:41.330968,0 days 00:00:03.337771,3,3,2,20,30.0,,,,,,30.0,,,,,,,,COMPLETE
52,52,0.8068438003220613,2025-01-08 11:13:41.331626,2025-01-08 11:13:45.905683,0 days 00:00:04.574057,4,3,2,15,35.0,,,,,,25.0,25.0,,,,,,,COMPLETE
53,53,0.8113207547169812,2025-01-08 11:13:45.906339,2025-01-08 11:13:47.795393,0 days 00:00:01.889054,1,3,2,20,,,,,,,,,,,,,,,COMPLETE
54,54,0.7792574656981437,2025-01-08 11:13:47.798639,2025-01-08 11:13:50.593148,0 days 00:00:02.794509,2,1,3,20,30.0,,,,,,,,,,,,,,COMPLETE
55,55,0.8122171945701357,2025-01-08 11:13:50.596304,2025-01-08 11:13:53.704752,0 days 00:00:03.108448,3,3,1,30,35.0,,,,,,20.0,,,,,,,,COMPLETE
56,56,0.808832425892317,2025-01-08 11:13:53.705397,2025-01-08 11:13:55.859837,0 days 00:00:02.154440,1,5,4,10,,,,,,,,,,,,,,,COMPLETE
57,57,0.0,2025-01-08 11:13:55.861880,2025-01-08 11:14:00.011367,0 days 00:00:04.149487,4,1,2,15,25.0,,,,,,30.0,5.0,,,,,,,COMPLETE
58,58,0.7932266848196052,2025-01-08 11:14:00.012087,2025-01-08 11:14:05.351152,0 days 00:00:05.339065,5,3,1,45,40.0,,,,,,40.0,35.0,45.0,,,,,,COMPLETE
59,59,0.7817174973138277,2025-01-08 11:14:05.352427,2025-01-08 11:14:08.301520,0 days 00:00:02.949093,2,5,3,20,35.0,,,,,,,,,,,,,,COMPLETE
60,60,0.0,2025-01-08 11:14:08.302187,2025-01-08 11:14:12.256078,0 days 00:00:03.953891,3,3,2,25,40.0,,,,,,45.0,,,,,,,,COMPLETE
61,61,0.815929203539823,2025-01-08 11:14:12.257139,2025-01-08 11:14:15.463281,0 days 00:00:03.206142,2,3,3,25,40.0,,,,,,,,,,,,,,COMPLETE
62,62,0.809276566285912,2025-01-08 11:14:15.464246,2025-01-08 11:14:17.543115,0 days 00:00:02.078869,1,3,3,25,,,,,,,,,,,,,,,COMPLETE
63,63,0.8035087719298246,2025-01-08 11:14:17.547534,2025-01-08 11:14:20.500145,0 days 00:00:02.952611,2,3,3,20,35.0,,,,,,,,,,,,,,COMPLETE
64,64,0.7946264848919716,2025-01-08 11:14:20.500827,2025-01-08 11:14:24.725648,0 days 00:00:04.224821,3,3,3,30,30.0,,,,,,25.0,,,,,,,,COMPLETE
65,65,0.812125569134915,2025-01-08 11:14:24.726904,2025-01-08 11:14:26.504138,0 days 00:00:01.777234,1,1,2,25,,,,,,,,,,,,,,,COMPLETE
66,66,0.8014005602240897,2025-01-08 11:14:26.505316,2025-01-08 11:14:30.149710,0 days 00:00:03.644394,2,3,4,15,50.0,,,,,,,,,,,,,,COMPLETE
