,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.541156462585034,2025-01-08 12:19:43.628122,2025-01-08 12:19:53.939209,0 days 00:00:10.311087,12,7,5,50,20.0,30.0,35.0,,,,35.0,45.0,5.0,20.0,30.0,15.0,10.0,35.0,COMPLETE
1,1,0.04,2025-01-08 12:19:53.940934,2025-01-08 12:20:05.914827,0 days 00:00:11.973893,12,9,3,15,40.0,45.0,5.0,,,,40.0,45.0,50.0,35.0,10.0,5.0,20.0,45.0,COMPLETE
2,2,0.49402199904351984,2025-01-08 12:20:05.916348,2025-01-08 12:20:08.117692,0 days 00:00:02.201344,1,9,4,5,,,,,,,,,,,,,,,COMPLETE
3,3,0.0,2025-01-08 12:20:08.120219,2025-01-08 12:20:19.209323,0 days 00:00:11.089104,15,3,2,30,20.0,15.0,50.0,20.0,5.0,50.0,15.0,30.0,10.0,10.0,10.0,25.0,50.0,25.0,COMPLETE
4,4,0.0,2025-01-08 12:20:19.211000,2025-01-08 12:20:38.779219,0 days 00:00:19.568219,14,9,4,10,25.0,30.0,45.0,20.0,50.0,,10.0,30.0,25.0,25.0,40.0,30.0,45.0,40.0,COMPLETE
5,5,0.041666666666666664,2025-01-08 12:20:38.780586,2025-01-08 12:20:46.635157,0 days 00:00:07.854571,6,1,3,45,10.0,,,,,,45.0,40.0,15.0,35.0,,,,,COMPLETE
6,6,0.13523573200992556,2025-01-08 12:20:46.636671,2025-01-08 12:20:54.078067,0 days 00:00:07.441396,7,5,2,35,5.0,,,,,,20.0,20.0,50.0,25.0,35.0,,,,COMPLETE
7,7,0.14588859416445624,2025-01-08 12:20:54.079749,2025-01-08 12:21:04.814348,0 days 00:00:10.734599,12,9,2,10,20.0,15.0,35.0,,,,30.0,5.0,40.0,50.0,25.0,30.0,35.0,10.0,COMPLETE
8,8,0.0,2025-01-08 12:21:04.815478,2025-01-08 12:21:21.521297,0 days 00:00:16.705819,13,7,4,10,15.0,30.0,35.0,20.0,,,25.0,30.0,40.0,30.0,25.0,25.0,45.0,25.0,COMPLETE
9,9,0.0,2025-01-08 12:21:21.522662,2025-01-08 12:21:32.962218,0 days 00:00:11.439556,14,1,3,25,35.0,40.0,10.0,5.0,25.0,,10.0,50.0,40.0,15.0,10.0,10.0,30.0,20.0,COMPLETE
