,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.002017654861495394,2025-01-08 13:43:49.180789,2025-01-08 13:44:33.436326,0 days 00:00:44.255537,8,5,5,35,40.0,,,,,,30.0,5.0,25.0,35.0,50.0,45.0,,,COMPLETE
1,1,0.819960423829613,2025-01-08 13:44:33.437214,2025-01-08 13:44:39.928675,0 days 00:00:06.491461,1,1,2,15,,,,,,,,,,,,,,,COMPLETE
2,2,0.7784785043423343,2025-01-08 13:44:39.929971,2025-01-08 13:45:22.417184,0 days 00:00:42.487213,8,5,3,30,40.0,,,,,,35.0,10.0,30.0,50.0,45.0,40.0,,,COMPLETE
3,3,0.30559963057631395,2025-01-08 13:45:22.417991,2025-01-08 13:45:43.460844,0 days 00:00:21.042853,4,9,5,10,50.0,,,,,,35.0,20.0,,,,,,,COMPLETE
4,4,0.569223389675651,2025-01-08 13:45:43.462135,2025-01-08 13:45:57.163266,0 days 00:00:13.701131,1,5,4,40,,,,,,,,,,,,,,,COMPLETE
5,5,0.8222570786649137,2025-01-08 13:45:57.164530,2025-01-08 13:46:27.523083,0 days 00:00:30.358553,6,7,3,45,15.0,,,,,,20.0,45.0,5.0,10.0,,,,,COMPLETE
6,6,0.6667809338745708,2025-01-08 13:46:27.524923,2025-01-08 13:46:53.703413,0 days 00:00:26.178490,5,1,5,50,5.0,,,,,,20.0,10.0,25.0,,,,,,COMPLETE
7,7,0.3558597091531223,2025-01-08 13:46:53.705072,2025-01-08 13:47:33.318778,0 days 00:00:39.613706,10,5,2,25,30.0,,,,,,25.0,15.0,30.0,5.0,35.0,40.0,25.0,50.0,COMPLETE
8,8,0.0,2025-01-08 13:47:33.319693,2025-01-08 13:48:24.141448,0 days 00:00:50.821755,14,3,2,30,20.0,10.0,30.0,10.0,15.0,,45.0,35.0,15.0,45.0,5.0,20.0,30.0,35.0,COMPLETE
9,9,0.8094215849045963,2025-01-08 13:48:24.142418,2025-01-08 13:48:42.720581,0 days 00:00:18.578163,5,7,1,30,30.0,,,,,,30.0,35.0,5.0,,,,,,COMPLETE
