,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.8751665614699489,2025-01-08 16:41:03.011520,2025-01-08 16:41:12.435756,0 days 00:00:09.424236,8,5,2,30,10.0,,,,,,35.0,30.0,40.0,25.0,30.0,35.0,,,COMPLETE
1,1,0.5080991258266148,2025-01-08 16:41:12.436917,2025-01-08 16:41:19.857025,0 days 00:00:07.420108,13,3,3,5,50.0,45.0,10.0,15.0,,,15.0,15.0,30.0,35.0,5.0,10.0,40.0,30.0,COMPLETE
2,2,0.9581991051454138,2025-01-08 16:41:19.858654,2025-01-08 16:41:23.328413,0 days 00:00:03.469759,2,9,2,35,10.0,,,,,,,,,,,,,,COMPLETE
3,3,0.9149931141847794,2025-01-08 16:41:23.332969,2025-01-08 16:41:29.973426,0 days 00:00:06.640457,5,5,1,40,40.0,,,,,,50.0,30.0,15.0,,,,,,COMPLETE
4,4,0.39940994448320843,2025-01-08 16:41:29.975058,2025-01-08 16:41:37.494571,0 days 00:00:07.519513,3,9,5,40,30.0,,,,,,30.0,,,,,,,,COMPLETE
5,5,0.9447811447811447,2025-01-08 16:41:37.496033,2025-01-08 16:41:44.098867,0 days 00:00:06.602834,3,7,4,45,25.0,,,,,,35.0,,,,,,,,COMPLETE
6,6,0.9510614398043482,2025-01-08 16:41:44.100504,2025-01-08 16:41:46.904058,0 days 00:00:02.803554,2,9,2,5,45.0,,,,,,,,,,,,,,COMPLETE
7,7,0.5223118772541109,2025-01-08 16:41:46.904774,2025-01-08 16:41:54.945124,0 days 00:00:08.040350,4,7,5,50,10.0,,,,,,30.0,35.0,,,,,,,COMPLETE
8,8,0.6469045433411619,2025-01-08 16:41:54.946681,2025-01-08 16:42:05.862958,0 days 00:00:10.916277,8,1,3,35,30.0,,,,,,10.0,35.0,45.0,5.0,35.0,25.0,,,COMPLETE
9,9,0.9585365249894795,2025-01-08 16:42:05.864395,2025-01-08 16:42:08.209663,0 days 00:00:02.345268,1,9,1,30,,,,,,,,,,,,,,,COMPLETE
