,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.0,2025-01-01 04:40:59.550044,2025-01-01 04:41:19.993639,0 days 00:00:20.443595,18,135,95.0,110.0,85.0,5.0,45.0,135.0,175.0,35.0,35.0,,,45.0,130.0,135.0,175.0,35.0,170.0,60.0,100.0,5,4.0,3.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,,,2.0,6.0,3.0,6.0,3.0,6.0,6.0,5.0,COMPLETE
1,1,0.0,2025-01-01 04:41:20.011248,2025-01-01 04:41:34.476410,0 days 00:00:14.465162,16,55,115.0,175.0,10.0,115.0,15.0,195.0,145.0,,,,,175.0,20.0,95.0,45.0,110.0,120.0,105.0,20.0,4,6.0,2.0,2.0,3.0,6.0,5.0,3.0,,,,,2.0,2.0,4.0,4.0,3.0,6.0,3.0,3.0,COMPLETE
2,2,0.0,2025-01-01 04:41:34.477686,2025-01-01 04:42:02.478192,0 days 00:00:28.000506,20,170,25.0,175.0,60.0,75.0,165.0,105.0,125.0,130.0,195.0,115.0,175.0,105.0,50.0,40.0,195.0,100.0,15.0,20.0,100.0,4,2.0,3.0,5.0,2.0,4.0,6.0,5.0,6.0,3.0,6.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,6.0,COMPLETE
3,3,0.0,2025-01-01 04:42:02.479922,2025-01-01 04:42:18.836543,0 days 00:00:16.356621,12,115,70.0,20.0,175.0,,,,,,,,,175.0,160.0,105.0,160.0,105.0,185.0,45.0,65.0,2,6.0,5.0,4.0,,,,,,,,,2.0,6.0,3.0,2.0,3.0,5.0,4.0,3.0,COMPLETE
4,4,0.0,2025-01-01 04:42:18.837389,2025-01-01 04:42:37.524411,0 days 00:00:18.687022,13,180,145.0,115.0,75.0,140.0,,,,,,,,110.0,70.0,135.0,45.0,30.0,145.0,185.0,120.0,3,3.0,2.0,5.0,6.0,,,,,,,,5.0,2.0,6.0,2.0,2.0,4.0,5.0,6.0,COMPLETE
5,5,0.0,2025-01-01 04:42:37.525318,2025-01-01 04:43:06.346756,0 days 00:00:28.821438,20,160,165.0,145.0,110.0,120.0,110.0,185.0,5.0,15.0,10.0,135.0,130.0,170.0,200.0,25.0,10.0,25.0,130.0,15.0,55.0,3,6.0,6.0,6.0,4.0,5.0,5.0,3.0,3.0,2.0,6.0,4.0,3.0,5.0,6.0,5.0,6.0,2.0,3.0,2.0,COMPLETE
6,6,0.0,2025-01-01 04:43:06.347831,2025-01-01 04:43:21.413137,0 days 00:00:15.065306,13,135,200.0,135.0,20.0,105.0,,,,,,,,165.0,85.0,100.0,195.0,35.0,130.0,55.0,65.0,2,4.0,2.0,4.0,5.0,,,,,,,,5.0,5.0,3.0,3.0,2.0,4.0,2.0,6.0,COMPLETE
7,7,0.0,2025-01-01 04:43:21.414140,2025-01-01 04:43:34.414334,0 days 00:00:13.000194,12,170,140.0,75.0,160.0,,,,,,,,,85.0,130.0,180.0,55.0,55.0,85.0,90.0,95.0,2,2.0,6.0,3.0,,,,,,,,,3.0,3.0,4.0,4.0,3.0,4.0,4.0,6.0,COMPLETE
8,8,0.3859736115902035,2025-01-01 04:43:34.415202,2025-01-01 04:43:36.716587,0 days 00:00:02.301385,1,70,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
9,9,0.0,2025-01-01 04:43:36.716900,2025-01-01 04:43:52.703274,0 days 00:00:15.986374,17,70,70.0,60.0,135.0,65.0,40.0,170.0,175.0,155.0,,,,65.0,110.0,25.0,125.0,10.0,115.0,165.0,35.0,5,2.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,,,,3.0,3.0,6.0,4.0,3.0,6.0,2.0,4.0,COMPLETE
10,10,0.8418972526391713,2025-01-01 04:43:52.704001,2025-01-01 04:43:56.114863,0 days 00:00:03.410862,1,5,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.782325338894682,2025-01-01 04:43:56.115184,2025-01-01 04:43:58.710577,0 days 00:00:02.595393,1,5,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8211135057471264,2025-01-01 04:43:58.710901,2025-01-01 04:44:02.337069,0 days 00:00:03.626168,1,15,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.0,2025-01-01 04:44:02.337378,2025-01-01 04:44:12.260479,0 days 00:00:09.923101,6,5,15.0,,,,,,,,,,,5.0,5.0,200.0,100.0,,,,,6,5.0,,,,,,,,,,,6.0,4.0,5.0,6.0,,,,,COMPLETE
14,14,0.0,2025-01-01 04:44:12.261051,2025-01-01 04:44:19.730241,0 days 00:00:07.469190,5,35,195.0,,,,,,,,,,,135.0,200.0,60.0,,,,,,6,3.0,,,,,,,,,,,6.0,3.0,2.0,,,,,,COMPLETE
15,15,0.8068899782135077,2025-01-01 04:44:19.730677,2025-01-01 04:44:41.295626,0 days 00:00:21.564949,5,30,60.0,,,,,,,,,,,10.0,40.0,155.0,,,,,,5,5.0,,,,,,,,,,,4.0,5.0,5.0,,,,,,COMPLETE
16,16,0.0,2025-01-01 04:44:41.296055,2025-01-01 04:44:51.281865,0 days 00:00:09.985810,7,35,40.0,,,,,,,,,,,200.0,160.0,5.0,110.0,195.0,,,,6,3.0,,,,,,,,,,,5.0,4.0,5.0,3.0,6.0,,,,COMPLETE
17,17,0.8053668951567592,2025-01-01 04:44:51.282340,2025-01-01 04:45:12.210746,0 days 00:00:20.928406,3,85,105.0,,,,,,,,,,,40.0,,,,,,,,5,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
18,18,0.0,2025-01-01 04:45:12.211239,2025-01-01 04:45:22.073891,0 days 00:00:09.862652,8,5,155.0,,,,,,,,,,,140.0,165.0,75.0,140.0,190.0,60.0,,,6,4.0,,,,,,,,,,,4.0,2.0,4.0,5.0,5.0,2.0,,,COMPLETE
19,19,0.8078390830430385,2025-01-01 04:45:22.074416,2025-01-01 04:46:10.985125,0 days 00:00:48.910709,3,200,180.0,,,,,,,,,,,80.0,,,,,,,,5,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
20,20,0.0,2025-01-01 04:46:10.985645,2025-01-01 04:46:22.414462,0 days 00:00:11.428817,9,25,125.0,,,,,,,,,,,135.0,90.0,165.0,90.0,150.0,20.0,140.0,,4,3.0,,,,,,,,,,,5.0,6.0,2.0,3.0,5.0,3.0,6.0,,COMPLETE
21,21,0.8174046902103311,2025-01-01 04:46:22.414993,2025-01-01 04:46:57.432794,0 days 00:00:35.017801,3,55,175.0,,,,,,,,,,,75.0,,,,,,,,5,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
22,22,0.8056092366326645,2025-01-01 04:46:57.433315,2025-01-01 04:47:31.535430,0 days 00:00:34.102115,3,50,175.0,,,,,,,,,,,30.0,,,,,,,,6,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
23,23,0.7881899475794018,2025-01-01 04:47:31.535828,2025-01-01 04:47:35.012282,0 days 00:00:03.476454,1,20,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.7959956904830501,2025-01-01 04:47:35.012732,2025-01-01 04:48:04.521697,0 days 00:00:29.508965,4,50,95.0,,,,,,,,,,,65.0,55.0,,,,,,,6,6.0,,,,,,,,,,,5.0,5.0,,,,,,,COMPLETE
25,25,0.7825706351122917,2025-01-01 04:48:04.522450,2025-01-01 04:48:16.955393,0 days 00:00:12.432943,2,100,130.0,,,,,,,,,,,,,,,,,,,5,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.0,2025-01-01 04:48:16.955754,2025-01-01 04:48:25.709174,0 days 00:00:08.753420,5,15,185.0,,,,,,,,,,,120.0,120.0,125.0,,,,,,6,4.0,,,,,,,,,,,6.0,3.0,5.0,,,,,,COMPLETE
27,27,0.0,2025-01-01 04:48:25.709607,2025-01-01 04:48:34.312575,0 days 00:00:08.602968,10,65,160.0,,,,,,,,,,,90.0,30.0,75.0,15.0,75.0,55.0,200.0,195.0,4,6.0,,,,,,,,,,,3.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,COMPLETE
28,28,0.8078242778749322,2025-01-01 04:48:34.313226,2025-01-01 04:48:44.873634,0 days 00:00:10.560408,2,40,85.0,,,,,,,,,,,,,,,,,,,5,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
29,29,0.0,2025-01-01 04:48:44.874012,2025-01-01 04:48:54.068156,0 days 00:00:09.194144,7,85,40.0,,,,,,,,,,,60.0,175.0,185.0,70.0,155.0,,,,6,4.0,,,,,,,,,,,4.0,4.0,2.0,6.0,4.0,,,,COMPLETE
30,30,0.8008162873331413,2025-01-01 04:48:54.068635,2025-01-01 04:49:18.625942,0 days 00:00:24.557307,4,20,140.0,,,,,,,,,,,20.0,145.0,,,,,,,5,3.0,,,,,,,,,,,5.0,6.0,,,,,,,COMPLETE
31,31,0.8014705882352942,2025-01-01 04:49:18.626362,2025-01-01 04:50:01.826256,0 days 00:00:43.199894,3,150,175.0,,,,,,,,,,,85.0,,,,,,,,5,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
32,32,0.8136381959063017,2025-01-01 04:50:01.826788,2025-01-01 04:50:26.230513,0 days 00:00:24.403725,2,190,185.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.608580956647255,2025-01-01 04:50:26.231009,2025-01-01 04:50:28.594896,0 days 00:00:02.363887,1,125,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8196326407708521,2025-01-01 04:50:28.595201,2025-01-01 04:50:47.465497,0 days 00:00:18.870296,2,200,200.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
35,35,0.0,2025-01-01 04:50:47.465857,2025-01-01 04:50:56.241738,0 days 00:00:08.775881,4,105,200.0,,,,,,,,,,,200.0,95.0,,,,,,,3,4.0,,,,,,,,,,,5.0,3.0,,,,,,,COMPLETE
36,36,0.8033608472764819,2025-01-01 04:50:56.242138,2025-01-01 04:51:05.452640,0 days 00:00:09.210502,2,45,110.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
37,37,0.0,2025-01-01 04:51:05.453132,2025-01-01 04:51:24.818305,0 days 00:00:19.365173,15,15,165.0,5.0,200.0,195.0,200.0,10.0,,,,,,120.0,70.0,55.0,155.0,145.0,200.0,125.0,195.0,3,6.0,4.0,6.0,2.0,3.0,2.0,,,,,,4.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,COMPLETE
38,38,0.0,2025-01-01 04:51:24.819283,2025-01-01 04:51:35.035847,0 days 00:00:10.216564,6,60,125.0,,,,,,,,,,,50.0,185.0,155.0,80.0,,,,,4,4.0,,,,,,,,,,,3.0,4.0,6.0,5.0,,,,,COMPLETE
39,39,0.8125854993160054,2025-01-01 04:51:35.036605,2025-01-01 04:51:38.268639,0 days 00:00:03.232034,1,85,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
40,40,0.0,2025-01-01 04:51:38.268947,2025-01-01 04:52:08.008783,0 days 00:00:29.739836,19,135,155.0,195.0,40.0,200.0,105.0,20.0,45.0,200.0,170.0,5.0,,150.0,5.0,10.0,120.0,75.0,90.0,160.0,155.0,2,2.0,5.0,3.0,4.0,6.0,2.0,6.0,6.0,6.0,2.0,,6.0,2.0,3.0,3.0,6.0,5.0,2.0,5.0,COMPLETE
41,41,0.7972839995079818,2025-01-01 04:52:08.009672,2025-01-01 04:52:32.107389,0 days 00:00:24.097717,2,190,190.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
42,42,0.8068096697310181,2025-01-01 04:52:32.107769,2025-01-01 04:52:55.082552,0 days 00:00:22.974783,2,180,175.0,,,,,,,,,,,,,,,,,,,3,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
43,43,0.7996612234364966,2025-01-01 04:52:55.083024,2025-01-01 04:53:30.187972,0 days 00:00:35.104948,3,200,150.0,,,,,,,,,,,40.0,,,,,,,,4,6.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
44,44,0.8198262026558218,2025-01-01 04:53:30.188362,2025-01-01 04:53:32.743408,0 days 00:00:02.555046,1,175,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
45,45,0.7382007150465051,2025-01-01 04:53:32.743881,2025-01-01 04:53:34.540940,0 days 00:00:01.797059,1,160,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
46,46,0.799284398034398,2025-01-01 04:53:34.541248,2025-01-01 04:54:01.636338,0 days 00:00:27.095090,4,170,5.0,,,,,,,,,,,95.0,140.0,,,,,,,6,3.0,,,,,,,,,,,4.0,6.0,,,,,,,COMPLETE
47,47,0.8190680814990208,2025-01-01 04:54:01.636761,2025-01-01 04:54:04.836307,0 days 00:00:03.199546,1,150,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
48,48,0.3811659192825112,2025-01-01 04:54:04.836628,2025-01-01 04:54:07.090007,0 days 00:00:02.253379,1,150,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,COMPLETE
49,49,0.0,2025-01-01 04:54:07.090324,2025-01-01 04:54:18.787464,0 days 00:00:11.697140,14,180,90.0,45.0,115.0,10.0,140.0,,,,,,,155.0,75.0,120.0,20.0,175.0,50.0,85.0,5.0,6,2.0,4.0,3.0,3.0,4.0,,,,,,,2.0,3.0,5.0,6.0,2.0,2.0,6.0,3.0,COMPLETE
50,50,0.0,2025-01-01 04:54:18.788091,2025-01-01 04:54:25.732881,0 days 00:00:06.944790,6,165,75.0,,,,,,,,,,,110.0,110.0,200.0,35.0,,,,,5,3.0,,,,,,,,,,,2.0,6.0,4.0,2.0,,,,,COMPLETE
51,51,0.7888215682833934,2025-01-01 04:54:25.733437,2025-01-01 04:54:28.924616,0 days 00:00:03.191179,1,190,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
52,52,0.7985829148413293,2025-01-01 04:54:28.924931,2025-01-01 04:54:49.630380,0 days 00:00:20.705449,3,10,135.0,,,,,,,,,,,75.0,,,,,,,,4,4.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
53,53,0.79936004784689,2025-01-01 04:54:49.630789,2025-01-01 04:55:15.705517,0 days 00:00:26.074728,2,150,200.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
54,54,0.0,2025-01-01 04:55:15.706004,2025-01-01 04:55:23.727026,0 days 00:00:08.021022,5,180,115.0,,,,,,,,,,,185.0,145.0,85.0,,,,,,6,2.0,,,,,,,,,,,6.0,5.0,2.0,,,,,,COMPLETE
55,55,0.6931314830389683,2025-01-01 04:55:23.727456,2025-01-01 04:55:26.737278,0 days 00:00:03.009822,1,30,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
56,56,0.803869407496977,2025-01-01 04:55:26.737606,2025-01-01 04:55:43.465909,0 days 00:00:16.728303,3,140,50.0,,,,,,,,,,,100.0,,,,,,,,6,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
57,57,0.0,2025-01-01 04:55:43.466316,2025-01-01 04:55:58.548164,0 days 00:00:15.081848,12,75,145.0,80.0,150.0,,,,,,,,,25.0,25.0,50.0,170.0,135.0,160.0,5.0,145.0,4,4.0,5.0,2.0,,,,,,,,,3.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,COMPLETE
58,58,0.7914100271541162,2025-01-01 04:55:58.548782,2025-01-01 04:56:19.932309,0 days 00:00:21.383527,4,5,165.0,,,,,,,,,,,125.0,50.0,,,,,,,5,5.0,,,,,,,,,,,4.0,2.0,,,,,,,COMPLETE
59,59,0.8014586467961119,2025-01-01 04:56:19.932845,2025-01-01 04:56:41.202453,0 days 00:00:21.269608,2,110,190.0,,,,,,,,,,,,,,,,,,,6,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
60,60,0.0,2025-01-01 04:56:41.202843,2025-01-01 04:56:49.693361,0 days 00:00:08.490518,5,120,120.0,,,,,,,,,,,55.0,185.0,115.0,,,,,,5,5.0,,,,,,,,,,,6.0,6.0,3.0,,,,,,COMPLETE
61,61,0.8070703373456383,2025-01-01 04:56:49.693813,2025-01-01 04:57:13.948221,0 days 00:00:24.254408,2,190,185.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
62,62,0.7372265253431173,2025-01-01 04:57:13.948731,2025-01-01 04:57:16.198807,0 days 00:00:02.250076,1,185,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
63,63,0.8145318536336468,2025-01-01 04:57:16.199121,2025-01-01 04:57:42.317291,0 days 00:00:26.118170,3,195,170.0,,,,,,,,,,,185.0,,,,,,,,4,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
64,64,0.7957932813075661,2025-01-01 04:57:42.317683,2025-01-01 04:58:08.745951,0 days 00:00:26.428268,3,200,170.0,,,,,,,,,,,190.0,,,,,,,,4,4.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
65,65,0.7987177171753657,2025-01-01 04:58:08.746467,2025-01-01 04:58:39.060938,0 days 00:00:30.314471,4,175,195.0,,,,,,,,,,,160.0,15.0,,,,,,,3,4.0,,,,,,,,,,,2.0,4.0,,,,,,,COMPLETE
66,66,0.8093238179445076,2025-01-01 04:58:39.061472,2025-01-01 04:58:53.587702,0 days 00:00:14.526230,3,25,160.0,,,,,,,,,,,175.0,,,,,,,,6,3.0,,,,,,,,,,,3.0,,,,,,,,COMPLETE
67,67,0.0,2025-01-01 04:58:53.588096,2025-01-01 04:59:04.930179,0 days 00:00:11.342083,11,160,150.0,35.0,,,,,,,,,,145.0,60.0,145.0,65.0,125.0,5.0,115.0,165.0,3,4.0,3.0,,,,,,,,,,2.0,5.0,5.0,3.0,4.0,3.0,5.0,2.0,COMPLETE
68,68,0.7130470919360018,2025-01-01 04:59:04.930735,2025-01-01 04:59:08.178448,0 days 00:00:03.247713,1,195,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
69,69,0.8104300774325963,2025-01-01 04:59:08.178795,2025-01-01 04:59:17.011706,0 days 00:00:08.832911,2,40,100.0,,,,,,,,,,,,,,,,,,,2,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
70,70,0.8002318824806286,2025-01-01 04:59:17.012617,2025-01-01 04:59:51.911316,0 days 00:00:34.898699,3,175,180.0,,,,,,,,,,,70.0,,,,,,,,4,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
71,71,0.8169235599186153,2025-01-01 04:59:51.911851,2025-01-01 05:00:16.520266,0 days 00:00:24.608415,2,195,190.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
72,72,0.0,2025-01-01 05:00:16.520619,2025-01-01 05:00:40.484117,0 days 00:00:23.963498,17,195,195.0,145.0,195.0,160.0,60.0,60.0,80.0,75.0,,,,165.0,40.0,180.0,140.0,70.0,35.0,75.0,130.0,4,5.0,4.0,6.0,3.0,3.0,3.0,6.0,4.0,,,,3.0,2.0,3.0,4.0,6.0,2.0,3.0,4.0,COMPLETE
73,73,0.8107928601079286,2025-01-01 05:00:40.484972,2025-01-01 05:01:04.105158,0 days 00:00:23.620186,2,185,170.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
74,74,0.8001042882030462,2025-01-01 05:01:04.105533,2025-01-01 05:01:06.627233,0 days 00:00:02.521700,1,200,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
75,75,0.7910227135376343,2025-01-01 05:01:06.627983,2025-01-01 05:01:30.679627,0 days 00:00:24.051644,4,15,180.0,,,,,,,,,,,105.0,100.0,,,,,,,4,4.0,,,,,,,,,,,4.0,3.0,,,,,,,COMPLETE
76,76,0.0,2025-01-01 05:01:30.680052,2025-01-01 05:01:45.582314,0 days 00:00:14.902262,8,170,200.0,,,,,,,,,,,180.0,130.0,30.0,30.0,165.0,80.0,,,6,6.0,,,,,,,,,,,3.0,6.0,4.0,6.0,2.0,4.0,,,COMPLETE
77,77,0.6900158176066324,2025-01-01 05:01:45.582840,2025-01-01 05:01:47.861869,0 days 00:00:02.279029,1,95,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
78,78,0.8205299026801228,2025-01-01 05:01:47.862190,2025-01-01 05:02:12.516338,0 days 00:00:24.654148,2,195,190.0,,,,,,,,,,,,,,,,,,,4,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
79,79,0.8097998241535886,2025-01-01 05:02:12.517171,2025-01-01 05:02:36.582021,0 days 00:00:24.064850,2,185,190.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
80,80,0.7828431669461948,2025-01-01 05:02:36.582383,2025-01-01 05:02:38.921448,0 days 00:00:02.339065,1,50,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
