,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_10,params_orders_layer_11,params_orders_layer_12,params_orders_layer_13,params_orders_layer_14,params_orders_layer_15,params_orders_layer_16,params_orders_layer_17,params_orders_layer_18,params_orders_layer_19,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.8765123070504798,2025-01-01 08:21:43.659264,2025-01-01 08:21:48.887990,0 days 00:00:05.228726,2,35,170.0,,,,,,,,,,,,,,,,,,,3,6.0,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.0,2025-01-01 08:21:48.888454,2025-01-01 08:21:50.481052,0 days 00:00:01.592598,4,15,25.0,,,,,,,,,,,150.0,175.0,,,,,,,2,2.0,,,,,,,,,,,2.0,2.0,,,,,,,COMPLETE
2,2,0.76759410801964,2025-01-01 08:21:50.481429,2025-01-01 08:21:55.611348,0 days 00:00:05.129919,3,65,45.0,,,,,,,,,,,150.0,,,,,,,,5,4.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
3,3,0.0,2025-01-01 08:21:55.611720,2025-01-01 08:21:59.970562,0 days 00:00:04.358842,10,105,110.0,,,,,,,,,,,35.0,140.0,50.0,70.0,145.0,105.0,140.0,150.0,2,2.0,,,,,,,,,,,5.0,4.0,2.0,4.0,2.0,5.0,6.0,2.0,COMPLETE
4,4,0.0,2025-01-01 08:21:59.971137,2025-01-01 08:22:05.213637,0 days 00:00:05.242500,13,15,65.0,5.0,165.0,15.0,,,,,,,,30.0,135.0,155.0,115.0,150.0,190.0,105.0,85.0,3,6.0,3.0,2.0,4.0,,,,,,,,4.0,2.0,3.0,6.0,5.0,6.0,6.0,2.0,COMPLETE
5,5,0.0,2025-01-01 08:22:05.214249,2025-01-01 08:22:07.111017,0 days 00:00:01.896768,6,145,60.0,,,,,,,,,,,105.0,140.0,185.0,70.0,,,,,6,4.0,,,,,,,,,,,2.0,5.0,2.0,2.0,,,,,COMPLETE
6,6,0.0,2025-01-01 08:22:07.111458,2025-01-01 08:22:09.178138,0 days 00:00:02.066680,7,180,45.0,,,,,,,,,,,115.0,20.0,200.0,170.0,50.0,,,,2,3.0,,,,,,,,,,,3.0,6.0,2.0,2.0,4.0,,,,COMPLETE
7,7,0.0,2025-01-01 08:22:09.178605,2025-01-01 08:22:16.516203,0 days 00:00:07.337598,14,105,125.0,120.0,100.0,170.0,185.0,,,,,,,75.0,25.0,110.0,10.0,150.0,105.0,180.0,180.0,2,5.0,3.0,2.0,6.0,6.0,,,,,,,5.0,5.0,5.0,2.0,4.0,5.0,6.0,4.0,COMPLETE
8,8,0.0,2025-01-01 08:22:16.516890,2025-01-01 08:22:19.511033,0 days 00:00:02.994143,8,100,15.0,,,,,,,,,,,100.0,5.0,45.0,15.0,105.0,10.0,,,2,5.0,,,,,,,,,,,5.0,6.0,5.0,5.0,3.0,2.0,,,COMPLETE
9,9,0.0,2025-01-01 08:22:19.511537,2025-01-01 08:22:23.628558,0 days 00:00:04.117021,11,135,190.0,130.0,,,,,,,,,,95.0,85.0,65.0,160.0,60.0,165.0,50.0,120.0,3,3.0,4.0,,,,,,,,,,4.0,5.0,6.0,3.0,3.0,3.0,6.0,6.0,COMPLETE
10,10,0.0,2025-01-01 08:22:23.629125,2025-01-01 08:22:37.841979,0 days 00:00:14.212854,18,50,180.0,200.0,5.0,55.0,25.0,5.0,65.0,5.0,10.0,,,200.0,200.0,115.0,200.0,200.0,10.0,15.0,15.0,4,6.0,6.0,6.0,2.0,2.0,5.0,3.0,3.0,6.0,,,6.0,3.0,4.0,6.0,6.0,2.0,2.0,6.0,COMPLETE
11,11,0.7584541062801933,2025-01-01 08:22:37.842748,2025-01-01 08:22:40.660720,0 days 00:00:02.817972,1,60,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.7551362683438155,2025-01-01 08:22:40.661048,2025-01-01 08:22:43.837227,0 days 00:00:03.176179,1,50,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
