,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.8663272836770759,2025-01-02 21:27:39.139181,2025-01-02 21:29:23.248007,0 days 00:01:44.108826,10,65,30.0,25.0,25.0,80.0,85.0,75.0,90.0,10.0,40.0,6,3.0,2.0,3.0,6.0,2.0,5.0,5.0,3.0,2.0,COMPLETE
1,1,0.8692224561621227,2025-01-02 21:29:23.249069,2025-01-02 21:31:05.784559,0 days 00:01:42.535490,9,50,70.0,15.0,65.0,95.0,35.0,25.0,20.0,95.0,,2,2.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,,COMPLETE
2,2,0.8686471256632748,2025-01-02 21:31:05.785578,2025-01-02 21:31:43.367044,0 days 00:00:37.581466,3,10,90.0,40.0,,,,,,,,2,4.0,5.0,,,,,,,,COMPLETE
3,3,0.7951169668495726,2025-01-02 21:31:43.367725,2025-01-02 21:32:14.928940,0 days 00:00:31.561215,3,70,90.0,5.0,,,,,,,,3,2.0,3.0,,,,,,,,COMPLETE
4,4,0.8678952636101058,2025-01-02 21:32:14.929538,2025-01-02 21:33:48.064057,0 days 00:01:33.134519,8,45,20.0,70.0,95.0,60.0,15.0,45.0,45.0,,,5,4.0,2.0,5.0,4.0,3.0,5.0,5.0,,,COMPLETE
5,5,0.8651249039838846,2025-01-02 21:33:48.065034,2025-01-02 21:34:34.732483,0 days 00:00:46.667449,6,25,10.0,50.0,70.0,60.0,55.0,,,,,2,6.0,4.0,5.0,5.0,3.0,,,,,COMPLETE
6,6,0.8610962346567097,2025-01-02 21:34:34.733420,2025-01-02 21:34:51.085623,0 days 00:00:16.352203,1,45,,,,,,,,,,6,,,,,,,,,,COMPLETE
7,7,0.8616160940778426,2025-01-02 21:34:51.086182,2025-01-02 21:36:05.217893,0 days 00:01:14.131711,6,55,100.0,20.0,40.0,95.0,5.0,,,,,4,5.0,4.0,4.0,3.0,3.0,,,,,COMPLETE
8,8,0.8808751718442127,2025-01-02 21:36:05.218843,2025-01-02 21:37:17.910366,0 days 00:01:12.691523,6,20,35.0,10.0,100.0,10.0,45.0,,,,,4,4.0,5.0,5.0,6.0,5.0,,,,,COMPLETE
9,9,0.850627099964907,2025-01-02 21:37:17.911134,2025-01-02 21:37:51.700387,0 days 00:00:33.789253,3,30,5.0,70.0,,,,,,,,2,3.0,6.0,,,,,,,,COMPLETE
10,10,0.8562651053459878,2025-01-02 21:37:51.700914,2025-01-02 21:39:50.933307,0 days 00:01:59.232393,7,100,45.0,90.0,100.0,5.0,65.0,100.0,,,,4,6.0,6.0,6.0,6.0,6.0,2.0,,,,COMPLETE
11,11,0.8672519128153544,2025-01-02 21:39:50.934148,2025-01-02 21:41:37.206160,0 days 00:01:46.272012,10,5,65.0,5.0,65.0,15.0,35.0,5.0,5.0,100.0,100.0,3,2.0,3.0,2.0,2.0,5.0,6.0,2.0,6.0,6.0,COMPLETE
12,12,0.8494440743999598,2025-01-02 21:41:37.207060,2025-01-02 21:43:02.345340,0 days 00:01:25.138280,8,85,60.0,30.0,80.0,30.0,35.0,20.0,10.0,,,3,3.0,5.0,3.0,4.0,5.0,2.0,6.0,,,COMPLETE
13,13,0.8771566207106326,2025-01-02 21:43:02.346264,2025-01-02 21:44:33.062244,0 days 00:01:30.715980,9,25,45.0,15.0,5.0,35.0,35.0,40.0,35.0,100.0,,5,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,,COMPLETE
14,14,0.8160818647093052,2025-01-02 21:44:33.063121,2025-01-02 21:45:27.065679,0 days 00:00:54.002558,5,25,40.0,40.0,5.0,35.0,,,,,,5,5.0,5.0,5.0,5.0,,,,,,COMPLETE
15,15,0.8700395638537226,2025-01-02 21:45:27.066306,2025-01-02 21:46:14.885833,0 days 00:00:47.819527,5,15,35.0,5.0,5.0,30.0,,,,,,5,5.0,5.0,4.0,5.0,,,,,,COMPLETE
16,16,0.8588054333177393,2025-01-02 21:46:14.886658,2025-01-02 21:48:02.993936,0 days 00:01:48.107278,8,35,50.0,65.0,45.0,45.0,70.0,55.0,60.0,,,4,5.0,4.0,6.0,6.0,6.0,3.0,2.0,,,COMPLETE
17,17,0.8732530943293306,2025-01-02 21:48:02.994859,2025-01-02 21:48:53.389437,0 days 00:00:50.394578,4,20,20.0,35.0,25.0,,,,,,,5,4.0,6.0,5.0,,,,,,,COMPLETE
18,18,0.8625433228180275,2025-01-02 21:48:53.390175,2025-01-02 21:50:39.746366,0 days 00:01:46.356191,7,35,75.0,100.0,85.0,15.0,30.0,55.0,,,,6,6.0,5.0,4.0,5.0,4.0,4.0,,,,COMPLETE
19,19,0.8683779657149515,2025-01-02 21:50:39.747221,2025-01-02 21:52:04.507255,0 days 00:01:24.760034,9,5,55.0,15.0,25.0,5.0,50.0,80.0,45.0,55.0,,5,5.0,5.0,4.0,6.0,4.0,3.0,3.0,4.0,,COMPLETE
20,20,0.8373262270560873,2025-01-02 21:52:04.508165,2025-01-02 21:52:18.706074,0 days 00:00:14.197909,1,15,,,,,,,,,,4,,,,,,,,,,COMPLETE
21,21,0.8628592299115359,2025-01-02 21:52:18.706588,2025-01-02 21:53:08.705941,0 days 00:00:49.999353,4,20,25.0,35.0,20.0,,,,,,,5,4.0,6.0,5.0,,,,,,,COMPLETE
22,22,0.8585527166798608,2025-01-02 21:53:08.706555,2025-01-02 21:53:57.344061,0 days 00:00:48.637506,4,35,15.0,50.0,15.0,,,,,,,4,4.0,6.0,5.0,,,,,,,COMPLETE
23,23,0.8047108719989304,2025-01-02 21:53:57.344787,2025-01-02 21:54:22.018396,0 days 00:00:24.673609,2,15,35.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
24,24,0.8228230029587951,2025-01-02 21:54:22.018942,2025-01-02 21:55:11.806303,0 days 00:00:49.787361,4,25,25.0,15.0,40.0,,,,,,,6,3.0,6.0,6.0,,,,,,,COMPLETE
25,25,0.8614149012977717,2025-01-02 21:55:11.807017,2025-01-02 21:56:31.117850,0 days 00:01:19.310833,7,40,45.0,25.0,30.0,20.0,50.0,35.0,,,,5,4.0,5.0,5.0,5.0,5.0,4.0,,,,COMPLETE
26,26,0.8556676456420058,2025-01-02 21:56:31.118688,2025-01-02 21:57:28.940481,0 days 00:00:57.821793,5,60,20.0,35.0,55.0,50.0,,,,,,3,5.0,6.0,4.0,3.0,,,,,,COMPLETE
27,27,0.8547283610405672,2025-01-02 21:57:28.941181,2025-01-02 21:58:41.131959,0 days 00:01:12.190778,6,20,35.0,15.0,10.0,40.0,95.0,,,,,4,4.0,4.0,6.0,6.0,4.0,,,,,COMPLETE
28,28,0.8040632179029414,2025-01-02 21:58:41.132784,2025-01-02 21:59:53.399057,0 days 00:01:12.266273,9,5,50.0,25.0,35.0,25.0,25.0,70.0,75.0,60.0,,5,3.0,5.0,4.0,5.0,6.0,6.0,4.0,2.0,,COMPLETE
29,29,0.8606875258148647,2025-01-02 21:59:53.399903,2025-01-02 22:01:17.900512,0 days 00:01:24.500609,10,70,5.0,45.0,55.0,65.0,45.0,10.0,35.0,20.0,5.0,6,5.0,6.0,5.0,3.0,5.0,4.0,3.0,6.0,4.0,COMPLETE
30,30,0.8447951871435087,2025-01-02 22:01:17.901452,2025-01-02 22:01:39.784422,0 days 00:00:21.882970,2,30,15.0,,,,,,,,,4,6.0,,,,,,,,,COMPLETE
31,31,0.8348313184718383,2025-01-02 22:01:39.784973,2025-01-02 22:02:35.011936,0 days 00:00:55.226963,5,15,35.0,5.0,15.0,30.0,,,,,,5,5.0,5.0,3.0,5.0,,,,,,COMPLETE
32,32,0.8192270859338842,2025-01-02 22:02:35.012821,2025-01-02 22:03:17.173028,0 days 00:00:42.160207,4,15,30.0,10.0,5.0,,,,,,,5,4.0,4.0,4.0,,,,,,,COMPLETE
33,33,0.8649655300126586,2025-01-02 22:03:17.173696,2025-01-02 22:03:58.738918,0 days 00:00:41.565222,5,10,40.0,10.0,5.0,15.0,,,,,,6,5.0,5.0,4.0,4.0,,,,,,COMPLETE
34,34,0.8484132318734927,2025-01-02 22:03:58.739755,2025-01-02 22:04:34.509228,0 days 00:00:35.769473,3,20,25.0,25.0,,,,,,,,5,4.0,5.0,,,,,,,,COMPLETE
35,35,0.876268059956673,2025-01-02 22:04:34.509849,2025-01-02 22:05:37.368518,0 days 00:01:02.858669,6,10,30.0,20.0,15.0,40.0,70.0,,,,,4,5.0,6.0,4.0,5.0,4.0,,,,,COMPLETE
36,36,0.8627366864637693,2025-01-02 22:05:37.369450,2025-01-02 22:06:42.379453,0 days 00:01:05.010003,7,10,30.0,20.0,15.0,45.0,75.0,100.0,,,,3,4.0,6.0,5.0,6.0,4.0,3.0,,,,COMPLETE
37,37,0.8700831322482011,2025-01-02 22:06:42.380440,2025-01-02 22:07:54.740082,0 days 00:01:12.359642,6,30,45.0,30.0,25.0,75.0,65.0,,,,,4,4.0,6.0,4.0,5.0,5.0,,,,,COMPLETE
