,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.8051639361602461,2025-01-03 08:33:34.415960,2025-01-03 08:34:23.404056,0 days 00:00:48.988096,6,70,5.0,35.0,15.0,75.0,70.0,,,,,3,6.0,6.0,4.0,6.0,4.0,,,,,COMPLETE
1,1,0.8035589291656626,2025-01-03 08:34:23.404660,2025-01-03 08:34:55.523582,0 days 00:00:32.118922,5,60,25.0,100.0,75.0,60.0,,,,,,2,6.0,5.0,5.0,2.0,,,,,,COMPLETE
2,2,0.7879121686127635,2025-01-03 08:34:55.524152,2025-01-03 08:35:20.716877,0 days 00:00:25.192725,4,65,60.0,75.0,15.0,,,,,,,5,2.0,2.0,6.0,,,,,,,COMPLETE
3,3,0.806094965578064,2025-01-03 08:35:20.717488,2025-01-03 08:35:56.608266,0 days 00:00:35.890778,7,70,80.0,55.0,100.0,100.0,80.0,10.0,,,,6,2.0,3.0,5.0,6.0,4.0,4.0,,,,COMPLETE
4,4,0.7851597607462732,2025-01-03 08:35:56.608875,2025-01-03 08:36:52.155693,0 days 00:00:55.546818,10,55,50.0,75.0,45.0,60.0,10.0,35.0,60.0,40.0,50.0,3,4.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,COMPLETE
5,5,0.786625350697207,2025-01-03 08:36:52.156502,2025-01-03 08:37:21.756990,0 days 00:00:29.600488,5,30,35.0,65.0,10.0,40.0,,,,,,5,6.0,2.0,4.0,3.0,,,,,,COMPLETE
6,6,0.7940537917294577,2025-01-03 08:37:21.757550,2025-01-03 08:38:12.887370,0 days 00:00:51.129820,7,40,20.0,50.0,75.0,60.0,25.0,30.0,,,,3,3.0,5.0,5.0,5.0,5.0,4.0,,,,COMPLETE
7,7,0.7690338752394774,2025-01-03 08:38:12.888108,2025-01-03 08:39:18.215018,0 days 00:01:05.326910,9,35,25.0,45.0,85.0,100.0,50.0,10.0,5.0,70.0,,4,5.0,5.0,5.0,4.0,4.0,6.0,3.0,2.0,,COMPLETE
8,8,0.7930340564948228,2025-01-03 08:39:18.215783,2025-01-03 08:40:01.363494,0 days 00:00:43.147711,10,95,100.0,10.0,30.0,40.0,75.0,5.0,5.0,85.0,25.0,2,2.0,6.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,COMPLETE
9,9,0.8035227470176931,2025-01-03 08:40:01.364235,2025-01-03 08:40:24.497711,0 days 00:00:23.133476,3,85,30.0,40.0,,,,,,,,4,6.0,5.0,,,,,,,,COMPLETE
10,10,0.6999864889209151,2025-01-03 08:40:24.498235,2025-01-03 08:40:33.497596,0 days 00:00:08.999361,1,10,,,,,,,,,,6,,,,,,,,,,COMPLETE
11,11,0.8238866642397766,2025-01-03 08:40:33.498020,2025-01-03 08:41:02.389784,0 days 00:00:28.891764,7,75,85.0,20.0,100.0,100.0,100.0,80.0,,,,6,4.0,3.0,3.0,6.0,2.0,4.0,,,,COMPLETE
12,12,0.7963924963924964,2025-01-03 08:41:02.390497,2025-01-03 08:41:45.916811,0 days 00:00:43.526314,8,80,90.0,15.0,95.0,100.0,100.0,90.0,100.0,,,6,4.0,3.0,2.0,6.0,2.0,4.0,6.0,,,COMPLETE
13,13,0.8048265675411548,2025-01-03 08:41:45.917478,2025-01-03 08:42:21.749957,0 days 00:00:35.832479,7,100,75.0,20.0,95.0,80.0,95.0,80.0,,,,6,3.0,3.0,3.0,6.0,2.0,5.0,,,,COMPLETE
14,14,0.8095470962814714,2025-01-03 08:42:21.750635,2025-01-03 08:43:01.195769,0 days 00:00:39.445134,8,80,80.0,30.0,60.0,5.0,80.0,65.0,55.0,,,5,3.0,3.0,3.0,4.0,3.0,3.0,6.0,,,COMPLETE
15,15,0.7958090855776605,2025-01-03 08:43:01.196467,2025-01-03 08:43:44.402905,0 days 00:00:43.206438,8,85,65.0,25.0,60.0,5.0,55.0,65.0,50.0,,,5,4.0,4.0,3.0,4.0,3.0,3.0,6.0,,,COMPLETE
16,16,0.8037297153008534,2025-01-03 08:43:44.403612,2025-01-03 08:44:43.914163,0 days 00:00:59.510551,9,45,100.0,5.0,55.0,5.0,100.0,65.0,55.0,5.0,,5,3.0,4.0,3.0,4.0,2.0,3.0,5.0,6.0,,COMPLETE
17,17,0.8062855928290298,2025-01-03 08:44:43.914884,2025-01-03 08:45:08.121320,0 days 00:00:24.206436,6,75,80.0,30.0,40.0,20.0,85.0,,,,,5,5.0,3.0,3.0,3.0,3.0,,,,,COMPLETE
18,18,0.7895290474823018,2025-01-03 08:45:08.121974,2025-01-03 08:45:22.943633,0 days 00:00:14.821659,3,90,50.0,25.0,,,,,,,,6,3.0,4.0,,,,,,,,COMPLETE
19,19,0.790702938390884,2025-01-03 08:45:22.944102,2025-01-03 08:46:02.747165,0 days 00:00:39.803063,8,50,90.0,5.0,70.0,25.0,60.0,100.0,85.0,,,4,5.0,3.0,2.0,3.0,3.0,3.0,5.0,,,COMPLETE
20,20,0.7999238258468424,2025-01-03 08:46:02.747821,2025-01-03 08:47:20.797328,0 days 00:01:18.049507,9,20,70.0,35.0,65.0,80.0,40.0,70.0,30.0,100.0,,5,3.0,4.0,3.0,5.0,6.0,5.0,4.0,6.0,,COMPLETE
21,21,0.8120847024461482,2025-01-03 08:47:20.798178,2025-01-03 08:47:44.290551,0 days 00:00:23.492373,6,75,85.0,30.0,40.0,20.0,85.0,,,,,5,5.0,3.0,3.0,3.0,3.0,,,,,COMPLETE
