,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.861904761904762,2025-01-03 17:11:48.488429,2025-01-03 17:12:11.879456,0 days 00:00:23.391027,8,15,50.0,30.0,70.0,40.0,30.0,30.0,45.0,,,6,5.0,3.0,2.0,2.0,5.0,6.0,3.0,,,COMPLETE
1,1,0.8544980443285528,2025-01-03 17:12:11.880117,2025-01-03 17:12:45.107590,0 days 00:00:33.227473,7,60,35.0,10.0,75.0,100.0,45.0,50.0,,,,6,4.0,3.0,5.0,4.0,5.0,6.0,,,,COMPLETE
2,2,0.780539397144368,2025-01-03 17:12:45.108301,2025-01-03 17:13:19.297830,0 days 00:00:34.189529,8,60,80.0,5.0,90.0,20.0,100.0,85.0,30.0,,,3,5.0,5.0,5.0,2.0,4.0,3.0,2.0,,,COMPLETE
3,3,0.8548009367681498,2025-01-03 17:13:19.298525,2025-01-03 17:13:30.228992,0 days 00:00:10.930467,3,10,45.0,75.0,,,,,,,,4,4.0,2.0,,,,,,,,COMPLETE
4,4,0.8158705701078584,2025-01-03 17:13:30.229464,2025-01-03 17:13:40.803910,0 days 00:00:10.574446,2,60,50.0,,,,,,,,,3,5.0,,,,,,,,,COMPLETE
5,5,0.6935483870967742,2025-01-03 17:13:40.804350,2025-01-03 17:13:45.727423,0 days 00:00:04.923073,1,85,,,,,,,,,,5,,,,,,,,,,COMPLETE
6,6,0.7801587301587302,2025-01-03 17:13:45.727825,2025-01-03 17:14:05.649746,0 days 00:00:19.921921,4,100,95.0,25.0,90.0,,,,,,,6,6.0,3.0,2.0,,,,,,,COMPLETE
7,7,0.8214192196910186,2025-01-03 17:14:05.650352,2025-01-03 17:14:21.550241,0 days 00:00:15.899889,4,35,30.0,55.0,75.0,,,,,,,3,4.0,5.0,2.0,,,,,,,COMPLETE
8,8,0.7865591397849463,2025-01-03 17:14:21.550775,2025-01-03 17:14:36.192251,0 days 00:00:14.641476,2,30,45.0,,,,,,,,,6,5.0,,,,,,,,,COMPLETE
9,9,0.8931419457735247,2025-01-03 17:14:36.192733,2025-01-03 17:15:14.855163,0 days 00:00:38.662430,8,100,65.0,55.0,15.0,90.0,45.0,100.0,80.0,,,6,2.0,5.0,4.0,5.0,6.0,5.0,2.0,,,COMPLETE
10,10,0.87042842215256,2025-01-03 17:15:14.855812,2025-01-03 17:16:07.331685,0 days 00:00:52.475873,10,85,10.0,100.0,5.0,95.0,5.0,100.0,100.0,75.0,100.0,2,2.0,6.0,4.0,6.0,2.0,4.0,6.0,5.0,5.0,COMPLETE
11,11,0.8221642764015646,2025-01-03 17:16:07.332527,2025-01-03 17:16:52.158066,0 days 00:00:44.825539,10,90,5.0,100.0,5.0,95.0,5.0,100.0,90.0,80.0,100.0,2,2.0,6.0,4.0,6.0,2.0,4.0,6.0,5.0,5.0,COMPLETE
