,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.6753246753246753,2025-01-04 02:40:47.872839,2025-01-04 02:41:16.582393,0 days 00:00:28.709554,8,10,10.0,95.0,90.0,75.0,40.0,50.0,10.0,,,2,2.0,4.0,4.0,4.0,3.0,2.0,4.0,,,COMPLETE
1,1,0.7126436781609196,2025-01-04 02:41:16.582982,2025-01-04 02:41:48.725221,0 days 00:00:32.142239,8,45,20.0,35.0,25.0,45.0,45.0,45.0,20.0,,,4,2.0,6.0,3.0,2.0,2.0,2.0,6.0,,,COMPLETE
2,2,0.6653027823240589,2025-01-04 02:41:48.725932,2025-01-04 02:41:59.655443,0 days 00:00:10.929511,2,30,20.0,,,,,,,,,5,4.0,,,,,,,,,COMPLETE
3,3,0.6963835155592935,2025-01-04 02:41:59.655896,2025-01-04 02:42:14.545358,0 days 00:00:14.889462,3,35,100.0,80.0,,,,,,,,5,4.0,4.0,,,,,,,,COMPLETE
4,4,0.719551282051282,2025-01-04 02:42:14.545827,2025-01-04 02:42:27.853412,0 days 00:00:13.307585,6,55,100.0,45.0,45.0,75.0,20.0,,,,,6,5.0,5.0,2.0,3.0,4.0,,,,,COMPLETE
5,5,0.677938808373591,2025-01-04 02:42:27.853955,2025-01-04 02:43:00.441320,0 days 00:00:32.587365,6,30,10.0,60.0,15.0,30.0,10.0,,,,,6,6.0,2.0,6.0,3.0,4.0,,,,,COMPLETE
6,6,0.5407407407407407,2025-01-04 02:43:00.441952,2025-01-04 02:43:36.991008,0 days 00:00:36.549056,7,65,75.0,65.0,90.0,90.0,15.0,5.0,,,,6,6.0,3.0,5.0,6.0,5.0,4.0,,,,COMPLETE
7,7,0.525101763907734,2025-01-04 02:43:36.991705,2025-01-04 02:44:02.080285,0 days 00:00:25.088580,9,30,95.0,20.0,100.0,95.0,35.0,20.0,100.0,60.0,,3,3.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,,COMPLETE
8,8,0.695540308747856,2025-01-04 02:44:02.080970,2025-01-04 02:44:07.851701,0 days 00:00:05.770731,1,40,,,,,,,,,,4,,,,,,,,,,COMPLETE
9,9,0.7251845775225595,2025-01-04 02:44:07.852060,2025-01-04 02:44:25.161436,0 days 00:00:17.309376,4,30,60.0,45.0,65.0,,,,,,,2,6.0,2.0,5.0,,,,,,,COMPLETE
10,10,0.7148305084745763,2025-01-04 02:44:25.161922,2025-01-04 02:44:40.065166,0 days 00:00:14.903244,4,95,50.0,5.0,65.0,,,,,,,2,5.0,2.0,4.0,,,,,,,COMPLETE
11,11,0.6394230769230769,2025-01-04 02:44:40.065589,2025-01-04 02:44:58.920716,0 days 00:00:18.855127,5,60,55.0,40.0,50.0,5.0,,,,,,3,5.0,5.0,2.0,2.0,,,,,,COMPLETE
12,12,0.5818181818181818,2025-01-04 02:44:58.921240,2025-01-04 02:45:19.784376,0 days 00:00:20.863136,5,80,75.0,45.0,50.0,65.0,,,,,,3,5.0,5.0,2.0,4.0,,,,,,COMPLETE
13,13,0.64,2025-01-04 02:45:19.784859,2025-01-04 02:46:08.314997,0 days 00:00:48.530138,10,10,45.0,25.0,65.0,50.0,90.0,100.0,85.0,10.0,80.0,5,6.0,3.0,5.0,4.0,6.0,6.0,2.0,2.0,5.0,COMPLETE
14,14,0.4832575444398512,2025-01-04 02:46:08.315750,2025-01-04 02:46:31.398048,0 days 00:00:23.082298,4,75,80.0,55.0,35.0,,,,,,,6,5.0,5.0,3.0,,,,,,,COMPLETE
15,15,0.5277777777777778,2025-01-04 02:46:31.398578,2025-01-04 02:46:59.123712,0 days 00:00:27.725134,6,55,40.0,75.0,65.0,75.0,75.0,,,,,2,6.0,3.0,5.0,3.0,6.0,,,,,COMPLETE
