,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.796526867627785,2025-01-04 06:40:21.044799,2025-01-04 06:40:27.072833,0 days 00:00:06.028034,2,25,60.0,,,,,,,,,2,2.0,,,,,,,,,COMPLETE
1,1,0.7759103641456582,2025-01-04 06:40:27.073153,2025-01-04 06:40:38.639918,0 days 00:00:11.566765,4,30,85.0,60.0,50.0,,,,,,,2,4.0,2.0,3.0,,,,,,,COMPLETE
2,2,0.7972558514931396,2025-01-04 06:40:38.640291,2025-01-04 06:40:46.049219,0 days 00:00:07.408928,1,95,,,,,,,,,,5,,,,,,,,,,COMPLETE
3,3,0.7892322549492998,2025-01-04 06:40:46.049499,2025-01-04 06:40:59.395489,0 days 00:00:13.345990,4,40,65.0,25.0,65.0,,,,,,,3,2.0,2.0,4.0,,,,,,,COMPLETE
4,4,0.8392344497607656,2025-01-04 06:40:59.395889,2025-01-04 06:41:25.812001,0 days 00:00:26.416112,7,30,80.0,100.0,55.0,35.0,15.0,55.0,,,,4,2.0,2.0,3.0,4.0,6.0,4.0,,,,COMPLETE
5,5,0.7946264848919716,2025-01-04 06:41:25.812657,2025-01-04 06:41:38.520957,0 days 00:00:12.708300,3,100,5.0,65.0,,,,,,,,5,3.0,2.0,,,,,,,,COMPLETE
6,6,0.7589093518297059,2025-01-04 06:41:38.521405,2025-01-04 06:42:09.743688,0 days 00:00:31.222283,9,100,70.0,50.0,40.0,30.0,5.0,20.0,60.0,15.0,,5,5.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,,COMPLETE
7,7,0.767188999040614,2025-01-04 06:42:09.744286,2025-01-04 06:42:57.128442,0 days 00:00:47.384156,10,85,25.0,30.0,25.0,35.0,5.0,70.0,70.0,55.0,50.0,6,3.0,3.0,3.0,6.0,2.0,2.0,4.0,6.0,4.0,COMPLETE
8,8,0.7762376237623763,2025-01-04 06:42:57.129275,2025-01-04 06:43:40.011644,0 days 00:00:42.882369,10,45,70.0,95.0,65.0,35.0,70.0,5.0,15.0,45.0,35.0,5,6.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,6.0,COMPLETE
9,9,0.7720618641965098,2025-01-04 06:43:40.012334,2025-01-04 06:44:09.731717,0 days 00:00:29.719383,7,25,10.0,70.0,50.0,50.0,50.0,20.0,,,,4,4.0,6.0,3.0,6.0,3.0,2.0,,,,COMPLETE
10,10,0.7533783783783784,2025-01-04 06:44:09.732461,2025-01-04 06:44:48.914702,0 days 00:00:39.182241,7,5,100.0,100.0,100.0,100.0,40.0,90.0,,,,3,2.0,5.0,6.0,4.0,6.0,6.0,,,,COMPLETE
11,11,0.8013104152484684,2025-01-04 06:44:48.915312,2025-01-04 06:44:55.107192,0 days 00:00:06.191880,1,60,,,,,,,,,,4,,,,,,,,,,COMPLETE
12,12,0.8341110217216412,2025-01-04 06:44:55.107589,2025-01-04 06:45:27.304932,0 days 00:00:32.197343,6,65,40.0,85.0,5.0,80.0,100.0,,,,,4,3.0,4.0,6.0,4.0,6.0,,,,,COMPLETE
13,13,0.8212005108556832,2025-01-04 06:45:27.305610,2025-01-04 06:45:54.308225,0 days 00:00:27.002615,6,65,35.0,85.0,15.0,85.0,100.0,,,,,3,3.0,4.0,6.0,4.0,6.0,,,,,COMPLETE
14,14,0.8123653769445554,2025-01-04 06:45:54.308868,2025-01-04 06:46:13.070509,0 days 00:00:18.761641,8,70,45.0,80.0,85.0,75.0,100.0,50.0,95.0,,,4,3.0,4.0,5.0,4.0,5.0,6.0,6.0,,,COMPLETE
15,15,0.705145592341444,2025-01-04 06:46:13.071167,2025-01-04 06:46:31.205296,0 days 00:00:18.134129,5,5,45.0,100.0,10.0,10.0,,,,,,6,2.0,5.0,5.0,3.0,,,,,,COMPLETE
16,16,0.8569604086845466,2025-01-04 06:46:31.205824,2025-01-04 06:46:47.888860,0 days 00:00:16.683036,6,80,90.0,45.0,35.0,65.0,30.0,,,,,3,3.0,3.0,2.0,5.0,5.0,,,,,COMPLETE
17,17,0.8124850514231046,2025-01-04 06:46:47.889455,2025-01-04 06:47:05.868634,0 days 00:00:17.979179,8,85,100.0,5.0,35.0,60.0,25.0,50.0,15.0,,,3,5.0,3.0,2.0,5.0,4.0,4.0,6.0,,,COMPLETE
18,18,0.8839193175476361,2025-01-04 06:47:05.869314,2025-01-04 06:47:21.594117,0 days 00:00:15.724803,5,80,85.0,45.0,65.0,55.0,,,,,,2,2.0,3.0,2.0,5.0,,,,,,COMPLETE
19,19,0.8068438003220613,2025-01-04 06:47:21.594551,2025-01-04 06:47:35.094768,0 days 00:00:13.500217,4,80,85.0,45.0,80.0,,,,,,,2,4.0,3.0,2.0,,,,,,,COMPLETE
20,20,0.8519948519948519,2025-01-04 06:47:35.095183,2025-01-04 06:47:53.026459,0 days 00:00:17.931276,5,75,95.0,35.0,35.0,65.0,,,,,,2,3.0,3.0,2.0,5.0,,,,,,COMPLETE
21,21,0.8341110217216412,2025-01-04 06:47:53.026891,2025-01-04 06:48:09.772521,0 days 00:00:16.745630,5,75,90.0,35.0,30.0,60.0,,,,,,2,3.0,3.0,2.0,5.0,,,,,,COMPLETE
22,22,0.7891391794046662,2025-01-04 06:48:09.773046,2025-01-04 06:48:27.769116,0 days 00:00:17.996070,5,55,95.0,15.0,20.0,65.0,,,,,,2,3.0,3.0,2.0,5.0,,,,,,COMPLETE
23,23,0.8123653769445554,2025-01-04 06:48:27.769552,2025-01-04 06:48:39.304469,0 days 00:00:11.534917,3,90,75.0,40.0,,,,,,,,3,4.0,3.0,,,,,,,,COMPLETE
24,24,0.7854406130268199,2025-01-04 06:48:39.304899,2025-01-04 06:49:02.659259,0 days 00:00:23.354360,6,75,90.0,20.0,40.0,50.0,75.0,,,,,2,2.0,4.0,3.0,5.0,4.0,,,,,COMPLETE
25,25,0.8018018018018018,2025-01-04 06:49:02.659772,2025-01-04 06:49:12.192218,0 days 00:00:09.532446,3,80,55.0,55.0,,,,,,,,3,2.0,3.0,,,,,,,,COMPLETE
26,26,0.7801932367149759,2025-01-04 06:49:12.192615,2025-01-04 06:49:32.648313,0 days 00:00:20.455698,5,90,80.0,40.0,65.0,70.0,,,,,,2,3.0,4.0,2.0,6.0,,,,,,COMPLETE
27,27,0.8324868938401049,2025-01-04 06:49:32.648777,2025-01-04 06:49:46.189102,0 days 00:00:13.540325,4,50,100.0,45.0,45.0,,,,,,,3,4.0,3.0,2.0,,,,,,,COMPLETE
28,28,0.7972558514931396,2025-01-04 06:49:46.189536,2025-01-04 06:50:14.534629,0 days 00:00:28.345093,6,70,90.0,30.0,75.0,90.0,35.0,,,,,2,5.0,5.0,3.0,5.0,4.0,,,,,COMPLETE
29,29,0.8325962325962326,2025-01-04 06:50:14.535304,2025-01-04 06:50:21.621266,0 days 00:00:07.085962,2,60,75.0,,,,,,,,,2,3.0,,,,,,,,,COMPLETE
30,30,0.7677830940988836,2025-01-04 06:50:21.621622,2025-01-04 06:50:52.141903,0 days 00:00:30.520281,8,80,95.0,55.0,30.0,50.0,65.0,100.0,35.0,,,3,2.0,4.0,2.0,5.0,5.0,5.0,4.0,,,COMPLETE
31,31,0.7465201465201465,2025-01-04 06:50:52.142545,2025-01-04 06:51:16.392863,0 days 00:00:24.250318,7,15,80.0,50.0,60.0,40.0,20.0,70.0,,,,4,2.0,2.0,3.0,3.0,5.0,3.0,,,,COMPLETE
32,32,0.7982300884955753,2025-01-04 06:51:16.393422,2025-01-04 06:51:42.982131,0 days 00:00:26.588709,7,35,60.0,70.0,55.0,15.0,25.0,35.0,,,,2,2.0,2.0,3.0,5.0,5.0,5.0,,,,COMPLETE
33,33,0.8161705551086083,2025-01-04 06:51:42.982787,2025-01-04 06:52:09.678712,0 days 00:00:26.695925,6,20,80.0,35.0,55.0,20.0,15.0,,,,,3,2.0,3.0,4.0,3.0,6.0,,,,,COMPLETE
34,34,0.7767679183608387,2025-01-04 06:52:09.679277,2025-01-04 06:52:19.294824,0 days 00:00:09.615547,4,90,85.0,60.0,40.0,,,,,,,2,2.0,2.0,2.0,,,,,,,COMPLETE
35,35,0.7980041847738613,2025-01-04 06:52:19.295221,2025-01-04 06:52:35.793203,0 days 00:00:16.497982,5,45,65.0,45.0,75.0,60.0,,,,,,3,3.0,3.0,2.0,4.0,,,,,,COMPLETE
36,36,0.8124850514231046,2025-01-04 06:52:35.793644,2025-01-04 06:53:07.961778,0 days 00:00:32.168134,7,30,95.0,20.0,45.0,45.0,40.0,70.0,,,,4,4.0,2.0,3.0,6.0,5.0,5.0,,,,COMPLETE
37,37,0.8302353410450738,2025-01-04 06:53:07.962512,2025-01-04 06:53:32.102951,0 days 00:00:24.140439,9,95,75.0,65.0,50.0,25.0,55.0,85.0,95.0,95.0,,2,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,,COMPLETE
38,38,0.8052096985583224,2025-01-04 06:53:32.103506,2025-01-04 06:53:46.769844,0 days 00:00:14.666338,4,75,85.0,30.0,30.0,,,,,,,5,3.0,2.0,2.0,,,,,,,COMPLETE
39,39,0.7795733678086619,2025-01-04 06:53:46.770265,2025-01-04 06:54:15.648597,0 days 00:00:28.878332,6,40,65.0,60.0,60.0,70.0,15.0,,,,,5,2.0,3.0,3.0,5.0,6.0,,,,,COMPLETE
40,40,0.8332526230831315,2025-01-04 06:54:15.649228,2025-01-04 06:54:57.722530,0 days 00:00:42.073302,9,55,90.0,40.0,70.0,55.0,30.0,35.0,40.0,100.0,,3,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,,COMPLETE
41,41,0.8108766233766234,2025-01-04 06:54:57.723228,2025-01-04 06:55:26.404578,0 days 00:00:28.681350,6,65,30.0,90.0,5.0,80.0,90.0,,,,,4,3.0,4.0,5.0,4.0,6.0,,,,,COMPLETE
42,42,0.8144870534251065,2025-01-04 06:55:26.405127,2025-01-04 06:55:49.590984,0 days 00:00:23.185857,5,70,50.0,90.0,20.0,75.0,,,,,,4,3.0,4.0,6.0,4.0,,,,,,COMPLETE
43,43,0.8117647058823529,2025-01-04 06:55:49.591579,2025-01-04 06:56:27.517317,0 days 00:00:37.925738,7,65,20.0,80.0,60.0,65.0,85.0,60.0,,,,4,6.0,6.0,5.0,4.0,6.0,3.0,,,,COMPLETE
44,44,0.7385494647025679,2025-01-04 06:56:27.518012,2025-01-04 06:56:55.710552,0 days 00:00:28.192540,8,85,40.0,95.0,5.0,95.0,50.0,35.0,75.0,,,5,3.0,5.0,2.0,3.0,6.0,4.0,5.0,,,COMPLETE
45,45,0.7802445302445302,2025-01-04 06:56:55.711175,2025-01-04 06:57:22.363796,0 days 00:00:26.652621,6,60,20.0,75.0,45.0,80.0,10.0,,,,,4,3.0,3.0,4.0,4.0,5.0,,,,,COMPLETE
46,46,0.7802445302445302,2025-01-04 06:57:22.364409,2025-01-04 06:57:44.201663,0 days 00:00:21.837254,7,100,70.0,100.0,20.0,40.0,35.0,85.0,,,,3,2.0,4.0,4.0,6.0,6.0,5.0,,,,COMPLETE
47,47,0.8392344497607656,2025-01-04 06:57:44.202304,2025-01-04 06:58:06.822799,0 days 00:00:22.620495,5,70,95.0,90.0,35.0,30.0,,,,,,4,3.0,5.0,2.0,5.0,,,,,,COMPLETE
48,48,0.7956486042692938,2025-01-04 06:58:06.823320,2025-01-04 06:58:31.646659,0 days 00:00:24.823339,5,95,95.0,50.0,35.0,30.0,,,,,,5,4.0,5.0,2.0,5.0,,,,,,COMPLETE
49,49,0.7551877079043243,2025-01-04 06:58:31.647154,2025-01-04 06:58:46.926593,0 days 00:00:15.279439,4,80,100.0,25.0,90.0,,,,,,,2,2.0,6.0,2.0,,,,,,,COMPLETE
50,50,0.833896668276195,2025-01-04 06:58:46.927102,2025-01-04 06:59:11.871825,0 days 00:00:24.944723,5,85,80.0,35.0,35.0,30.0,,,,,,4,3.0,5.0,3.0,6.0,,,,,,COMPLETE
51,51,0.8286062576188541,2025-01-04 06:59:11.872399,2025-01-04 06:59:36.173516,0 days 00:00:24.301117,6,70,85.0,90.0,25.0,40.0,45.0,,,,,4,3.0,3.0,2.0,5.0,5.0,,,,,COMPLETE
52,52,0.8035714285714286,2025-01-04 06:59:36.174075,2025-01-04 07:00:08.918302,0 days 00:00:32.744227,6,75,35.0,85.0,50.0,55.0,65.0,,,,,4,3.0,4.0,6.0,5.0,6.0,,,,,COMPLETE
53,53,0.7351756364808251,2025-01-04 07:00:08.918957,2025-01-04 07:00:31.728280,0 days 00:00:22.809323,5,10,95.0,95.0,15.0,45.0,,,,,,4,5.0,4.0,2.0,4.0,,,,,,COMPLETE
54,54,0.8287732402370707,2025-01-04 07:00:31.728824,2025-01-04 07:00:45.541929,0 days 00:00:13.813105,4,65,90.0,85.0,65.0,,,,,,,3,2.0,5.0,2.0,,,,,,,COMPLETE
55,55,0.7594695399917115,2025-01-04 07:00:45.542387,2025-01-04 07:00:58.345423,0 days 00:00:12.803036,3,50,45.0,100.0,,,,,,,,5,3.0,3.0,,,,,,,,COMPLETE
56,56,0.757760347129506,2025-01-04 07:00:58.345852,2025-01-04 07:01:28.317194,0 days 00:00:29.971342,7,75,100.0,45.0,55.0,70.0,20.0,60.0,,,,6,3.0,3.0,3.0,5.0,5.0,2.0,,,,COMPLETE
