,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.7309833024118739,2025-01-04 10:30:49.484374,2025-01-04 10:31:01.718209,0 days 00:00:12.233835,5,55,90.0,45.0,45.0,60.0,,,,,,3,5.0,3.0,3.0,5.0,,,,,,COMPLETE
1,1,0.5927952576379389,2025-01-04 10:31:01.718711,2025-01-04 10:31:15.246386,0 days 00:00:13.527675,7,70,35.0,90.0,95.0,95.0,70.0,95.0,,,,3,3.0,2.0,4.0,5.0,4.0,3.0,,,,COMPLETE
2,2,0.7097222222222223,2025-01-04 10:31:15.246957,2025-01-04 10:31:45.393536,0 days 00:00:30.146579,9,60,95.0,30.0,25.0,70.0,20.0,25.0,55.0,65.0,,5,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,,COMPLETE
3,3,0.6521739130434783,2025-01-04 10:31:45.394217,2025-01-04 10:31:51.818851,0 days 00:00:06.424634,2,80,100.0,,,,,,,,,2,6.0,,,,,,,,,COMPLETE
4,4,0.6808510638297872,2025-01-04 10:31:51.819245,2025-01-04 10:31:57.027103,0 days 00:00:05.207858,2,55,70.0,,,,,,,,,4,3.0,,,,,,,,,COMPLETE
5,5,0.6423255813953488,2025-01-04 10:31:57.027490,2025-01-04 10:32:08.408716,0 days 00:00:11.381226,4,60,90.0,65.0,80.0,,,,,,,6,3.0,4.0,5.0,,,,,,,COMPLETE
6,6,0.637641723356009,2025-01-04 10:32:08.409200,2025-01-04 10:32:24.062274,0 days 00:00:15.653074,7,10,50.0,25.0,25.0,75.0,85.0,55.0,,,,6,4.0,2.0,2.0,6.0,5.0,2.0,,,,COMPLETE
7,7,0.6477801268498943,2025-01-04 10:32:24.062819,2025-01-04 10:32:29.727787,0 days 00:00:05.664968,3,60,90.0,10.0,,,,,,,,2,2.0,2.0,,,,,,,,COMPLETE
8,8,0.4774560987185572,2025-01-04 10:32:29.728175,2025-01-04 10:32:35.188026,0 days 00:00:05.459851,2,65,50.0,,,,,,,,,6,2.0,,,,,,,,,COMPLETE
9,9,0.4671201814058957,2025-01-04 10:32:35.188400,2025-01-04 10:32:47.014830,0 days 00:00:11.826430,4,10,75.0,60.0,90.0,,,,,,,5,2.0,6.0,4.0,,,,,,,COMPLETE
10,10,0.5531914893617021,2025-01-04 10:32:47.015384,2025-01-04 10:33:11.778226,0 days 00:00:24.762842,10,100,5.0,90.0,55.0,15.0,10.0,5.0,5.0,5.0,10.0,3,6.0,6.0,2.0,4.0,2.0,6.0,2.0,6.0,3.0,COMPLETE
11,11,0.6356589147286822,2025-01-04 10:33:11.778940,2025-01-04 10:33:44.857216,0 days 00:00:33.078276,10,35,75.0,35.0,15.0,50.0,20.0,20.0,80.0,90.0,100.0,4,5.0,4.0,6.0,2.0,6.0,5.0,5.0,2.0,6.0,COMPLETE
12,12,0.6126373626373627,2025-01-04 10:33:44.857914,2025-01-04 10:34:01.425955,0 days 00:00:16.568041,7,35,100.0,40.0,40.0,55.0,40.0,40.0,,,,4,5.0,4.0,3.0,3.0,4.0,4.0,,,,COMPLETE
