,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.8494301352495686,2025-01-05 14:42:31.368224,2025-01-05 14:43:05.695405,0 days 00:00:34.327181,1,95,,,,,,,,,,6,,,,,,,,,,COMPLETE
1,1,0.8658065054924874,2025-01-05 14:43:05.695872,2025-01-05 14:43:56.722731,0 days 00:00:51.026859,9,95,35.0,80.0,5.0,35.0,5.0,50.0,15.0,85.0,,3,6.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,,COMPLETE
2,2,0.8608873548377864,2025-01-05 14:43:56.723469,2025-01-05 14:44:15.471917,0 days 00:00:18.748448,2,80,35.0,,,,,,,,,3,6.0,,,,,,,,,COMPLETE
3,3,0.8663405296891361,2025-01-05 14:44:15.472398,2025-01-05 14:44:46.898946,0 days 00:00:31.426548,4,90,60.0,100.0,60.0,,,,,,,6,3.0,3.0,4.0,,,,,,,COMPLETE
4,4,0.8549486622042467,2025-01-05 14:44:46.899497,2025-01-05 14:45:01.299883,0 days 00:00:14.400386,1,95,,,,,,,,,,3,,,,,,,,,,COMPLETE
5,5,0.8697009094192193,2025-01-05 14:45:01.300264,2025-01-05 14:45:44.539376,0 days 00:00:43.239112,5,95,25.0,90.0,10.0,50.0,,,,,,3,3.0,2.0,6.0,5.0,,,,,,COMPLETE
6,6,0.8482725019849385,2025-01-05 14:45:44.540199,2025-01-05 14:46:24.375473,0 days 00:00:39.835274,4,100,40.0,5.0,70.0,,,,,,,4,2.0,6.0,4.0,,,,,,,COMPLETE
7,7,0.8595397412250592,2025-01-05 14:46:24.375914,2025-01-05 14:47:15.482782,0 days 00:00:51.106868,4,65,15.0,95.0,100.0,,,,,,,2,6.0,5.0,6.0,,,,,,,COMPLETE
8,8,0.8622426477214536,2025-01-05 14:47:15.483384,2025-01-05 14:48:32.415261,0 days 00:01:16.931877,8,55,80.0,80.0,70.0,60.0,25.0,25.0,15.0,,,3,5.0,6.0,5.0,6.0,4.0,4.0,2.0,,,COMPLETE
9,9,0.8420363127909345,2025-01-05 14:48:32.415830,2025-01-05 14:49:04.493522,0 days 00:00:32.077692,5,50,35.0,10.0,90.0,75.0,,,,,,3,3.0,4.0,2.0,2.0,,,,,,COMPLETE
10,10,0.8796827885935203,2025-01-05 14:49:04.494101,2025-01-05 14:49:57.519621,0 days 00:00:53.025520,7,20,10.0,50.0,10.0,10.0,100.0,95.0,,,,5,4.0,2.0,6.0,5.0,6.0,2.0,,,,COMPLETE
11,11,0.8803420316111349,2025-01-05 14:49:57.520160,2025-01-05 14:50:51.844586,0 days 00:00:54.324426,7,10,5.0,50.0,5.0,5.0,100.0,100.0,,,,5,4.0,2.0,6.0,5.0,6.0,2.0,,,,COMPLETE
12,12,0.854058951353678,2025-01-05 14:50:51.845302,2025-01-05 14:51:34.965291,0 days 00:00:43.119989,7,10,10.0,40.0,30.0,5.0,100.0,100.0,,,,5,4.0,2.0,6.0,4.0,6.0,2.0,,,,COMPLETE
13,13,0.8624046409949301,2025-01-05 14:51:34.965956,2025-01-05 14:52:57.151656,0 days 00:01:22.185700,10,5,5.0,50.0,35.0,5.0,100.0,100.0,100.0,15.0,95.0,5,4.0,2.0,5.0,5.0,6.0,2.0,6.0,6.0,5.0,COMPLETE
14,14,0.866172821591816,2025-01-05 14:52:57.152378,2025-01-05 14:54:00.229910,0 days 00:01:03.077532,7,30,100.0,35.0,25.0,25.0,70.0,80.0,,,,5,4.0,3.0,5.0,5.0,6.0,2.0,,,,COMPLETE
15,15,0.8606554371549402,2025-01-05 14:54:00.230652,2025-01-05 14:55:03.096275,0 days 00:01:02.865623,7,25,60.0,65.0,15.0,25.0,70.0,70.0,,,,4,5.0,3.0,6.0,6.0,4.0,3.0,,,,COMPLETE
16,16,0.838454852530651,2025-01-05 14:55:03.097034,2025-01-05 14:55:51.455990,0 days 00:00:48.358956,6,25,20.0,25.0,45.0,5.0,80.0,,,,,5,5.0,2.0,5.0,4.0,5.0,,,,,COMPLETE
17,17,0.8760410484819934,2025-01-05 14:55:51.456613,2025-01-05 14:57:08.111249,0 days 00:01:16.654636,9,40,5.0,60.0,5.0,100.0,40.0,80.0,85.0,100.0,,4,2.0,3.0,3.0,3.0,5.0,3.0,6.0,2.0,,COMPLETE
18,18,0.8677243273162503,2025-01-05 14:57:08.112005,2025-01-05 14:57:39.706449,0 days 00:00:31.594444,6,15,50.0,50.0,25.0,25.0,85.0,,,,,6,3.0,4.0,4.0,5.0,5.0,,,,,COMPLETE
