,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders_layer_0,params_orders_layer_1,params_orders_layer_2,params_orders_layer_3,params_orders_layer_4,params_orders_layer_5,params_orders_layer_6,params_orders_layer_7,params_orders_layer_8,params_orders_layer_9,state
0,0,0.9390918603615638,2025-01-06 04:50:17.598665,2025-01-06 04:50:51.515582,0 days 00:00:33.916917,8,85,60.0,70.0,5.0,40.0,55.0,15.0,45.0,,,4,6.0,5.0,5.0,5.0,5.0,4.0,6.0,,,COMPLETE
1,1,0.9407642815797675,2025-01-06 04:50:51.516270,2025-01-06 04:51:15.388839,0 days 00:00:23.872569,5,15,50.0,95.0,50.0,95.0,,,,,,6,2.0,3.0,4.0,6.0,,,,,,COMPLETE
2,2,0.9483333333333333,2025-01-06 04:51:15.389372,2025-01-06 04:51:27.105930,0 days 00:00:11.716558,4,35,60.0,45.0,25.0,,,,,,,2,5.0,2.0,5.0,,,,,,,COMPLETE
3,3,0.9407558932398208,2025-01-06 04:51:27.106308,2025-01-06 04:51:54.848161,0 days 00:00:27.741853,9,15,55.0,70.0,85.0,95.0,100.0,50.0,15.0,70.0,,5,2.0,5.0,6.0,2.0,2.0,3.0,5.0,3.0,,COMPLETE
4,4,0.9508224459793071,2025-01-06 04:51:54.848708,2025-01-06 04:52:12.283389,0 days 00:00:17.434681,6,50,15.0,65.0,20.0,75.0,100.0,,,,,4,6.0,2.0,3.0,5.0,5.0,,,,,COMPLETE
5,5,0.9581154182846625,2025-01-06 04:52:12.283914,2025-01-06 04:52:33.873971,0 days 00:00:21.590057,5,50,35.0,15.0,35.0,20.0,,,,,,3,5.0,6.0,6.0,6.0,,,,,,COMPLETE
6,6,0.9640787269681742,2025-01-06 04:52:33.874522,2025-01-06 04:52:36.536893,0 days 00:00:02.662371,1,45,,,,,,,,,,3,,,,,,,,,,COMPLETE
7,7,0.9508760447922617,2025-01-06 04:52:36.537143,2025-01-06 04:53:16.944907,0 days 00:00:40.407764,10,60,80.0,20.0,100.0,50.0,45.0,65.0,95.0,30.0,15.0,2,5.0,3.0,5.0,2.0,6.0,4.0,6.0,6.0,4.0,COMPLETE
8,8,0.9527747575587844,2025-01-06 04:53:16.945459,2025-01-06 04:53:28.592880,0 days 00:00:11.647421,3,60,80.0,85.0,,,,,,,,6,4.0,6.0,,,,,,,,COMPLETE
9,9,0.9469446698482994,2025-01-06 04:53:28.593227,2025-01-06 04:53:39.952396,0 days 00:00:11.359169,4,65,45.0,65.0,55.0,,,,,,,5,3.0,3.0,2.0,,,,,,,COMPLETE
10,10,0.951307929407272,2025-01-06 04:53:39.952755,2025-01-06 04:53:42.974500,0 days 00:00:03.021745,1,95,,,,,,,,,,3,,,,,,,,,,COMPLETE
11,11,0.9525133603889581,2025-01-06 04:53:42.974771,2025-01-06 04:53:45.796418,0 days 00:00:02.821647,1,35,,,,,,,,,,3,,,,,,,,,,COMPLETE
12,12,0.9366413231959451,2025-01-06 04:53:45.796672,2025-01-06 04:54:10.086766,0 days 00:00:24.290094,7,40,20.0,15.0,50.0,5.0,5.0,95.0,,,,3,4.0,6.0,6.0,6.0,2.0,6.0,,,,COMPLETE
13,13,0.9484316852737905,2025-01-06 04:54:10.087325,2025-01-06 04:54:17.355419,0 days 00:00:07.268094,2,80,30.0,,,,,,,,,3,5.0,,,,,,,,,COMPLETE
