,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.6723642747019798,2024-12-31 18:36:09.725206,2024-12-31 18:39:31.082781,0 days 00:03:21.357575,8,25,60.0,,,,,,,,,,,165.0,80.0,160.0,105.0,180.0,10.0,,,COMPLETE
1,1,0.8551442100731812,2024-12-31 18:39:31.083516,2024-12-31 18:40:08.363794,0 days 00:00:37.280278,1,40,,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.8625896726929085,2024-12-31 18:40:08.364219,2024-12-31 18:41:01.833823,0 days 00:00:53.469604,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
3,3,0.8740060268722689,2024-12-31 18:41:01.834339,2024-12-31 18:42:24.696967,0 days 00:01:22.862628,2,140,90.0,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,0.8733574233408864,2024-12-31 18:42:24.697500,2024-12-31 18:43:27.208184,0 days 00:01:02.510684,1,150,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.8756740695819247,2024-12-31 18:43:27.208731,2024-12-31 18:46:39.734100,0 days 00:03:12.525369,6,195,70.0,,,,,,,,,,,100.0,120.0,115.0,105.0,,,,,COMPLETE
6,6,0.8760648778452045,2024-12-31 18:46:39.734759,2024-12-31 18:50:34.707399,0 days 00:03:54.972640,7,65,195.0,,,,,,,,,,,110.0,175.0,195.0,70.0,25.0,,,,COMPLETE
7,7,0.8689875728616763,2024-12-31 18:50:34.708088,2024-12-31 18:53:31.219748,0 days 00:02:56.511660,7,150,85.0,,,,,,,,,,,190.0,60.0,10.0,5.0,120.0,,,,COMPLETE
8,8,0.245295767416013,2024-12-31 18:53:31.220440,2024-12-31 19:00:11.324534,0 days 00:06:40.104094,16,30,190.0,115.0,15.0,45.0,155.0,175.0,35.0,,,,,105.0,200.0,160.0,30.0,190.0,35.0,120.0,90.0,COMPLETE
9,9,0.520481594576865,2024-12-31 19:00:11.325335,2024-12-31 19:05:35.987542,0 days 00:05:24.662207,13,65,145.0,55.0,10.0,175.0,,,,,,,,50.0,100.0,50.0,50.0,195.0,75.0,180.0,195.0,COMPLETE
