,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.2594035234075964,2025-01-01 20:10:45.072681,2025-01-01 20:11:54.181722,0 days 00:01:09.109041,17,50,25.0,160.0,145.0,60.0,100.0,190.0,60.0,70.0,,,,65.0,130.0,55.0,5.0,60.0,150.0,185.0,125.0,COMPLETE
1,1,0.5042740945365255,2025-01-01 20:11:54.182458,2025-01-01 20:12:48.337558,0 days 00:00:54.155100,15,160,60.0,100.0,10.0,20.0,45.0,25.0,,,,,,30.0,150.0,150.0,75.0,175.0,100.0,100.0,35.0,COMPLETE
2,2,0.2736278473014706,2025-01-01 20:12:48.338143,2025-01-01 20:13:41.647568,0 days 00:00:53.309425,13,80,60.0,20.0,200.0,40.0,,,,,,,,135.0,160.0,125.0,10.0,90.0,150.0,160.0,30.0,COMPLETE
3,3,0.16485383539817253,2025-01-01 20:13:41.648261,2025-01-01 20:14:42.933266,0 days 00:01:01.285005,16,60,100.0,170.0,85.0,50.0,135.0,15.0,115.0,,,,,85.0,80.0,95.0,15.0,165.0,5.0,120.0,185.0,COMPLETE
4,4,0.24468509192514326,2025-01-01 20:14:42.933984,2025-01-01 20:15:27.466796,0 days 00:00:44.532812,11,15,55.0,130.0,,,,,,,,,,55.0,150.0,75.0,150.0,125.0,50.0,5.0,160.0,COMPLETE
5,5,0.26415881395571483,2025-01-01 20:15:27.467467,2025-01-01 20:16:28.531578,0 days 00:01:01.064111,11,40,185.0,165.0,,,,,,,,,,55.0,150.0,165.0,145.0,65.0,80.0,200.0,155.0,COMPLETE
6,6,0.4376046901172529,2025-01-01 20:16:28.532209,2025-01-01 20:18:03.547645,0 days 00:01:35.015436,19,180,30.0,20.0,70.0,190.0,35.0,175.0,120.0,195.0,180.0,65.0,,40.0,115.0,145.0,195.0,185.0,70.0,170.0,180.0,COMPLETE
7,7,0.4860254941538014,2025-01-01 20:18:03.548345,2025-01-01 20:19:09.273833,0 days 00:01:05.725488,15,35,35.0,110.0,150.0,130.0,50.0,180.0,,,,,,170.0,100.0,100.0,105.0,190.0,35.0,35.0,145.0,COMPLETE
8,8,0.8056856284627603,2025-01-01 20:19:09.274839,2025-01-01 20:19:23.971074,0 days 00:00:14.696235,3,155,10.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
9,9,0.6632563507200708,2025-01-01 20:19:23.971422,2025-01-01 20:19:53.760876,0 days 00:00:29.789454,6,95,20.0,,,,,,,,,,,60.0,170.0,105.0,160.0,,,,,COMPLETE
