,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.8455843469063987,2025-01-02 02:07:11.057649,2025-01-02 02:07:21.048389,0 days 00:00:09.990740,5,130,80.0,,,,,,,,,,,155.0,35.0,80.0,,,,,,COMPLETE
1,1,0.8548009367681498,2025-01-02 02:07:21.048924,2025-01-02 02:07:28.372432,0 days 00:00:07.323508,3,100,15.0,,,,,,,,,,,10.0,,,,,,,,COMPLETE
2,2,0.3479905437352246,2025-01-02 02:07:28.372940,2025-01-02 02:08:03.465769,0 days 00:00:35.092829,12,10,30.0,160.0,40.0,,,,,,,,,125.0,135.0,60.0,15.0,170.0,60.0,20.0,65.0,COMPLETE
3,3,0.8777777777777778,2025-01-02 02:08:03.466404,2025-01-02 02:08:08.442966,0 days 00:00:04.976562,1,100,,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,0.296969696969697,2025-01-02 02:08:08.443474,2025-01-02 02:08:54.848503,0 days 00:00:46.405029,17,65,10.0,10.0,90.0,5.0,95.0,30.0,110.0,155.0,,,,115.0,75.0,170.0,165.0,125.0,145.0,75.0,160.0,COMPLETE
5,5,0.5722610722610723,2025-01-02 02:08:54.849308,2025-01-02 02:09:46.819877,0 days 00:00:51.970569,19,145,150.0,125.0,10.0,185.0,145.0,145.0,195.0,130.0,45.0,195.0,,55.0,155.0,100.0,170.0,65.0,130.0,65.0,120.0,COMPLETE
6,6,0.36376811594202896,2025-01-02 02:09:46.820660,2025-01-02 02:10:09.617886,0 days 00:00:22.797226,10,95,35.0,,,,,,,,,,,25.0,75.0,20.0,10.0,45.0,130.0,175.0,160.0,COMPLETE
7,7,0.3469387755102041,2025-01-02 02:10:09.618664,2025-01-02 02:10:49.068598,0 days 00:00:39.449934,14,65,125.0,15.0,30.0,25.0,135.0,,,,,,,180.0,165.0,165.0,95.0,155.0,70.0,100.0,80.0,COMPLETE
8,8,0.4096774193548387,2025-01-02 02:10:49.069276,2025-01-02 02:11:32.932829,0 days 00:00:43.863553,16,75,75.0,100.0,65.0,175.0,45.0,145.0,55.0,,,,,30.0,5.0,175.0,85.0,155.0,80.0,70.0,125.0,COMPLETE
9,9,0.32810750279955203,2025-01-02 02:11:32.933556,2025-01-02 02:12:22.334621,0 days 00:00:49.401065,18,70,180.0,135.0,125.0,165.0,180.0,145.0,85.0,80.0,40.0,,,25.0,70.0,135.0,70.0,45.0,160.0,195.0,45.0,COMPLETE
10,10,0.4747311827956989,2025-01-02 02:12:22.335526,2025-01-02 02:12:34.950582,0 days 00:00:12.615056,7,185,200.0,,,,,,,,,,,80.0,190.0,5.0,140.0,90.0,,,,COMPLETE
11,11,0.8385416666666667,2025-01-02 02:12:34.951137,2025-01-02 02:12:39.956751,0 days 00:00:05.005614,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.7830237358101135,2025-01-02 02:12:39.957206,2025-01-02 02:12:44.369682,0 days 00:00:04.412476,1,15,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.8626262626262626,2025-01-02 02:12:44.370146,2025-01-02 02:12:53.151813,0 days 00:00:08.781667,4,105,65.0,,,,,,,,,,,70.0,115.0,,,,,,,COMPLETE
14,14,0.3620509243111266,2025-01-02 02:12:53.152288,2025-01-02 02:13:20.039943,0 days 00:00:26.887655,8,170,65.0,,,,,,,,,,,80.0,115.0,200.0,200.0,5.0,10.0,,,COMPLETE
15,15,0.8291777188328913,2025-01-02 02:13:20.040531,2025-01-02 02:13:28.829813,0 days 00:00:08.789282,4,45,110.0,,,,,,,,,,,200.0,105.0,,,,,,,COMPLETE
16,16,0.7202380952380952,2025-01-02 02:13:28.830390,2025-01-02 02:13:39.571689,0 days 00:00:10.741299,6,120,50.0,,,,,,,,,,,85.0,195.0,45.0,50.0,,,,,COMPLETE
17,17,0.8617133791644632,2025-01-02 02:13:39.572285,2025-01-02 02:13:46.908807,0 days 00:00:07.336522,3,160,145.0,,,,,,,,,,,145.0,,,,,,,,COMPLETE
18,18,0.39637228664882546,2025-01-02 02:13:46.909295,2025-01-02 02:14:12.941669,0 days 00:00:26.032374,9,40,100.0,,,,,,,,,,,60.0,40.0,130.0,125.0,5.0,200.0,135.0,,COMPLETE
19,19,0.8771883289124669,2025-01-02 02:14:12.942239,2025-01-02 02:14:17.915760,0 days 00:00:04.973521,1,110,,,,,,,,,,,,,,,,,,,,COMPLETE
20,20,0.8342780026990553,2025-01-02 02:14:17.916227,2025-01-02 02:14:22.961630,0 days 00:00:05.045403,1,200,,,,,,,,,,,,,,,,,,,,COMPLETE
21,21,0.8387096774193549,2025-01-02 02:14:22.962089,2025-01-02 02:14:30.321707,0 days 00:00:07.359618,3,115,95.0,,,,,,,,,,,50.0,,,,,,,,COMPLETE
22,22,0.7074041034790366,2025-01-02 02:14:30.322174,2025-01-02 02:14:40.439313,0 days 00:00:10.117139,5,90,55.0,,,,,,,,,,,95.0,125.0,115.0,,,,,,COMPLETE
23,23,0.8641025641025641,2025-01-02 02:14:40.439821,2025-01-02 02:14:46.528869,0 days 00:00:06.089048,2,115,125.0,,,,,,,,,,,,,,,,,,,COMPLETE
