,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.3709150326797386,2025-01-02 04:33:57.226712,2025-01-02 04:34:18.635039,0 days 00:00:21.408327,9,140,25.0,,,,,,,,,,,170.0,100.0,185.0,105.0,165.0,65.0,120.0,,COMPLETE
1,1,0.17735042735042736,2025-01-02 04:34:18.635754,2025-01-02 04:35:07.151544,0 days 00:00:48.515790,17,70,200.0,155.0,120.0,25.0,135.0,50.0,40.0,185.0,,,,15.0,190.0,70.0,105.0,80.0,195.0,190.0,190.0,COMPLETE
2,2,0.5384615384615384,2025-01-02 04:35:07.152386,2025-01-02 04:35:17.561801,0 days 00:00:10.409415,5,90,70.0,,,,,,,,,,,160.0,20.0,170.0,,,,,,COMPLETE
3,3,0.44787644787644787,2025-01-02 04:35:17.562372,2025-01-02 04:35:50.602247,0 days 00:00:33.039875,11,50,40.0,120.0,,,,,,,,,,165.0,165.0,115.0,160.0,30.0,130.0,30.0,60.0,COMPLETE
4,4,0.6319290465631929,2025-01-02 04:35:50.602932,2025-01-02 04:36:02.361028,0 days 00:00:11.758096,6,150,45.0,,,,,,,,,,,195.0,55.0,190.0,65.0,,,,,COMPLETE
5,5,0.49489795918367346,2025-01-02 04:36:02.361761,2025-01-02 04:36:38.941770,0 days 00:00:36.580009,12,160,155.0,130.0,70.0,,,,,,,,,45.0,160.0,60.0,190.0,185.0,40.0,140.0,50.0,COMPLETE
6,6,0.40672268907563025,2025-01-02 04:36:38.942469,2025-01-02 04:37:30.006614,0 days 00:00:51.064145,18,180,180.0,80.0,180.0,195.0,140.0,10.0,15.0,200.0,185.0,,,55.0,75.0,165.0,65.0,35.0,125.0,15.0,160.0,COMPLETE
7,7,0.4255952380952381,2025-01-02 04:37:30.007437,2025-01-02 04:37:47.937862,0 days 00:00:17.930425,10,60,200.0,,,,,,,,,,,180.0,90.0,35.0,175.0,100.0,55.0,130.0,5.0,COMPLETE
8,8,0.6031746031746031,2025-01-02 04:37:47.938524,2025-01-02 04:37:59.755720,0 days 00:00:11.817196,6,195,175.0,,,,,,,,,,,170.0,70.0,125.0,130.0,,,,,COMPLETE
9,9,0.3555555555555555,2025-01-02 04:37:59.756305,2025-01-02 04:38:51.563606,0 days 00:00:51.807301,19,120,55.0,75.0,65.0,85.0,180.0,55.0,165.0,30.0,20.0,55.0,,80.0,155.0,115.0,45.0,115.0,195.0,35.0,40.0,COMPLETE
