,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.5102101213376738,2025-01-02 06:45:16.790791,2025-01-02 06:45:29.484854,0 days 00:00:12.694063,6,75,120.0,,,,,,,,,,,65.0,115.0,80.0,50.0,,,,,COMPLETE
1,1,0.034482758620689655,2025-01-02 06:45:29.485411,2025-01-02 06:46:16.971688,0 days 00:00:47.486277,17,30,175.0,70.0,85.0,155.0,150.0,175.0,100.0,95.0,,,,45.0,85.0,70.0,85.0,175.0,45.0,145.0,140.0,COMPLETE
2,2,0.5200254291163382,2025-01-02 06:46:16.972556,2025-01-02 06:47:04.192520,0 days 00:00:47.219964,17,180,30.0,120.0,20.0,175.0,195.0,155.0,145.0,30.0,,,,40.0,155.0,15.0,100.0,80.0,150.0,100.0,20.0,COMPLETE
3,3,0.6424949290060853,2025-01-02 06:47:04.193591,2025-01-02 06:47:14.566259,0 days 00:00:10.372668,5,20,165.0,,,,,,,,,,,85.0,45.0,150.0,,,,,,COMPLETE
4,4,0.7600753604193972,2025-01-02 06:47:14.566831,2025-01-02 06:47:21.923574,0 days 00:00:07.356743,3,100,30.0,,,,,,,,,,,120.0,,,,,,,,COMPLETE
5,5,0.8291666666666666,2025-01-02 06:47:21.924074,2025-01-02 06:47:26.885645,0 days 00:00:04.961571,1,115,,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,0.5099920063948841,2025-01-02 06:47:26.886126,2025-01-02 06:48:13.694408,0 days 00:00:46.808282,17,155,170.0,65.0,190.0,75.0,20.0,175.0,105.0,45.0,,,,30.0,60.0,100.0,150.0,35.0,165.0,55.0,110.0,COMPLETE
7,7,0.45591702027345593,2025-01-02 06:48:13.695174,2025-01-02 06:49:00.361491,0 days 00:00:46.666317,17,165,15.0,10.0,155.0,105.0,200.0,30.0,65.0,65.0,,,,185.0,80.0,110.0,35.0,170.0,45.0,45.0,180.0,COMPLETE
8,8,0.652804711628241,2025-01-02 06:49:00.362234,2025-01-02 06:49:12.138334,0 days 00:00:11.776100,6,115,120.0,,,,,,,,,,,70.0,20.0,105.0,115.0,,,,,COMPLETE
9,9,0.42544802867383513,2025-01-02 06:49:12.138903,2025-01-02 06:49:22.212114,0 days 00:00:10.073211,5,190,90.0,,,,,,,,,,,155.0,150.0,170.0,,,,,,COMPLETE
10,10,0.5101853397896143,2025-01-02 06:49:22.212781,2025-01-02 06:49:56.541643,0 days 00:00:34.328862,11,75,75.0,195.0,,,,,,,,,,125.0,200.0,200.0,200.0,15.0,5.0,200.0,10.0,COMPLETE
11,11,0.8182447637181929,2025-01-02 06:49:56.542290,2025-01-02 06:50:01.486312,0 days 00:00:04.944022,1,120,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8321861684693543,2025-01-02 06:50:01.486793,2025-01-02 06:50:06.451334,0 days 00:00:04.964541,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.4445121951219512,2025-01-02 06:50:06.451811,2025-01-02 06:50:23.378457,0 days 00:00:16.926646,9,145,200.0,,,,,,,,,,,200.0,5.0,10.0,5.0,120.0,200.0,5.0,,COMPLETE
14,14,0.391350584898972,2025-01-02 06:50:23.379763,2025-01-02 06:50:43.796651,0 days 00:00:20.416888,10,75,60.0,,,,,,,,,,,10.0,185.0,45.0,200.0,110.0,105.0,165.0,60.0,COMPLETE
15,15,0.8402036048064085,2025-01-02 06:50:43.797298,2025-01-02 06:50:48.789615,0 days 00:00:04.992317,1,130,,,,,,,,,,,,,,,,,,,,COMPLETE
16,16,0.33284198113207547,2025-01-02 06:50:48.790074,2025-01-02 06:51:27.041332,0 days 00:00:38.251258,13,140,135.0,200.0,15.0,15.0,,,,,,,,160.0,115.0,140.0,150.0,65.0,100.0,105.0,195.0,COMPLETE
