,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.5105691056910568,2025-01-02 09:02:32.775843,2025-01-02 09:02:43.797120,0 days 00:00:11.021277,7,95,55.0,,,,,,,,,,,35.0,15.0,95.0,160.0,20.0,,,,COMPLETE
1,1,0.5948232951717272,2025-01-02 09:02:43.797764,2025-01-02 09:02:48.203623,0 days 00:00:04.405859,1,25,,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.459830866807611,2025-01-02 09:02:48.204088,2025-01-02 09:03:15.798194,0 days 00:00:27.594106,9,140,15.0,,,,,,,,,,,10.0,55.0,145.0,190.0,75.0,25.0,190.0,,COMPLETE
3,3,0.34966216216216217,2025-01-02 09:03:15.798851,2025-01-02 09:03:26.883491,0 days 00:00:11.084640,8,60,160.0,,,,,,,,,,,80.0,190.0,90.0,135.0,175.0,30.0,,,COMPLETE
4,4,0.2115384615384615,2025-01-02 09:03:26.884090,2025-01-02 09:04:00.504622,0 days 00:00:33.620532,11,90,100.0,5.0,,,,,,,,,,80.0,35.0,85.0,45.0,95.0,50.0,50.0,150.0,COMPLETE
5,5,0.5954545454545455,2025-01-02 09:04:00.505487,2025-01-02 09:04:09.085320,0 days 00:00:08.579833,5,5,180.0,,,,,,,,,,,175.0,20.0,155.0,,,,,,COMPLETE
6,6,0.4017094017094017,2025-01-02 09:04:09.085911,2025-01-02 09:04:47.379975,0 days 00:00:38.294064,13,55,135.0,10.0,65.0,185.0,,,,,,,,95.0,30.0,5.0,55.0,150.0,55.0,180.0,20.0,COMPLETE
7,7,0.5871975806451613,2025-01-02 09:04:47.380728,2025-01-02 09:05:28.232317,0 days 00:00:40.851589,14,95,165.0,45.0,80.0,120.0,75.0,,,,,,,190.0,150.0,100.0,30.0,175.0,190.0,105.0,5.0,COMPLETE
8,8,0.3798319327731092,2025-01-02 09:05:28.233091,2025-01-02 09:06:26.627051,0 days 00:00:58.393960,20,115,170.0,135.0,85.0,65.0,160.0,100.0,120.0,165.0,145.0,60.0,125.0,195.0,5.0,30.0,145.0,175.0,55.0,100.0,35.0,COMPLETE
9,9,0.5689655172413792,2025-01-02 09:06:26.640244,2025-01-02 09:07:08.421967,0 days 00:00:41.781723,14,110,105.0,115.0,10.0,155.0,180.0,,,,,,,190.0,180.0,45.0,30.0,80.0,185.0,185.0,175.0,COMPLETE
10,10,0.5624103299856529,2025-01-02 09:07:08.422977,2025-01-02 09:07:12.521252,0 days 00:00:04.098275,2,200,200.0,,,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.6257142857142857,2025-01-02 09:07:12.521782,2025-01-02 09:07:17.553928,0 days 00:00:05.032146,1,10,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.49810606060606055,2025-01-02 09:07:17.554400,2025-01-02 09:07:25.463368,0 days 00:00:07.908968,4,5,200.0,,,,,,,,,,,140.0,95.0,,,,,,,COMPLETE
13,13,0.6191489361702127,2025-01-02 09:07:25.463887,2025-01-02 09:07:34.096876,0 days 00:00:08.632989,5,30,95.0,,,,,,,,,,,140.0,85.0,200.0,,,,,,COMPLETE
14,14,0.6447124304267161,2025-01-02 09:07:34.097420,2025-01-02 09:07:39.593984,0 days 00:00:05.496564,4,45,65.0,,,,,,,,,,,135.0,90.0,,,,,,,COMPLETE
