,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.3071452020234658,2025-01-02 21:14:28.817260,2025-01-02 21:17:37.267130,0 days 00:03:08.449870,10,130,75.0,,,,,,,,,,,140.0,115.0,25.0,115.0,145.0,65.0,120.0,85.0,COMPLETE
1,1,0.20736776777814867,2025-01-02 21:17:37.267860,2025-01-02 21:20:33.203671,0 days 00:02:55.935811,12,90,140.0,45.0,125.0,,,,,,,,,10.0,80.0,100.0,45.0,200.0,90.0,60.0,80.0,COMPLETE
2,2,0.8694621427784176,2025-01-02 21:20:33.204371,2025-01-02 21:22:17.413722,0 days 00:01:44.209351,7,155,5.0,,,,,,,,,,,95.0,185.0,5.0,20.0,35.0,,,,COMPLETE
3,3,0.3683251909159293,2025-01-02 21:22:17.414334,2025-01-02 21:25:55.862798,0 days 00:03:38.448464,12,55,80.0,30.0,125.0,,,,,,,,,65.0,160.0,160.0,115.0,160.0,175.0,95.0,105.0,COMPLETE
4,4,0.3691223401691108,2025-01-02 21:25:55.863459,2025-01-02 21:31:56.771669,0 days 00:06:00.908210,20,155,160.0,75.0,25.0,135.0,130.0,145.0,105.0,110.0,185.0,65.0,185.0,15.0,15.0,140.0,195.0,50.0,115.0,180.0,80.0,COMPLETE
5,5,0.45868063182654517,2025-01-02 21:31:56.772425,2025-01-02 21:34:53.155524,0 days 00:02:56.383099,13,25,115.0,120.0,55.0,160.0,,,,,,,,100.0,20.0,75.0,145.0,100.0,85.0,5.0,70.0,COMPLETE
6,6,0.30826573395779533,2025-01-02 21:34:53.156297,2025-01-02 21:38:20.219680,0 days 00:03:27.063383,10,105,180.0,,,,,,,,,,,195.0,155.0,50.0,150.0,140.0,45.0,85.0,85.0,COMPLETE
7,7,0.6673047092514517,2025-01-02 21:38:20.220373,2025-01-02 21:40:40.135483,0 days 00:02:19.915110,7,95,70.0,,,,,,,,,,,160.0,195.0,90.0,150.0,165.0,,,,COMPLETE
8,8,0.3764682525292817,2025-01-02 21:40:40.136144,2025-01-02 21:45:51.066336,0 days 00:05:10.930192,17,160,120.0,140.0,110.0,170.0,160.0,90.0,110.0,115.0,,,,70.0,65.0,20.0,65.0,65.0,185.0,165.0,100.0,COMPLETE
9,9,0.43991747258022185,2025-01-02 21:45:51.067060,2025-01-02 21:51:15.940893,0 days 00:05:24.873833,16,120,145.0,140.0,180.0,75.0,175.0,60.0,90.0,,,,,140.0,165.0,190.0,185.0,25.0,70.0,95.0,130.0,COMPLETE
10,10,0.8802190646267138,2025-01-02 21:51:15.941630,2025-01-02 21:52:02.672252,0 days 00:00:46.730622,1,200,,,,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.8709462705898328,2025-01-02 21:52:02.672758,2025-01-02 21:52:54.382189,0 days 00:00:51.709431,2,200,10.0,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.8820307483325466,2025-01-02 21:52:54.382693,2025-01-02 21:53:41.421177,0 days 00:00:47.038484,1,200,,,,,,,,,,,,,,,,,,,,COMPLETE
