,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.6309734513274337,2025-01-03 20:48:25.192446,2025-01-03 20:48:38.539048,0 days 00:00:13.346602,6,40,130.0,,,,,,,,,,,75.0,35.0,100.0,80.0,,,,,COMPLETE
1,1,0.6178616023872847,2025-01-03 20:48:38.539505,2025-01-03 20:49:40.909307,0 days 00:01:02.369802,20,120,85.0,170.0,20.0,50.0,80.0,180.0,125.0,80.0,70.0,50.0,40.0,65.0,200.0,100.0,40.0,75.0,65.0,85.0,95.0,COMPLETE
2,2,0.5057919621749409,2025-01-03 20:49:40.910133,2025-01-03 20:50:54.328715,0 days 00:01:13.418582,20,70,130.0,25.0,60.0,5.0,145.0,40.0,80.0,170.0,155.0,185.0,145.0,50.0,110.0,175.0,100.0,60.0,150.0,155.0,115.0,COMPLETE
3,3,0.959866220735786,2025-01-03 20:50:54.329698,2025-01-03 20:50:58.273835,0 days 00:00:03.944137,1,125,,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,0.5456890767320433,2025-01-03 20:50:58.274164,2025-01-03 20:51:29.098732,0 days 00:00:30.824568,10,20,135.0,,,,,,,,,,,90.0,45.0,115.0,45.0,40.0,180.0,10.0,85.0,COMPLETE
5,5,0.6050006354047528,2025-01-03 20:51:29.099183,2025-01-03 20:52:16.635856,0 days 00:00:47.536673,11,155,115.0,140.0,,,,,,,,,,120.0,45.0,170.0,85.0,145.0,170.0,85.0,130.0,COMPLETE
6,6,0.49751078360891443,2025-01-03 20:52:16.636382,2025-01-03 20:53:01.614042,0 days 00:00:44.977660,15,25,145.0,50.0,85.0,50.0,40.0,200.0,,,,,,5.0,40.0,50.0,85.0,195.0,60.0,80.0,140.0,COMPLETE
7,7,0.762568891782375,2025-01-03 20:53:01.614649,2025-01-03 20:53:13.371104,0 days 00:00:11.756455,5,45,155.0,,,,,,,,,,,25.0,10.0,25.0,,,,,,COMPLETE
8,8,0.9516716852409471,2025-01-03 20:53:13.371690,2025-01-03 20:53:19.452622,0 days 00:00:06.080932,4,115,115.0,,,,,,,,,,,95.0,55.0,,,,,,,COMPLETE
9,9,0.6874842421841233,2025-01-03 20:53:19.452975,2025-01-03 20:54:15.352387,0 days 00:00:55.899412,14,35,115.0,125.0,115.0,140.0,95.0,,,,,,,190.0,35.0,185.0,75.0,55.0,75.0,200.0,170.0,COMPLETE
10,10,0.9523696523690941,2025-01-03 20:54:15.353592,2025-01-03 20:54:20.076336,0 days 00:00:04.722744,2,195,30.0,,,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.9582552954292085,2025-01-03 20:54:20.076682,2025-01-03 20:54:25.146760,0 days 00:00:05.070078,1,195,,,,,,,,,,,,,,,,,,,,COMPLETE
