,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.0,2025-01-02 21:37:59.921683,2025-01-02 21:38:12.813332,0 days 00:00:12.891649,6,120,130.0,,,,,,,,,,,125.0,200.0,180.0,125.0,,,,,6,4.0,,,,,,,,,,,3.0,6.0,5.0,4.0,,,,,2,5.0,,,,,,,,,,,3.0,6.0,2.0,2.0,,,,,COMPLETE
1,1,0.6666666624749442,2025-01-02 21:38:12.814223,2025-01-02 21:38:22.621755,0 days 00:00:09.807532,13,10,65.0,115.0,35.0,200.0,,,,,,,,125.0,200.0,120.0,65.0,30.0,45.0,65.0,20.0,4,4.0,3.0,4.0,3.0,,,,,,,,3.0,4.0,4.0,3.0,3.0,2.0,3.0,6.0,6,2.0,3.0,4.0,3.0,,,,,,,,4.0,5.0,4.0,5.0,5.0,3.0,4.0,6.0,COMPLETE
2,2,0.6666666624749442,2025-01-02 21:38:22.623377,2025-01-02 21:38:42.603006,0 days 00:00:19.979629,20,150,125.0,25.0,5.0,100.0,80.0,20.0,90.0,55.0,30.0,95.0,125.0,200.0,110.0,75.0,145.0,30.0,185.0,5.0,35.0,2,4.0,6.0,4.0,5.0,3.0,6.0,5.0,4.0,2.0,2.0,2.0,5.0,5.0,6.0,3.0,3.0,6.0,5.0,6.0,3,4.0,3.0,5.0,5.0,2.0,2.0,4.0,6.0,5.0,3.0,4.0,6.0,2.0,5.0,5.0,4.0,6.0,5.0,5.0,COMPLETE
3,3,0.8451849056534393,2025-01-02 21:38:42.605155,2025-01-02 21:38:47.022846,0 days 00:00:04.417691,2,40,105.0,,,,,,,,,,,,,,,,,,,2,2.0,,,,,,,,,,,,,,,,,,,3,4.0,,,,,,,,,,,,,,,,,,,COMPLETE
4,4,0.0,2025-01-02 21:38:47.023483,2025-01-02 21:39:49.753643,0 days 00:01:02.730160,8,155,65.0,,,,,,,,,,,140.0,105.0,95.0,35.0,35.0,150.0,,,4,2.0,,,,,,,,,,,5.0,5.0,3.0,6.0,4.0,5.0,,,4,4.0,,,,,,,,,,,2.0,4.0,5.0,4.0,5.0,6.0,,,COMPLETE
5,5,0.0,2025-01-02 21:39:49.755200,2025-01-02 21:40:18.641766,0 days 00:00:28.886566,20,65,140.0,185.0,175.0,120.0,100.0,120.0,185.0,65.0,100.0,155.0,125.0,175.0,120.0,105.0,30.0,170.0,125.0,45.0,10.0,2,4.0,6.0,3.0,5.0,5.0,6.0,3.0,4.0,2.0,6.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,6.0,4.0,6,3.0,6.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,6.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,COMPLETE
6,6,0.8214545493606444,2025-01-02 21:40:18.643674,2025-01-02 21:40:36.420376,0 days 00:00:17.776702,2,115,100.0,,,,,,,,,,,,,,,,,,,5,6.0,,,,,,,,,,,,,,,,,,,5,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
7,7,0.7923092706047243,2025-01-02 21:40:36.421198,2025-01-02 21:41:48.244684,0 days 00:01:11.823486,11,60,30.0,140.0,,,,,,,,,,125.0,65.0,90.0,170.0,50.0,10.0,165.0,70.0,5,4.0,4.0,,,,,,,,,,5.0,2.0,6.0,3.0,5.0,5.0,5.0,2.0,5,2.0,6.0,,,,,,,,,,4.0,4.0,3.0,2.0,6.0,3.0,6.0,6.0,COMPLETE
8,8,0.6666666624749442,2025-01-02 21:41:48.246983,2025-01-02 21:41:54.778207,0 days 00:00:06.531224,4,150,130.0,,,,,,,,,,,40.0,180.0,,,,,,,4,5.0,,,,,,,,,,,4.0,2.0,,,,,,,4,5.0,,,,,,,,,,,3.0,3.0,,,,,,,COMPLETE
9,9,0.0,2025-01-02 21:41:54.779023,2025-01-02 21:42:34.579378,0 days 00:00:39.800355,19,85,160.0,100.0,85.0,30.0,150.0,85.0,50.0,185.0,135.0,65.0,,5.0,180.0,35.0,120.0,170.0,15.0,50.0,190.0,4,3.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,5.0,4.0,,2.0,4.0,6.0,2.0,4.0,4.0,2.0,4.0,2,3.0,6.0,6.0,5.0,6.0,3.0,6.0,3.0,5.0,2.0,,3.0,5.0,6.0,3.0,3.0,4.0,5.0,4.0,COMPLETE
