,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.0,2025-01-02 22:19:58.924799,2025-01-02 22:20:11.100345,0 days 00:00:12.175546,19,35,135.0,115.0,65.0,185.0,35.0,30.0,100.0,30.0,195.0,45.0,,45.0,95.0,175.0,135.0,165.0,125.0,55.0,65.0,4,4.0,2.0,5.0,2.0,6.0,5.0,3.0,6.0,4.0,6.0,,5.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2,5.0,2.0,2.0,6.0,3.0,6.0,6.0,3.0,5.0,6.0,,2.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,COMPLETE
1,1,0.0,2025-01-02 22:20:11.102594,2025-01-02 22:20:16.880398,0 days 00:00:05.777804,9,190,135.0,,,,,,,,,,,160.0,165.0,65.0,10.0,80.0,75.0,95.0,,4,5.0,,,,,,,,,,,6.0,6.0,4.0,4.0,2.0,5.0,6.0,,6,5.0,,,,,,,,,,,3.0,2.0,4.0,6.0,5.0,5.0,5.0,,COMPLETE
2,2,0.7428505747126437,2025-01-02 22:20:16.883194,2025-01-02 22:20:54.449784,0 days 00:00:37.566590,13,175,75.0,25.0,190.0,105.0,,,,,,,,195.0,145.0,15.0,45.0,25.0,115.0,160.0,115.0,3,3.0,6.0,2.0,4.0,,,,,,,,6.0,3.0,3.0,6.0,4.0,5.0,5.0,5.0,4,2.0,2.0,3.0,4.0,,,,,,,,2.0,5.0,2.0,3.0,5.0,5.0,6.0,6.0,COMPLETE
3,3,0.6666666666666666,2025-01-02 22:20:54.451436,2025-01-02 22:21:03.960734,0 days 00:00:09.509298,20,60,100.0,100.0,100.0,175.0,125.0,190.0,20.0,165.0,150.0,45.0,170.0,45.0,15.0,190.0,80.0,115.0,160.0,145.0,185.0,5,6.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,2.0,6.0,3.0,4.0,4,3.0,6.0,4.0,3.0,3.0,5.0,6.0,4.0,3.0,6.0,5.0,3.0,4.0,3.0,5.0,2.0,4.0,5.0,5.0,COMPLETE
4,4,0.7681818181818182,2025-01-02 22:21:03.963177,2025-01-02 22:21:14.875862,0 days 00:00:10.912685,4,195,140.0,,,,,,,,,,,75.0,150.0,,,,,,,3,6.0,,,,,,,,,,,6.0,2.0,,,,,,,3,3.0,,,,,,,,,,,2.0,6.0,,,,,,,COMPLETE
5,5,0.0,2025-01-02 22:21:14.877012,2025-01-02 22:21:29.336599,0 days 00:00:14.459587,19,100,60.0,85.0,160.0,40.0,135.0,5.0,130.0,20.0,200.0,135.0,,85.0,185.0,35.0,130.0,150.0,105.0,40.0,130.0,3,5.0,2.0,5.0,3.0,6.0,6.0,3.0,4.0,4.0,3.0,,6.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,4,5.0,6.0,4.0,4.0,4.0,6.0,3.0,3.0,5.0,5.0,,3.0,3.0,6.0,5.0,5.0,2.0,6.0,2.0,COMPLETE
6,6,0.6666666666666666,2025-01-02 22:21:29.338613,2025-01-02 22:22:13.305515,0 days 00:00:43.966902,16,195,70.0,180.0,180.0,90.0,15.0,65.0,20.0,,,,,55.0,160.0,195.0,145.0,100.0,170.0,95.0,130.0,6,5.0,2.0,4.0,6.0,3.0,4.0,3.0,,,,,4.0,2.0,5.0,4.0,6.0,4.0,2.0,2.0,4,4.0,5.0,6.0,3.0,3.0,5.0,2.0,,,,,5.0,5.0,3.0,6.0,3.0,5.0,3.0,6.0,COMPLETE
7,7,0.6666666666666666,2025-01-02 22:22:13.307306,2025-01-02 22:22:15.765022,0 days 00:00:02.457716,6,10,125.0,,,,,,,,,,,85.0,40.0,195.0,125.0,,,,,5,6.0,,,,,,,,,,,6.0,2.0,2.0,5.0,,,,,3,5.0,,,,,,,,,,,6.0,2.0,3.0,2.0,,,,,COMPLETE
8,8,0.0,2025-01-02 22:22:15.766402,2025-01-02 22:22:19.381593,0 days 00:00:03.615191,10,65,50.0,,,,,,,,,,,55.0,75.0,170.0,50.0,150.0,195.0,15.0,45.0,2,5.0,,,,,,,,,,,3.0,6.0,5.0,2.0,5.0,5.0,5.0,3.0,2,6.0,,,,,,,,,,,2.0,6.0,5.0,4.0,5.0,4.0,2.0,2.0,COMPLETE
9,9,0.6666666666666666,2025-01-02 22:22:19.383309,2025-01-02 22:22:26.417992,0 days 00:00:07.034683,15,105,85.0,20.0,135.0,65.0,90.0,120.0,,,,,,60.0,10.0,95.0,90.0,180.0,130.0,55.0,30.0,4,2.0,4.0,4.0,6.0,5.0,3.0,,,,,,6.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,3,3.0,5.0,4.0,5.0,4.0,4.0,,,,,,4.0,5.0,3.0,3.0,6.0,6.0,6.0,4.0,COMPLETE
