,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.6666666666666666,2025-01-02 22:30:59.721541,2025-01-02 22:31:07.984291,0 days 00:00:08.262750,16,70,145.0,195.0,150.0,60.0,125.0,10.0,70.0,,,,,45.0,130.0,35.0,90.0,85.0,50.0,200.0,150.0,3,2.0,5.0,5.0,3.0,4.0,5.0,6.0,,,,,4.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,6,5.0,2.0,3.0,3.0,3.0,5.0,4.0,,,,,4.0,5.0,6.0,6.0,5.0,4.0,6.0,4.0,COMPLETE
1,1,0.6666666666666666,2025-01-02 22:31:07.986428,2025-01-02 22:31:10.409750,0 days 00:00:02.423322,6,85,125.0,,,,,,,,,,,115.0,50.0,155.0,25.0,,,,,5,5.0,,,,,,,,,,,2.0,2.0,6.0,6.0,,,,,3,2.0,,,,,,,,,,,2.0,2.0,5.0,5.0,,,,,COMPLETE
2,2,0.0,2025-01-02 22:31:10.411344,2025-01-02 22:31:16.727568,0 days 00:00:06.316224,16,105,110.0,135.0,125.0,105.0,180.0,110.0,180.0,,,,,115.0,100.0,70.0,140.0,120.0,120.0,15.0,135.0,6,2.0,2.0,4.0,3.0,5.0,2.0,3.0,,,,,3.0,2.0,2.0,2.0,3.0,2.0,6.0,5.0,2,5.0,2.0,6.0,6.0,3.0,2.0,3.0,,,,,2.0,4.0,6.0,4.0,6.0,4.0,5.0,5.0,COMPLETE
3,3,0.0,2025-01-02 22:31:16.729373,2025-01-02 22:31:21.548018,0 days 00:00:04.818645,14,25,195.0,35.0,130.0,10.0,165.0,,,,,,,170.0,85.0,155.0,105.0,140.0,95.0,65.0,125.0,4,4.0,3.0,2.0,2.0,2.0,,,,,,,5.0,6.0,2.0,5.0,5.0,4.0,6.0,4.0,5,4.0,3.0,5.0,2.0,2.0,,,,,,,5.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,COMPLETE
4,4,0.03125,2025-01-02 22:31:21.549444,2025-01-02 22:31:32.240903,0 days 00:00:10.691459,6,15,75.0,,,,,,,,,,,35.0,140.0,170.0,145.0,,,,,2,4.0,,,,,,,,,,,5.0,5.0,2.0,2.0,,,,,6,4.0,,,,,,,,,,,2.0,2.0,5.0,6.0,,,,,COMPLETE
5,5,0.566468253968254,2025-01-02 22:31:32.242523,2025-01-02 22:31:50.668121,0 days 00:00:18.425598,9,65,195.0,,,,,,,,,,,155.0,45.0,25.0,5.0,30.0,120.0,20.0,,5,2.0,,,,,,,,,,,2.0,5.0,2.0,4.0,5.0,3.0,4.0,,3,3.0,,,,,,,,,,,5.0,2.0,6.0,3.0,5.0,5.0,4.0,,COMPLETE
6,6,0.6369047619047619,2025-01-02 22:31:50.670233,2025-01-02 22:31:55.127650,0 days 00:00:04.457417,3,195,110.0,,,,,,,,,,,15.0,,,,,,,,5,6.0,,,,,,,,,,,3.0,,,,,,,,3,5.0,,,,,,,,,,,6.0,,,,,,,,COMPLETE
7,7,0.0,2025-01-02 22:31:55.128991,2025-01-02 22:31:59.796244,0 days 00:00:04.667253,9,125,140.0,,,,,,,,,,,75.0,140.0,60.0,50.0,80.0,105.0,45.0,,3,2.0,,,,,,,,,,,3.0,3.0,3.0,6.0,4.0,3.0,2.0,,3,4.0,,,,,,,,,,,5.0,2.0,5.0,2.0,4.0,3.0,6.0,,COMPLETE
8,8,0.6666666666666666,2025-01-02 22:31:59.797996,2025-01-02 22:32:04.063943,0 days 00:00:04.265947,13,150,65.0,50.0,165.0,55.0,,,,,,,,115.0,150.0,165.0,85.0,145.0,75.0,10.0,200.0,4,4.0,5.0,5.0,5.0,,,,,,,,4.0,2.0,6.0,4.0,6.0,2.0,2.0,4.0,4,2.0,4.0,5.0,6.0,,,,,,,,4.0,2.0,3.0,6.0,6.0,4.0,3.0,4.0,COMPLETE
9,9,0.0,2025-01-02 22:32:04.066768,2025-01-02 22:32:52.692297,0 days 00:00:48.625529,17,5,75.0,180.0,180.0,15.0,45.0,75.0,150.0,165.0,,,,190.0,190.0,80.0,30.0,165.0,85.0,85.0,120.0,2,4.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,,,,3.0,2.0,3.0,6.0,6.0,4.0,6.0,6.0,6,6.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,,,,6.0,4.0,2.0,5.0,6.0,3.0,4.0,4.0,COMPLETE
10,10,0.0,2025-01-02 22:32:52.694814,2025-01-02 22:34:18.847868,0 days 00:01:26.153054,20,45,25.0,200.0,30.0,200.0,95.0,5.0,25.0,5.0,45.0,65.0,190.0,60.0,15.0,5.0,190.0,5.0,20.0,200.0,30.0,3,3.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,4.0,5.0,3.0,2.0,6.0,4.0,2.0,5,6.0,6.0,2.0,4.0,6.0,6.0,6.0,2.0,4.0,5.0,5.0,3.0,6.0,4.0,6.0,2.0,6.0,6.0,6.0,COMPLETE
11,11,0.7106060606060607,2025-01-02 22:34:18.851856,2025-01-02 22:34:21.360089,0 days 00:00:02.508233,1,75,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.7561219390304847,2025-01-02 22:34:21.360615,2025-01-02 22:34:24.362692,0 days 00:00:03.002077,1,70,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.8002222839677688,2025-01-02 22:34:24.363276,2025-01-02 22:34:28.022025,0 days 00:00:03.658749,1,115,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
14,14,0.8455843469063987,2025-01-02 22:34:28.022602,2025-01-02 22:34:31.121914,0 days 00:00:03.099312,1,145,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
15,15,0.5484330484330484,2025-01-02 22:34:31.122476,2025-01-02 22:34:48.173350,0 days 00:00:17.050874,5,155,15.0,,,,,,,,,,,5.0,190.0,115.0,,,,,,6,6.0,,,,,,,,,,,6.0,6.0,4.0,,,,,,5,3.0,,,,,,,,,,,3.0,6.0,2.0,,,,,,COMPLETE
16,16,0.7822954194544518,2025-01-02 22:34:48.174754,2025-01-02 22:34:52.436643,0 days 00:00:04.261889,4,180,160.0,,,,,,,,,,,145.0,5.0,,,,,,,5,5.0,,,,,,,,,,,5.0,4.0,,,,,,,4,3.0,,,,,,,,,,,3.0,3.0,,,,,,,COMPLETE
17,17,0.0,2025-01-02 22:34:52.437520,2025-01-02 22:34:55.222830,0 days 00:00:02.785310,8,120,45.0,,,,,,,,,,,85.0,70.0,115.0,195.0,200.0,195.0,,,4,3.0,,,,,,,,,,,6.0,3.0,4.0,3.0,2.0,6.0,,,5,6.0,,,,,,,,,,,6.0,5.0,3.0,2.0,2.0,2.0,,,COMPLETE
18,18,0.8838383838383839,2025-01-02 22:34:55.224405,2025-01-02 22:34:58.966300,0 days 00:00:03.741895,2,145,160.0,,,,,,,,,,,,,,,,,,,6,5.0,,,,,,,,,,,,,,,,,,,6,2.0,,,,,,,,,,,,,,,,,,,COMPLETE
19,19,0.7375565610859729,2025-01-02 22:34:58.967094,2025-01-02 22:35:03.641829,0 days 00:00:04.674735,3,150,160.0,,,,,,,,,,,195.0,,,,,,,,5,5.0,,,,,,,,,,,2.0,,,,,,,,6,2.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
20,20,0.0,2025-01-02 22:35:03.642622,2025-01-02 22:35:08.309758,0 days 00:00:04.667136,11,175,175.0,95.0,,,,,,,,,,140.0,170.0,195.0,155.0,40.0,200.0,135.0,40.0,6,6.0,4.0,,,,,,,,,,4.0,5.0,5.0,3.0,3.0,5.0,3.0,6.0,6,3.0,6.0,,,,,,,,,,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,COMPLETE
21,21,0.7704301075268818,2025-01-02 22:35:08.311857,2025-01-02 22:35:11.440578,0 days 00:00:03.128721,1,115,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.8375,2025-01-02 22:35:11.441207,2025-01-02 22:35:17.732664,0 days 00:00:06.291457,3,135,90.0,,,,,,,,,,,100.0,,,,,,,,6,3.0,,,,,,,,,,,5.0,,,,,,,,5,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
23,23,0.6514423076923077,2025-01-02 22:35:17.733511,2025-01-02 22:35:24.804926,0 days 00:00:07.071415,3,135,90.0,,,,,,,,,,,95.0,,,,,,,,5,3.0,,,,,,,,,,,5.0,,,,,,,,6,2.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
24,24,0.9016129032258065,2025-01-02 22:35:24.805848,2025-01-02 22:35:35.587924,0 days 00:00:10.782076,7,165,50.0,,,,,,,,,,,70.0,115.0,135.0,65.0,200.0,,,,6,5.0,,,,,,,,,,,5.0,4.0,3.0,5.0,4.0,,,,4,2.0,,,,,,,,,,,5.0,3.0,4.0,3.0,3.0,,,,COMPLETE
25,25,0.8095238095238095,2025-01-02 22:35:35.589369,2025-01-02 22:35:47.403678,0 days 00:00:11.814309,7,165,45.0,,,,,,,,,,,65.0,115.0,130.0,65.0,190.0,,,,5,5.0,,,,,,,,,,,6.0,4.0,3.0,5.0,4.0,,,,4,3.0,,,,,,,,,,,6.0,3.0,4.0,3.0,3.0,,,,COMPLETE
