,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.4865319865319865,2025-01-02 22:44:10.948362,2025-01-02 22:44:14.011207,0 days 00:00:03.062845,1,95,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.0,2025-01-02 22:44:14.011759,2025-01-02 22:44:18.811914,0 days 00:00:04.800155,13,130,135.0,50.0,200.0,145.0,,,,,,,,30.0,55.0,65.0,40.0,60.0,20.0,90.0,40.0,5,3.0,4.0,5.0,5.0,,,,,,,,5.0,2.0,5.0,4.0,5.0,6.0,2.0,2.0,5,3.0,4.0,2.0,3.0,,,,,,,,6.0,4.0,3.0,4.0,3.0,2.0,6.0,5.0,COMPLETE
2,2,0.0,2025-01-02 22:44:18.814249,2025-01-02 22:44:27.466116,0 days 00:00:08.651867,16,175,70.0,75.0,55.0,120.0,60.0,55.0,200.0,,,,,115.0,45.0,10.0,195.0,120.0,195.0,165.0,110.0,4,6.0,6.0,6.0,3.0,5.0,6.0,5.0,,,,,5.0,4.0,4.0,3.0,2.0,5.0,2.0,6.0,2,2.0,2.0,3.0,5.0,6.0,5.0,3.0,,,,,5.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,COMPLETE
3,3,0.6666666666666666,2025-01-02 22:44:27.467569,2025-01-02 22:44:39.706040,0 days 00:00:12.238471,20,165,5.0,30.0,190.0,125.0,100.0,180.0,145.0,15.0,175.0,95.0,185.0,30.0,30.0,35.0,130.0,165.0,165.0,65.0,65.0,6,6.0,2.0,2.0,6.0,2.0,6.0,5.0,3.0,4.0,4.0,6.0,5.0,5.0,4.0,2.0,3.0,6.0,2.0,5.0,5,5.0,6.0,5.0,6.0,2.0,4.0,3.0,5.0,2.0,6.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,4.0,3.0,COMPLETE
4,4,0.0,2025-01-02 22:44:39.709502,2025-01-02 22:45:22.983294,0 days 00:00:43.273792,13,195,40.0,190.0,180.0,110.0,,,,,,,,190.0,55.0,10.0,175.0,150.0,85.0,75.0,25.0,2,3.0,4.0,5.0,5.0,,,,,,,,5.0,4.0,6.0,6.0,6.0,3.0,4.0,6.0,5,6.0,2.0,2.0,2.0,,,,,,,,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,COMPLETE
5,5,0.5244444444444445,2025-01-02 22:45:22.985707,2025-01-02 22:45:25.437912,0 days 00:00:02.452205,1,160,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,0.0,2025-01-02 22:45:25.438992,2025-01-02 22:45:48.648516,0 days 00:00:23.209524,20,15,25.0,55.0,50.0,75.0,50.0,180.0,110.0,25.0,145.0,115.0,55.0,20.0,150.0,85.0,60.0,40.0,110.0,55.0,15.0,5,2.0,3.0,6.0,6.0,5.0,3.0,6.0,6.0,4.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,6,5.0,6.0,5.0,2.0,2.0,4.0,6.0,2.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,6.0,COMPLETE
7,7,0.0,2025-01-02 22:45:48.652271,2025-01-02 22:46:32.953199,0 days 00:00:44.300928,16,165,95.0,35.0,110.0,195.0,60.0,115.0,185.0,,,,,135.0,20.0,50.0,60.0,55.0,130.0,155.0,130.0,3,2.0,6.0,3.0,6.0,3.0,3.0,6.0,,,,,4.0,5.0,3.0,5.0,2.0,4.0,2.0,2.0,2,6.0,2.0,4.0,6.0,4.0,4.0,2.0,,,,,5.0,4.0,5.0,6.0,4.0,5.0,4.0,3.0,COMPLETE
8,8,0.0,2025-01-02 22:46:32.955315,2025-01-02 22:46:41.508349,0 days 00:00:08.553034,17,80,145.0,185.0,180.0,145.0,105.0,100.0,45.0,120.0,,,,65.0,165.0,60.0,15.0,65.0,45.0,130.0,150.0,6,4.0,6.0,3.0,2.0,2.0,6.0,6.0,5.0,,,,4.0,3.0,2.0,6.0,3.0,5.0,3.0,6.0,2,6.0,5.0,4.0,4.0,6.0,4.0,2.0,4.0,,,,6.0,4.0,6.0,4.0,3.0,5.0,2.0,5.0,COMPLETE
9,9,0.0,2025-01-02 22:46:41.511077,2025-01-02 22:46:51.765293,0 days 00:00:10.254216,17,55,90.0,145.0,95.0,85.0,100.0,35.0,70.0,130.0,,,,35.0,70.0,175.0,15.0,125.0,180.0,50.0,60.0,4,6.0,2.0,3.0,5.0,3.0,6.0,2.0,4.0,,,,5.0,5.0,6.0,4.0,3.0,5.0,2.0,6.0,3,3.0,5.0,5.0,6.0,5.0,4.0,5.0,2.0,,,,3.0,5.0,5.0,6.0,3.0,5.0,4.0,5.0,COMPLETE
10,10,0.0,2025-01-02 22:46:51.767949,2025-01-02 22:46:54.657464,0 days 00:00:02.889515,7,130,190.0,,,,,,,,,,,85.0,120.0,140.0,130.0,200.0,,,,6,5.0,,,,,,,,,,,2.0,6.0,4.0,2.0,4.0,,,,4,4.0,,,,,,,,,,,2.0,2.0,6.0,2.0,6.0,,,,COMPLETE
11,11,0.0,2025-01-02 22:46:54.659469,2025-01-02 22:46:56.815356,0 days 00:00:02.155887,6,140,10.0,,,,,,,,,,,5.0,5.0,120.0,115.0,,,,,6,5.0,,,,,,,,,,,2.0,5.0,2.0,2.0,,,,,5,4.0,,,,,,,,,,,2.0,3.0,2.0,5.0,,,,,COMPLETE
12,12,0.5835866261398176,2025-01-02 22:46:56.817039,2025-01-02 22:46:58.465943,0 days 00:00:01.648904,1,195,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.0,2025-01-02 22:46:58.466993,2025-01-02 22:47:02.018436,0 days 00:00:03.551443,7,200,200.0,,,,,,,,,,,170.0,100.0,40.0,150.0,195.0,,,,6,5.0,,,,,,,,,,,3.0,3.0,4.0,3.0,4.0,,,,4,5.0,,,,,,,,,,,3.0,6.0,4.0,3.0,6.0,,,,COMPLETE
14,14,0.5944942777605939,2025-01-02 22:47:02.020465,2025-01-02 22:47:09.011105,0 days 00:00:06.990640,4,180,50.0,,,,,,,,,,,60.0,90.0,,,,,,,5,6.0,,,,,,,,,,,6.0,4.0,,,,,,,3,5.0,,,,,,,,,,,3.0,3.0,,,,,,,COMPLETE
15,15,0.6363636363636364,2025-01-02 22:47:09.012674,2025-01-02 22:47:15.132745,0 days 00:00:06.120071,4,115,50.0,,,,,,,,,,,60.0,100.0,,,,,,,3,6.0,,,,,,,,,,,6.0,4.0,,,,,,,3,5.0,,,,,,,,,,,3.0,3.0,,,,,,,COMPLETE
16,16,0.3136327817178881,2025-01-02 22:47:15.134228,2025-01-02 22:47:25.637261,0 days 00:00:10.503033,9,105,5.0,,,,,,,,,,,60.0,125.0,190.0,85.0,155.0,155.0,10.0,,3,6.0,,,,,,,,,,,6.0,5.0,3.0,3.0,3.0,2.0,6.0,,3,4.0,,,,,,,,,,,2.0,3.0,6.0,5.0,5.0,6.0,2.0,,COMPLETE
17,17,0.6666666666666666,2025-01-02 22:47:25.639704,2025-01-02 22:47:34.210960,0 days 00:00:08.571256,12,145,60.0,5.0,5.0,,,,,,,,,95.0,195.0,100.0,150.0,15.0,75.0,195.0,180.0,2,5.0,2.0,2.0,,,,,,,,,6.0,3.0,5.0,2.0,5.0,6.0,6.0,4.0,4,5.0,6.0,6.0,,,,,,,,,4.0,2.0,4.0,6.0,5.0,6.0,6.0,3.0,COMPLETE
18,18,0.6666666666666666,2025-01-02 22:47:34.214325,2025-01-02 22:47:44.770920,0 days 00:00:10.556595,20,150,70.0,5.0,20.0,5.0,185.0,200.0,130.0,15.0,200.0,10.0,200.0,125.0,200.0,105.0,150.0,5.0,70.0,200.0,200.0,2,4.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,6.0,5.0,2.0,5.0,2.0,5.0,6.0,6.0,4.0,6,5.0,6.0,6.0,5.0,2.0,2.0,4.0,6.0,3.0,6.0,4.0,4.0,2.0,4.0,6.0,5.0,6.0,6.0,3.0,COMPLETE
19,19,0.0,2025-01-02 22:47:44.774153,2025-01-02 22:47:51.019529,0 days 00:00:06.245376,11,60,130.0,20.0,,,,,,,,,,100.0,190.0,150.0,100.0,85.0,135.0,120.0,75.0,4,5.0,2.0,,,,,,,,,,4.0,3.0,5.0,2.0,5.0,6.0,5.0,5.0,5,4.0,5.0,,,,,,,,,,4.0,2.0,4.0,6.0,5.0,4.0,5.0,3.0,COMPLETE
20,20,0.0,2025-01-02 22:47:51.022065,2025-01-02 22:48:25.282245,0 days 00:00:34.260180,13,5,30.0,105.0,135.0,35.0,,,,,,,,145.0,140.0,85.0,155.0,15.0,60.0,15.0,200.0,2,4.0,3.0,2.0,4.0,,,,,,,,6.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4,6.0,6.0,6.0,4.0,,,,,,,,4.0,2.0,5.0,5.0,6.0,6.0,5.0,2.0,COMPLETE
