,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.0,2025-01-02 23:04:10.695304,2025-01-02 23:04:14.937752,0 days 00:00:04.242448,9,85,15.0,,,,,,,,,,,175.0,60.0,115.0,170.0,120.0,75.0,195.0,,6,5.0,,,,,,,,,,,4.0,5.0,6.0,3.0,5.0,5.0,2.0,,6,3.0,,,,,,,,,,,4.0,5.0,3.0,4.0,6.0,4.0,2.0,,COMPLETE
1,1,0.6105889724310777,2025-01-02 23:04:14.939424,2025-01-02 23:04:39.456207,0 days 00:00:24.516783,12,40,145.0,95.0,195.0,,,,,,,,,190.0,10.0,180.0,85.0,45.0,30.0,180.0,120.0,5,3.0,3.0,2.0,,,,,,,,,2.0,2.0,4.0,3.0,6.0,2.0,5.0,2.0,6,4.0,2.0,3.0,,,,,,,,,3.0,4.0,6.0,3.0,5.0,5.0,2.0,3.0,COMPLETE
2,2,0.7502442837600156,2025-01-02 23:04:39.458034,2025-01-02 23:04:48.872126,0 days 00:00:09.414092,5,10,70.0,,,,,,,,,,,100.0,75.0,125.0,,,,,,5,2.0,,,,,,,,,,,5.0,3.0,2.0,,,,,,4,3.0,,,,,,,,,,,2.0,2.0,6.0,,,,,,COMPLETE
3,3,0.6871794871794872,2025-01-02 23:04:48.873019,2025-01-02 23:04:54.532418,0 days 00:00:05.659399,3,95,195.0,,,,,,,,,,,95.0,,,,,,,,6,5.0,,,,,,,,,,,3.0,,,,,,,,2,5.0,,,,,,,,,,,4.0,,,,,,,,COMPLETE
4,4,0.7622615277670503,2025-01-02 23:04:54.533046,2025-01-02 23:04:55.784882,0 days 00:00:01.251836,1,195,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.0,2025-01-02 23:04:55.785325,2025-01-02 23:05:01.974202,0 days 00:00:06.188877,16,135,145.0,50.0,50.0,165.0,10.0,85.0,30.0,,,,,195.0,195.0,15.0,160.0,200.0,60.0,175.0,175.0,6,3.0,4.0,4.0,4.0,6.0,6.0,4.0,,,,,5.0,2.0,5.0,2.0,5.0,5.0,3.0,5.0,6,5.0,3.0,4.0,3.0,2.0,4.0,2.0,,,,,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,COMPLETE
6,6,0.6666666666666666,2025-01-02 23:05:01.975780,2025-01-02 23:05:12.169317,0 days 00:00:10.193537,12,50,100.0,175.0,120.0,,,,,,,,,105.0,185.0,165.0,105.0,115.0,130.0,195.0,15.0,4,6.0,5.0,3.0,,,,,,,,,2.0,5.0,5.0,5.0,6.0,5.0,2.0,4.0,2,6.0,5.0,4.0,,,,,,,,,3.0,5.0,4.0,2.0,3.0,6.0,6.0,4.0,COMPLETE
7,7,0.650022411474675,2025-01-02 23:05:12.171176,2025-01-02 23:05:17.051225,0 days 00:00:04.880049,2,130,170.0,,,,,,,,,,,,,,,,,,,2,6.0,,,,,,,,,,,,,,,,,,,2,5.0,,,,,,,,,,,,,,,,,,,COMPLETE
8,8,0.0,2025-01-02 23:05:17.051781,2025-01-02 23:05:21.803523,0 days 00:00:04.751742,13,185,80.0,35.0,135.0,105.0,,,,,,,,110.0,185.0,170.0,10.0,105.0,150.0,60.0,100.0,4,4.0,2.0,2.0,5.0,,,,,,,,5.0,4.0,6.0,5.0,3.0,4.0,5.0,6.0,5,6.0,4.0,3.0,5.0,,,,,,,,5.0,2.0,6.0,3.0,3.0,4.0,6.0,2.0,COMPLETE
9,9,0.6618827306203381,2025-01-02 23:05:21.805455,2025-01-02 23:05:23.802361,0 days 00:00:01.996906,1,185,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,COMPLETE
