,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.0,2025-01-02 23:14:16.126696,2025-01-02 23:14:20.857830,0 days 00:00:04.731134,11,100,10.0,150.0,,,,,,,,,,120.0,100.0,110.0,60.0,195.0,115.0,65.0,105.0,5,4.0,6.0,,,,,,,,,,4.0,3.0,4.0,2.0,6.0,5.0,6.0,4.0,4,3.0,2.0,,,,,,,,,,6.0,3.0,2.0,6.0,6.0,2.0,6.0,2.0,COMPLETE
1,1,0.4822222222222222,2025-01-02 23:14:20.859800,2025-01-02 23:14:45.474684,0 days 00:00:24.614884,9,180,145.0,,,,,,,,,,,195.0,25.0,65.0,95.0,15.0,155.0,140.0,,3,4.0,,,,,,,,,,,4.0,5.0,4.0,5.0,5.0,2.0,6.0,,5,5.0,,,,,,,,,,,3.0,6.0,2.0,6.0,6.0,3.0,3.0,,COMPLETE
2,2,0.0,2025-01-02 23:14:45.476550,2025-01-02 23:14:48.602849,0 days 00:00:03.126299,9,80,5.0,,,,,,,,,,,115.0,65.0,165.0,135.0,85.0,85.0,20.0,,3,4.0,,,,,,,,,,,5.0,2.0,4.0,3.0,5.0,3.0,3.0,,2,4.0,,,,,,,,,,,5.0,5.0,2.0,2.0,4.0,6.0,3.0,,COMPLETE
3,3,0.7436363636363637,2025-01-02 23:14:48.604180,2025-01-02 23:14:56.677273,0 days 00:00:08.073093,3,10,50.0,,,,,,,,,,,200.0,,,,,,,,6,4.0,,,,,,,,,,,3.0,,,,,,,,6,2.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
4,4,0.4939870490286772,2025-01-02 23:14:56.677982,2025-01-02 23:15:02.325435,0 days 00:00:05.647453,4,95,75.0,,,,,,,,,,,45.0,60.0,,,,,,,6,2.0,,,,,,,,,,,4.0,3.0,,,,,,,3,6.0,,,,,,,,,,,6.0,3.0,,,,,,,COMPLETE
5,5,0.666599597585513,2025-01-02 23:15:02.326356,2025-01-02 23:15:13.197415,0 days 00:00:10.871059,19,135,190.0,165.0,90.0,175.0,60.0,145.0,35.0,145.0,15.0,180.0,,20.0,15.0,175.0,75.0,110.0,95.0,155.0,105.0,2,4.0,6.0,5.0,4.0,2.0,2.0,6.0,6.0,6.0,6.0,,6.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,4,5.0,4.0,6.0,3.0,4.0,5.0,4.0,6.0,4.0,6.0,,6.0,4.0,2.0,4.0,2.0,2.0,6.0,2.0,COMPLETE
6,6,0.0,2025-01-02 23:15:13.199264,2025-01-02 23:15:17.948053,0 days 00:00:04.748789,12,10,195.0,75.0,85.0,,,,,,,,,170.0,195.0,30.0,70.0,85.0,155.0,80.0,110.0,2,3.0,2.0,3.0,,,,,,,,,3.0,6.0,4.0,4.0,5.0,6.0,6.0,3.0,6,2.0,2.0,6.0,,,,,,,,,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,COMPLETE
7,7,0.0,2025-01-02 23:15:17.949810,2025-01-02 23:15:22.192095,0 days 00:00:04.242285,12,95,185.0,60.0,190.0,,,,,,,,,10.0,190.0,120.0,170.0,110.0,135.0,105.0,95.0,2,2.0,6.0,5.0,,,,,,,,,5.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,6,2.0,5.0,5.0,,,,,,,,,2.0,3.0,2.0,6.0,2.0,3.0,6.0,2.0,COMPLETE
8,8,0.5765957446808511,2025-01-02 23:15:22.193769,2025-01-02 23:15:27.704711,0 days 00:00:05.510942,5,100,20.0,,,,,,,,,,,90.0,175.0,10.0,,,,,,5,3.0,,,,,,,,,,,5.0,6.0,5.0,,,,,,4,4.0,,,,,,,,,,,4.0,3.0,3.0,,,,,,COMPLETE
9,9,0.0,2025-01-02 23:15:27.705648,2025-01-02 23:15:32.367391,0 days 00:00:04.661743,11,155,75.0,195.0,,,,,,,,,,105.0,105.0,170.0,100.0,155.0,170.0,35.0,160.0,4,2.0,2.0,,,,,,,,,,6.0,6.0,4.0,2.0,5.0,5.0,5.0,5.0,4,6.0,3.0,,,,,,,,,,6.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,COMPLETE
