,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.0,2025-01-02 23:25:05.200949,2025-01-02 23:25:24.022463,0 days 00:00:18.821514,3,60,170.0,,,,,,,,,,,150.0,,,,,,,,3,5.0,,,,,,,,,,,3.0,,,,,,,,6,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
1,1,0.615715028027241,2025-01-02 23:25:24.023191,2025-01-02 23:25:58.162424,0 days 00:00:34.139233,7,70,140.0,,,,,,,,,,,145.0,30.0,160.0,75.0,105.0,,,,4,5.0,,,,,,,,,,,4.0,5.0,4.0,4.0,5.0,,,,4,3.0,,,,,,,,,,,5.0,2.0,3.0,4.0,6.0,,,,COMPLETE
2,2,0.3753989045010717,2025-01-02 23:25:58.163741,2025-01-02 23:26:30.225300,0 days 00:00:32.061559,7,80,160.0,,,,,,,,,,,85.0,40.0,65.0,65.0,5.0,,,,2,5.0,,,,,,,,,,,6.0,2.0,5.0,6.0,4.0,,,,5,5.0,,,,,,,,,,,4.0,5.0,4.0,6.0,3.0,,,,COMPLETE
3,3,0.0,2025-01-02 23:26:30.226951,2025-01-02 23:26:39.598032,0 days 00:00:09.371081,14,95,70.0,135.0,165.0,65.0,180.0,,,,,,,125.0,115.0,25.0,25.0,140.0,125.0,170.0,150.0,5,2.0,4.0,2.0,4.0,4.0,,,,,,,3.0,4.0,5.0,3.0,4.0,5.0,2.0,5.0,5,5.0,4.0,6.0,3.0,4.0,,,,,,,4.0,3.0,2.0,6.0,6.0,4.0,3.0,2.0,COMPLETE
4,4,0.0,2025-01-02 23:26:39.599112,2025-01-02 23:26:54.104578,0 days 00:00:14.505466,15,190,40.0,70.0,135.0,145.0,165.0,80.0,,,,,,145.0,60.0,75.0,195.0,50.0,15.0,185.0,200.0,4,4.0,5.0,5.0,4.0,5.0,6.0,,,,,,6.0,5.0,3.0,6.0,5.0,5.0,4.0,5.0,5,6.0,4.0,5.0,3.0,6.0,3.0,,,,,,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,COMPLETE
5,5,0.0,2025-01-02 23:26:54.106152,2025-01-02 23:27:00.653660,0 days 00:00:06.547508,10,105,120.0,,,,,,,,,,,5.0,10.0,150.0,90.0,165.0,15.0,120.0,75.0,3,5.0,,,,,,,,,,,5.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,6,5.0,,,,,,,,,,,6.0,5.0,6.0,2.0,6.0,2.0,2.0,4.0,COMPLETE
6,6,0.1311336717428088,2025-01-02 23:27:00.655329,2025-01-02 23:27:40.981455,0 days 00:00:40.326126,15,80,5.0,125.0,110.0,160.0,5.0,45.0,,,,,,135.0,40.0,85.0,150.0,20.0,135.0,200.0,120.0,5,3.0,2.0,4.0,5.0,4.0,2.0,,,,,,2.0,6.0,3.0,2.0,5.0,6.0,3.0,2.0,5,2.0,4.0,5.0,2.0,3.0,5.0,,,,,,3.0,5.0,6.0,5.0,3.0,2.0,2.0,5.0,COMPLETE
7,7,0.0,2025-01-02 23:27:40.982769,2025-01-02 23:28:14.364388,0 days 00:00:33.381619,7,40,10.0,,,,,,,,,,,40.0,200.0,170.0,95.0,55.0,,,,6,5.0,,,,,,,,,,,6.0,3.0,4.0,4.0,5.0,,,,5,6.0,,,,,,,,,,,6.0,4.0,5.0,3.0,4.0,,,,COMPLETE
8,8,0.83261612558664,2025-01-02 23:28:14.365940,2025-01-02 23:28:36.668504,0 days 00:00:22.302564,3,30,200.0,,,,,,,,,,,110.0,,,,,,,,4,6.0,,,,,,,,,,,4.0,,,,,,,,5,6.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
9,9,0.4144425163998015,2025-01-02 23:28:36.669340,2025-01-02 23:29:22.843664,0 days 00:00:46.174324,10,170,75.0,,,,,,,,,,,105.0,20.0,200.0,165.0,155.0,90.0,110.0,25.0,5,5.0,,,,,,,,,,,5.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,2,4.0,,,,,,,,,,,4.0,5.0,4.0,4.0,2.0,6.0,4.0,6.0,COMPLETE
10,10,0.0,2025-01-02 23:29:22.845284,2025-01-02 23:29:39.952605,0 days 00:00:17.107321,20,5,200.0,10.0,30.0,15.0,40.0,195.0,195.0,50.0,100.0,25.0,155.0,200.0,195.0,5.0,10.0,190.0,195.0,20.0,5.0,2,6.0,6.0,6.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,6.0,2.0,6.0,6.0,3,6.0,6.0,2.0,6.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,6.0,2.0,2.0,5.0,6.0,6.0,2.0,COMPLETE
11,11,0.8422385428993973,2025-01-02 23:29:39.954596,2025-01-02 23:29:42.516310,0 days 00:00:02.561714,1,20,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.7605039556240134,2025-01-02 23:29:42.516794,2025-01-02 23:29:44.544330,0 days 00:00:02.027536,1,10,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.859519496615502,2025-01-02 23:29:44.544744,2025-01-02 23:29:57.512453,0 days 00:00:12.967709,3,135,200.0,,,,,,,,,,,65.0,,,,,,,,4,6.0,,,,,,,,,,,2.0,,,,,,,,3,4.0,,,,,,,,,,,2.0,,,,,,,,COMPLETE
14,14,0.8468338004371271,2025-01-02 23:29:57.513123,2025-01-02 23:30:05.379006,0 days 00:00:07.865883,1,135,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,COMPLETE
15,15,0.8121053087481258,2025-01-02 23:30:05.379562,2025-01-02 23:30:23.126204,0 days 00:00:17.746642,4,150,100.0,,,,,,,,,,,65.0,145.0,,,,,,,6,3.0,,,,,,,,,,,2.0,6.0,,,,,,,2,4.0,,,,,,,,,,,3.0,2.0,,,,,,,COMPLETE
16,16,0.8834058673499918,2025-01-02 23:30:23.127026,2025-01-02 23:30:49.151415,0 days 00:00:26.024389,5,130,170.0,,,,,,,,,,,35.0,95.0,120.0,,,,,,6,6.0,,,,,,,,,,,3.0,4.0,6.0,,,,,,3,2.0,,,,,,,,,,,3.0,3.0,3.0,,,,,,COMPLETE
