,number,value,datetime_start,datetime_complete,duration,params_depth,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,params_orders1_layer_0,params_orders1_layer_1,params_orders1_layer_10,params_orders1_layer_11,params_orders1_layer_12,params_orders1_layer_13,params_orders1_layer_14,params_orders1_layer_15,params_orders1_layer_16,params_orders1_layer_17,params_orders1_layer_18,params_orders1_layer_19,params_orders1_layer_2,params_orders1_layer_3,params_orders1_layer_4,params_orders1_layer_5,params_orders1_layer_6,params_orders1_layer_7,params_orders1_layer_8,params_orders1_layer_9,params_orders2_layer_0,params_orders2_layer_1,params_orders2_layer_10,params_orders2_layer_11,params_orders2_layer_12,params_orders2_layer_13,params_orders2_layer_14,params_orders2_layer_15,params_orders2_layer_16,params_orders2_layer_17,params_orders2_layer_18,params_orders2_layer_19,params_orders2_layer_2,params_orders2_layer_3,params_orders2_layer_4,params_orders2_layer_5,params_orders2_layer_6,params_orders2_layer_7,params_orders2_layer_8,params_orders2_layer_9,state
0,0,0.9013910556422257,2025-01-02 23:53:23.170903,2025-01-02 23:53:27.451489,0 days 00:00:04.280586,1,5,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.0,2025-01-02 23:53:27.451971,2025-01-02 23:53:42.337611,0 days 00:00:14.885640,20,175,110.0,140.0,190.0,130.0,55.0,165.0,110.0,170.0,45.0,125.0,140.0,45.0,180.0,45.0,55.0,130.0,180.0,185.0,120.0,3,4.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,6.0,3.0,3.0,5.0,6.0,4.0,2.0,6,5.0,2.0,3.0,3.0,6.0,6.0,5.0,6.0,3.0,5.0,5.0,3.0,3.0,6.0,5.0,2.0,6.0,5.0,3.0,COMPLETE
2,2,0.0,2025-01-02 23:53:42.339544,2025-01-02 23:53:50.520864,0 days 00:00:08.181320,18,90,15.0,125.0,190.0,100.0,150.0,30.0,105.0,40.0,175.0,,,50.0,115.0,195.0,75.0,150.0,135.0,95.0,165.0,5,4.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,2.0,,,5.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,5,3.0,3.0,2.0,3.0,2.0,6.0,4.0,6.0,4.0,,,6.0,5.0,6.0,3.0,4.0,4.0,3.0,2.0,COMPLETE
3,3,0.0,2025-01-02 23:53:50.522581,2025-01-02 23:53:57.611312,0 days 00:00:07.088731,15,160,35.0,55.0,60.0,35.0,150.0,40.0,,,,,,185.0,175.0,145.0,20.0,40.0,105.0,110.0,120.0,2,5.0,2.0,6.0,5.0,2.0,2.0,,,,,,6.0,2.0,2.0,3.0,6.0,5.0,4.0,2.0,3,4.0,3.0,2.0,5.0,4.0,5.0,,,,,,4.0,6.0,3.0,2.0,2.0,6.0,5.0,2.0,COMPLETE
4,4,0.0,2025-01-02 23:53:57.612544,2025-01-02 23:54:07.952426,0 days 00:00:10.339882,18,140,155.0,5.0,40.0,195.0,95.0,55.0,200.0,165.0,15.0,,,15.0,175.0,165.0,70.0,25.0,175.0,140.0,20.0,6,3.0,3.0,5.0,3.0,5.0,6.0,6.0,6.0,2.0,,,5.0,6.0,4.0,2.0,5.0,2.0,3.0,5.0,5,5.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,,,3.0,5.0,4.0,6.0,6.0,5.0,2.0,5.0,COMPLETE
5,5,0.0,2025-01-02 23:54:07.954120,2025-01-02 23:54:16.178099,0 days 00:00:08.223979,15,35,160.0,90.0,160.0,140.0,60.0,135.0,,,,,,185.0,125.0,140.0,125.0,55.0,5.0,55.0,120.0,2,3.0,4.0,3.0,4.0,6.0,4.0,,,,,,2.0,4.0,6.0,4.0,6.0,2.0,3.0,5.0,3,4.0,6.0,5.0,2.0,6.0,4.0,,,,,,2.0,3.0,6.0,6.0,6.0,5.0,5.0,2.0,COMPLETE
6,6,0.8159011722325568,2025-01-02 23:54:16.179416,2025-01-02 23:54:22.121175,0 days 00:00:05.941759,3,30,70.0,,,,,,,,,,,80.0,,,,,,,,3,5.0,,,,,,,,,,,3.0,,,,,,,,3,3.0,,,,,,,,,,,5.0,,,,,,,,COMPLETE
7,7,0.6515845662789745,2025-01-02 23:54:22.121793,2025-01-02 23:54:34.999901,0 days 00:00:12.878108,6,5,200.0,,,,,,,,,,,75.0,185.0,185.0,15.0,,,,,5,6.0,,,,,,,,,,,2.0,3.0,3.0,3.0,,,,,3,2.0,,,,,,,,,,,4.0,4.0,6.0,5.0,,,,,COMPLETE
8,8,0.0,2025-01-02 23:54:35.000903,2025-01-02 23:54:41.876448,0 days 00:00:06.875545,19,40,85.0,135.0,135.0,175.0,155.0,150.0,75.0,125.0,70.0,10.0,,5.0,195.0,55.0,110.0,10.0,195.0,150.0,125.0,2,3.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,6.0,4.0,,2.0,4.0,5.0,3.0,6.0,2.0,3.0,5.0,3,3.0,2.0,5.0,6.0,4.0,5.0,5.0,2.0,5.0,3.0,,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,COMPLETE
9,9,0.6393873621994138,2025-01-02 23:54:41.877964,2025-01-02 23:55:04.495160,0 days 00:00:22.617196,7,160,55.0,,,,,,,,,,,75.0,190.0,135.0,60.0,195.0,,,,3,2.0,,,,,,,,,,,4.0,2.0,6.0,6.0,6.0,,,,5,5.0,,,,,,,,,,,5.0,6.0,6.0,5.0,4.0,,,,COMPLETE
