,number,value,datetime_start,datetime_complete,duration,params_depth,params_grid,params_k,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_2,state
0,0,0.8708333333333333,2024-12-29 11:33:04.159233,2024-12-29 11:33:05.408976,0 days 00:00:01.249743,1,1,1,1,,,COMPLETE
1,1,0.6569169960474308,2024-12-29 11:33:05.409448,2024-12-29 11:33:08.085334,0 days 00:00:02.675886,1,3,3,6,,,COMPLETE
2,2,0.6774193548387096,2024-12-29 11:33:08.086039,2024-12-29 11:33:09.950023,0 days 00:00:01.863984,1,3,3,1,,,COMPLETE
3,3,0.5444897959183673,2024-12-29 11:33:09.950612,2024-12-29 11:33:14.592286,0 days 00:00:04.641674,3,1,4,6,1.0,6.0,COMPLETE
4,4,0.6119727891156463,2024-12-29 11:33:14.592864,2024-12-29 11:33:16.825761,0 days 00:00:02.232897,3,1,1,6,1.0,1.0,COMPLETE
5,5,0.4751322751322751,2024-12-29 11:33:16.826379,2024-12-29 11:33:20.043773,0 days 00:00:03.217394,1,5,3,6,,,COMPLETE
6,6,0.5966692688004163,2024-12-29 11:33:20.044434,2024-12-29 11:33:22.551498,0 days 00:00:02.507064,3,5,1,6,1.0,1.0,COMPLETE
7,7,0.6313513513513513,2024-12-29 11:33:22.552163,2024-12-29 11:33:24.839515,0 days 00:00:02.287352,1,5,2,6,,,COMPLETE
8,8,0.6242424242424243,2024-12-29 11:33:24.840005,2024-12-29 11:33:27.419473,0 days 00:00:02.579468,1,1,3,6,,,COMPLETE
9,9,0.7069327731092437,2024-12-29 11:33:27.419959,2024-12-29 11:33:30.187392,0 days 00:00:02.767433,3,3,3,1,1.0,1.0,COMPLETE
10,10,0.5809579782544814,2024-12-29 11:33:30.187829,2024-12-29 11:33:31.848747,0 days 00:00:01.660918,2,1,1,1,6.0,,COMPLETE
11,11,0.6869519000797236,2024-12-29 11:33:31.849193,2024-12-29 11:33:33.921549,0 days 00:00:02.072356,2,3,2,1,6.0,,COMPLETE
12,12,0.6418067226890756,2024-12-29 11:33:33.922111,2024-12-29 11:33:36.669039,0 days 00:00:02.746928,2,3,4,1,1.0,,COMPLETE
13,13,0.6418067226890756,2024-12-29 11:33:36.669722,2024-12-29 11:33:39.125422,0 days 00:00:02.455700,3,1,2,1,6.0,1.0,COMPLETE
14,14,0.6356837606837606,2024-12-29 11:33:39.125702,2024-12-29 11:33:41.054453,0 days 00:00:01.928751,2,3,2,1,1.0,,COMPLETE
15,15,0.6539994685091681,2024-12-29 11:33:41.054984,2024-12-29 11:33:44.152006,0 days 00:00:03.097022,2,1,4,1,6.0,,COMPLETE
16,16,0.6391534391534391,2024-12-29 11:33:44.152713,2024-12-29 11:33:46.061668,0 days 00:00:01.908955,3,5,1,1,1.0,6.0,COMPLETE
17,17,0.6356837606837606,2024-12-29 11:33:46.062286,2024-12-29 11:33:47.995440,0 days 00:00:01.933154,2,3,2,1,1.0,,COMPLETE
18,18,0.3333333333333333,2024-12-29 11:33:47.995991,2024-12-29 11:33:49.467377,0 days 00:00:01.471386,1,1,3,1,,,COMPLETE
19,19,0.7069327731092437,2024-12-29 11:33:49.467970,2024-12-29 11:33:53.889984,0 days 00:00:04.422014,3,3,4,1,6.0,1.0,COMPLETE
