,number,value,datetime_start,datetime_complete,duration,params_depth,params_grids_0,params_grids_1,params_grids_10,params_grids_11,params_grids_12,params_grids_13,params_grids_14,params_grids_15,params_grids_16,params_grids_17,params_grids_18,params_grids_19,params_grids_2,params_grids_3,params_grids_4,params_grids_5,params_grids_6,params_grids_7,params_grids_8,params_grids_9,params_neurons_layer_0,params_neurons_layer_1,params_neurons_layer_10,params_neurons_layer_11,params_neurons_layer_12,params_neurons_layer_13,params_neurons_layer_14,params_neurons_layer_15,params_neurons_layer_16,params_neurons_layer_17,params_neurons_layer_18,params_neurons_layer_19,params_neurons_layer_2,params_neurons_layer_3,params_neurons_layer_4,params_neurons_layer_5,params_neurons_layer_6,params_neurons_layer_7,params_neurons_layer_8,params_neurons_layer_9,state
0,0,0.33246753246753247,2024-12-29 13:53:28.804010,2024-12-29 13:54:02.607448,0 days 00:00:33.803438,5,14,5.0,,,,,,,,,,,2.0,13.0,6.0,,,,,,125,200.0,,,,,,,,,,,150.0,75.0,115.0,,,,,,COMPLETE
1,1,0.7889499869075673,2024-12-29 13:54:02.608118,2024-12-29 13:54:06.319429,0 days 00:00:03.711311,2,4,1.0,,,,,,,,,,,,,,,,,,,195,45.0,,,,,,,,,,,,,,,,,,,COMPLETE
2,2,0.5688373476063039,2024-12-29 13:54:06.319926,2024-12-29 13:54:22.569712,0 days 00:00:16.249786,4,10,13.0,,,,,,,,,,,1.0,7.0,,,,,,,75,125.0,,,,,,,,,,,170.0,110.0,,,,,,,COMPLETE
3,3,0.23138297872340424,2024-12-29 13:54:22.570288,2024-12-29 13:54:41.823206,0 days 00:00:19.252918,18,9,2.0,7.0,3.0,7.0,5.0,4.0,4.0,4.0,14.0,,,11.0,3.0,9.0,9.0,3.0,11.0,12.0,3.0,90,15.0,75.0,165.0,65.0,65.0,30.0,130.0,65.0,145.0,,,175.0,25.0,20.0,15.0,140.0,45.0,135.0,115.0,COMPLETE
4,4,0.34318181818181814,2024-12-29 13:54:41.824087,2024-12-29 13:55:04.086298,0 days 00:00:22.262211,15,3,2.0,11.0,11.0,6.0,13.0,2.0,,,,,,15.0,1.0,4.0,15.0,5.0,7.0,7.0,2.0,75,95.0,115.0,75.0,175.0,125.0,160.0,,,,,,55.0,70.0,200.0,100.0,95.0,70.0,40.0,50.0,COMPLETE
5,5,0.8708333333333333,2024-12-29 13:55:04.086961,2024-12-29 13:55:08.501655,0 days 00:00:04.414694,2,8,3.0,,,,,,,,,,,,,,,,,,,95,65.0,,,,,,,,,,,,,,,,,,,COMPLETE
6,6,0.2643540669856459,2024-12-29 13:55:08.502032,2024-12-29 13:55:33.309867,0 days 00:00:24.807835,12,7,11.0,10.0,11.0,,,,,,,,,9.0,13.0,9.0,13.0,4.0,6.0,2.0,9.0,130,55.0,55.0,25.0,,,,,,,,,125.0,190.0,100.0,150.0,175.0,115.0,125.0,115.0,COMPLETE
7,7,0.3068181818181818,2024-12-29 13:55:33.310546,2024-12-29 13:56:12.495245,0 days 00:00:39.184699,13,7,5.0,1.0,15.0,4.0,,,,,,,,1.0,6.0,15.0,9.0,11.0,5.0,4.0,2.0,25,170.0,75.0,155.0,155.0,,,,,,,,105.0,165.0,60.0,10.0,180.0,165.0,30.0,120.0,COMPLETE
8,8,0.37777777777777777,2024-12-29 13:56:12.496015,2024-12-29 13:57:06.795448,0 days 00:00:54.299433,9,14,15.0,,,,,,,,,,,3.0,5.0,15.0,8.0,3.0,7.0,3.0,,135,95.0,,,,,,,,,,,165.0,190.0,115.0,200.0,55.0,5.0,190.0,,COMPLETE
9,9,0.8618037135278515,2024-12-29 13:57:06.796141,2024-12-29 13:57:15.884137,0 days 00:00:09.087996,4,14,1.0,,,,,,,,,,,1.0,2.0,,,,,,,185,35.0,,,,,,,,,,,100.0,170.0,,,,,,,COMPLETE
10,10,0.4747126436781609,2024-12-29 13:57:15.884504,2024-12-29 13:57:29.650336,0 days 00:00:13.765832,8,1,8.0,,,,,,,,,,,6.0,10.0,1.0,2.0,15.0,1.0,,,10,135.0,,,,,,,,,,,5.0,10.0,195.0,80.0,5.0,195.0,,,COMPLETE
11,11,0.7827329902801601,2024-12-29 13:57:29.650803,2024-12-29 13:57:40.390283,0 days 00:00:10.739480,1,11,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.4397306397306397,2024-12-29 13:57:40.390674,2024-12-29 13:57:52.085399,0 days 00:00:11.694725,6,15,5.0,,,,,,,,,,,6.0,1.0,12.0,1.0,,,,,165,55.0,,,,,,,,,,,65.0,135.0,10.0,200.0,,,,,COMPLETE
13,13,0.7876152832674572,2024-12-29 13:57:52.085849,2024-12-29 13:57:58.304681,0 days 00:00:06.218832,1,11,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,COMPLETE
14,14,0.29432624113475175,2024-12-29 13:57:58.305153,2024-12-29 13:58:18.311660,0 days 00:00:20.006507,7,5,4.0,,,,,,,,,,,5.0,10.0,1.0,4.0,9.0,,,,160,15.0,,,,,,,,,,,65.0,145.0,165.0,70.0,20.0,,,,COMPLETE
15,15,0.3935926773455377,2024-12-29 13:58:18.312127,2024-12-29 13:58:30.799862,0 days 00:00:12.487735,4,12,9.0,,,,,,,,,,,11.0,4.0,,,,,,,105,70.0,,,,,,,,,,,100.0,100.0,,,,,,,COMPLETE
16,16,0.1856330014224751,2024-12-29 13:58:30.800301,2024-12-29 13:58:56.748931,0 days 00:00:25.948630,10,8,3.0,,,,,,,,,,,4.0,9.0,11.0,6.0,14.0,15.0,15.0,15.0,160,30.0,,,,,,,,,,,200.0,200.0,55.0,145.0,100.0,130.0,75.0,195.0,COMPLETE
17,17,0.4542349726775956,2024-12-29 13:58:56.749607,2024-12-29 13:59:02.542975,0 days 00:00:05.793368,3,6,7.0,,,,,,,,,,,15.0,,,,,,,,55,70.0,,,,,,,,,,,30.0,,,,,,,,COMPLETE
18,18,0.26600284495021337,2024-12-29 13:59:02.543319,2024-12-29 13:59:48.563654,0 days 00:00:46.020335,6,13,7.0,,,,,,,,,,,8.0,15.0,5.0,12.0,,,,,110,5.0,,,,,,,,,,,100.0,160.0,150.0,50.0,,,,,COMPLETE
19,19,0.0,2024-12-29 13:59:48.564324,2024-12-29 14:01:56.691880,0 days 00:02:08.127556,19,9,1.0,15.0,1.0,15.0,1.0,15.0,15.0,15.0,1.0,3.0,,12.0,3.0,12.0,4.0,7.0,15.0,10.0,15.0,175,80.0,195.0,200.0,5.0,200.0,200.0,5.0,180.0,10.0,75.0,,130.0,45.0,65.0,140.0,60.0,10.0,200.0,10.0,COMPLETE
20,20,0.8214285714285714,2024-12-29 14:01:56.692819,2024-12-29 14:02:03.852119,0 days 00:00:07.159300,3,2,3.0,,,,,,,,,,,7.0,,,,,,,,85,125.0,,,,,,,,,,,80.0,,,,,,,,COMPLETE
21,21,0.7635063559322034,2024-12-29 14:02:03.852474,2024-12-29 14:02:07.891059,0 days 00:00:04.038585,2,1,3.0,,,,,,,,,,,,,,,,,,,85,120.0,,,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.5425995024875622,2024-12-29 14:02:07.891400,2024-12-29 14:02:15.316717,0 days 00:00:07.425317,4,2,1.0,,,,,,,,,,,7.0,8.0,,,,,,,50,35.0,,,,,,,,,,,85.0,110.0,,,,,,,COMPLETE
23,23,0.8176043557168784,2024-12-29 14:02:15.317259,2024-12-29 14:02:21.230565,0 days 00:00:05.913306,1,4,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.4986559139784946,2024-12-29 14:02:21.230897,2024-12-29 14:02:38.592274,0 days 00:00:17.361377,7,6,3.0,,,,,,,,,,,4.0,2.0,3.0,11.0,1.0,,,,145,145.0,,,,,,,,,,,40.0,170.0,150.0,45.0,140.0,,,,COMPLETE
25,25,0.7395964691046658,2024-12-29 14:02:38.592731,2024-12-29 14:02:51.592002,0 days 00:00:12.999271,3,12,6.0,,,,,,,,,,,9.0,,,,,,,,95,155.0,,,,,,,,,,,80.0,,,,,,,,COMPLETE
26,26,0.35964912280701755,2024-12-29 14:02:51.592438,2024-12-29 14:03:11.858901,0 days 00:00:20.266463,5,3,3.0,,,,,,,,,,,13.0,5.0,6.0,,,,,,75,100.0,,,,,,,,,,,130.0,135.0,90.0,,,,,,COMPLETE
27,27,0.8659430122116689,2024-12-29 14:03:11.859501,2024-12-29 14:03:16.140522,0 days 00:00:04.281021,3,15,4.0,,,,,,,,,,,2.0,,,,,,,,35,115.0,,,,,,,,,,,20.0,,,,,,,,COMPLETE
28,28,0.22580645161290322,2024-12-29 14:03:16.140871,2024-12-29 14:03:53.597993,0 days 00:00:37.457122,11,15,4.0,1.0,,,,,,,,,,3.0,12.0,7.0,15.0,12.0,1.0,7.0,8.0,35,80.0,5.0,,,,,,,,,,5.0,80.0,35.0,170.0,195.0,75.0,80.0,195.0,COMPLETE
29,29,0.348421926910299,2024-12-29 14:03:53.598773,2024-12-29 14:04:21.075105,0 days 00:00:27.476332,6,13,10.0,,,,,,,,,,,1.0,7.0,13.0,6.0,,,,,10,60.0,,,,,,,,,,,30.0,50.0,170.0,115.0,,,,,COMPLETE
30,30,0.4517304189435337,2024-12-29 14:04:21.075574,2024-12-29 14:04:33.427300,0 days 00:00:12.351726,5,14,2.0,,,,,,,,,,,3.0,3.0,10.0,,,,,,65,35.0,,,,,,,,,,,25.0,125.0,130.0,,,,,,COMPLETE
31,31,0.7906602254428341,2024-12-29 14:04:33.427789,2024-12-29 14:04:38.047605,0 days 00:00:04.619816,3,15,4.0,,,,,,,,,,,2.0,,,,,,,,25,110.0,,,,,,,,,,,115.0,,,,,,,,COMPLETE
32,32,0.903125,2024-12-29 14:04:38.047956,2024-12-29 14:04:44.040734,0 days 00:00:05.992778,2,13,2.0,,,,,,,,,,,,,,,,,,,120,115.0,,,,,,,,,,,,,,,,,,,COMPLETE
33,33,0.87042842215256,2024-12-29 14:04:44.041101,2024-12-29 14:04:51.374109,0 days 00:00:07.333008,2,13,1.0,,,,,,,,,,,,,,,,,,,200,165.0,,,,,,,,,,,,,,,,,,,COMPLETE
34,34,0.8692493946731235,2024-12-29 14:04:51.374617,2024-12-29 14:05:01.401937,0 days 00:00:10.027320,2,10,5.0,,,,,,,,,,,,,,,,,,,145,185.0,,,,,,,,,,,,,,,,,,,COMPLETE
